Date,Open,High,Low,Close,Adjusted_close,Volume
2022-07-20,38.6,39.8,38.4,39.8,39.8,6189
2022-07-21,38.6,39.9,38.6,39.9,39.9,1202
2022-07-22,39.9,40.9,39.3,40.9,40.9,1100
2022-07-25,40.8,40.8,40.0,40.1,40.1,424
2022-07-26,40.6,40.7,39.8,40.1,40.1,674
2022-07-27,40.1,41.4,40.1,41.0,41.0,12080
2022-07-28,41.2,42.8,40.1,42.8,42.8,4293
2022-07-29,43.0,43.8,41.9,43.3,43.3,33471
2022-08-01,44.0,44.7,43.9,44.7,44.7,869
2022-08-02,44.0,46.2,43.2,46.2,46.2,2394
2022-08-03,45.9,46.4,45.4,46.2,46.2,6831
2022-08-04,45.6,45.8,44.9,45.8,45.8,876
2022-08-05,45.9,46.0,44.7,44.7,44.7,99372
2022-08-08,45.5,46.5,44.7,46.0,46.0,1261
2022-08-09,46.1,48.0,46.1,48.0,48.0,3706
2022-08-10,48.1,48.9,47.0,48.5,48.5,3353
2022-08-11,49.0,49.5,47.0,49.5,49.5,1138
2022-08-12,49.4,49.4,48.6,49.4,49.4,1085
2022-08-16,49.4,49.4,47.0,48.0,48.0,12102
2022-08-17,48.7,48.7,47.2,47.4,47.4,185
2022-08-18,47.0,48.4,47.0,48.1,48.1,18487
2022-08-19,47.8,48.1,47.0,47.0,47.0,11020
2022-08-22,47.0,48.0,44.0,44.3,44.3,6779
2022-08-23,44.7,45.6,44.0,45.6,45.6,598
2022-08-24,45.6,46.4,43.8,43.8,43.8,3429
2022-08-25,43.1,45.8,42.0,45.8,45.8,3479
2022-08-26,46.1,46.1,44.0,44.9,44.9,976
2022-08-29,44.9,44.9,41.1,41.1,41.1,1962
2022-08-30,41.2,43.0,40.5,41.1,41.1,14317
2022-08-31,39.9,44.0,39.9,44.0,44.0,12897
2022-09-01,43.6,45.0,43.0,44.9,44.9,2907
2022-09-02,43.7,45.9,43.4,45.9,45.9,3732
2022-09-05,45.8,45.9,45.2,45.2,45.2,4235
2022-09-06,45.9,45.9,45.6,45.6,45.6,354
2022-09-07,45.6,45.6,44.6,45.4,45.4,1739
2022-09-08,43.9,46.5,43.9,46.5,46.5,8846
2022-09-09,46.5,48.8,45.3,47.6,47.6,28883
2022-09-12,47.4,47.4,46.9,47.4,47.4,604
2022-09-13,47.4,47.4,43.5,44.8,44.8,1826
2022-09-14,44.8,45.4,43.1,44.5,44.5,803
2022-09-15,44.7,46.0,42.0,42.0,42.0,2049
2022-09-16,43.6,43.6,40.9,40.9,40.9,122574
2022-09-19,41.0,41.3,40.9,41.0,41.0,20516
2022-09-20,42.0,43.8,41.9,43.2,43.2,643
2022-09-21,43.2,44.9,43.1,44.1,44.1,2413
2022-09-22,42.6,45.5,42.6,45.5,45.5,1204
2022-09-23,45.2,47.1,43.8,44.6,44.6,2567
2022-09-26,43.4,45.8,41.5,42.4,42.4,590
2022-09-27,42.4,44.4,41.1,44.4,44.4,2806
2022-09-28,42.0,44.5,40.4,43.4,43.4,19143
2022-09-29,43.0,43.0,41.0,41.0,41.0,857
2022-09-30,41.5,42.3,41.0,41.0,41.0,1162
2022-10-03,41.0,43.8,41.0,43.8,43.8,1402
2022-10-04,45.2,45.2,43.9,44.0,44.0,391
2022-10-05,44.1,45.2,44.1,45.0,45.0,77
2022-10-06,44.9,44.9,43.0,44.2,44.2,334
2022-10-07,44.0,44.0,42.6,42.6,42.6,229
2022-10-10,44.0,44.0,44.0,44.0,44.0,1
2022-10-11,44.0,44.0,42.6,43.6,43.6,58
2022-10-12,43.6,43.6,41.5,42.6,42.6,873
2022-10-13,42.6,44.8,41.0,41.9,41.9,2163
2022-10-14,42.8,43.0,41.5,42.4,42.4,298
2022-10-17,42.4,42.4,39.7,39.7,39.7,6681
