Date,Open,High,Low,Close,Adjusted_close,Volume
2023-05-15,7.89,7.9,7.55,7.84,7.84,416811
2023-05-16,7.88,8.1,7.84,8.08,8.08,189450
2023-05-17,8.09,8.25,7.58,7.8,7.8,335515
2023-05-18,7.8,7.99,7.8,7.88,7.88,156124
2023-05-19,7.8,7.99,7.57,7.85,7.85,201217
2023-05-22,7.84,7.84,7.56,7.69,7.69,194267
2023-05-23,7.59,7.67,7.07,7.09,7.09,490452
2023-05-24,6.97,7.64,6.61,7.5,7.5,1222710
2023-05-25,7.5,7.79,7.42,7.52,7.52,345677
2023-05-26,7.59,7.6,7.37,7.51,7.51,137770
2023-05-29,7.46,7.56,7.09,7.1,7.1,318892
2023-05-30,7.12,7.43,6.91,7.37,7.37,331787
2023-05-31,7.34,7.34,6.97,6.97,6.97,153442
2023-06-01,6.97,7.29,6.97,7.24,7.24,151023
2023-06-02,7.28,7.54,7.24,7.48,7.48,260326
2023-06-05,7.55,7.55,7.27,7.39,7.39,155106
2023-06-06,7.39,7.39,7.13,7.14,7.14,432199
2023-06-07,7.1,7.2,7.0,7.14,7.14,185586
2023-06-09,7.2,7.23,7.05,7.12,7.12,122657
2023-06-12,7.15,7.15,6.85,6.85,6.85,263110
2023-06-13,6.86,6.96,6.82,6.93,6.93,144565
2023-06-14,6.92,7.11,6.92,7.02,7.02,115162
2023-06-15,7.05,7.05,6.87,6.9,6.9,79568
2023-06-16,6.93,7.23,6.93,7.22,7.22,208668
2023-06-19,7.21,7.35,7.15,7.2,7.2,149573
2023-06-20,7.24,7.29,7.05,7.13,7.13,109108
2023-06-21,7.13,7.21,7.05,7.1,7.1,75401
2023-06-22,7.06,7.13,6.98,7.09,7.09,95318
2023-06-23,6.98,7.08,6.86,7.03,7.03,147089
2023-06-26,7.0,7.03,6.8,6.82,6.82,134141
2023-06-27,6.82,6.86,6.57,6.8,6.8,240771
2023-06-28,6.92,7.1,6.88,6.99,6.99,100647
2023-06-29,7.0,7.09,6.92,7.0,7.0,89897
2023-06-30,7.01,7.08,7.0,7.04,7.04,106144
2023-07-03,7.0,7.26,7.0,7.25,7.25,226683
2023-07-04,7.25,7.4,7.15,7.21,7.21,165814
2023-07-05,7.21,7.26,6.96,7.0,7.0,140159
2023-07-06,7.06,7.06,6.89,7.02,7.02,107519
2023-07-07,6.92,7.06,6.77,7.01,7.01,105890
2023-07-10,7.06,7.18,6.96,7.02,7.02,75337
2023-07-11,6.97,7.09,6.96,7.09,7.09,93726
2023-07-12,7.1,7.19,6.99,7.14,7.14,71696
2023-07-13,7.16,7.77,7.09,7.71,7.71,529082
2023-07-14,7.71,7.74,7.54,7.64,7.64,164324
2023-07-17,7.65,7.79,7.54,7.66,7.66,138396
2023-07-18,7.62,7.69,7.34,7.38,7.38,170982
2023-07-19,7.45,7.58,7.31,7.47,7.47,134457
2023-07-20,7.47,7.88,7.36,7.78,7.78,304080
2023-07-21,7.78,7.97,7.78,7.87,7.87,134392
2023-07-24,7.9,7.99,7.84,7.97,7.97,66035
2023-07-25,7.97,7.97,7.82,7.84,7.84,100873
2023-07-26,7.84,8.05,7.84,7.89,7.89,110529
2023-07-27,7.95,8.24,7.89,8.08,8.08,244740
2023-07-28,8.0,8.0,7.85,7.99,7.99,132112
2023-07-31,8.0,8.07,7.87,7.96,7.96,121577
2023-08-01,7.91,7.96,7.8,7.88,7.88,74220
2023-08-02,7.84,8.0,7.47,7.8,7.8,152654
2023-08-03,7.9,7.9,7.6,7.6,7.6,103867
2023-08-04,7.68,7.85,7.63,7.73,7.73,146919
2023-08-07,7.79,7.79,7.35,7.43,7.43,167233
2023-08-08,7.43,7.43,7.16,7.25,7.25,151043
2023-08-09,7.22,7.41,7.17,7.28,7.28,91190
2023-08-10,7.4,7.43,7.25,7.38,7.38,73393
2023-08-11,7.34,7.56,7.3,7.54,7.54,190632
2023-08-14,7.41,7.7,7.41,7.7,7.7,155757
2023-08-16,7.68,7.69,7.46,7.56,7.56,103167
2023-08-17,7.45,7.55,7.26,7.3,7.3,61396
2023-08-18,7.3,7.35,7.04,7.22,7.22,261694
2023-08-21,7.22,7.26,6.5,6.56,6.56,372900
2023-08-22,6.57,6.68,6.18,6.38,6.38,600489
2023-08-23,6.4,6.69,6.4,6.45,6.45,258432
2023-08-24,6.6,6.65,6.42,6.42,6.42,98979
2023-08-25,6.39,6.47,6.3,6.31,6.31,92227
2023-08-28,6.4,6.59,6.3,6.55,6.55,101527
2023-08-29,6.6,6.84,6.6,6.78,6.78,136402
2023-08-30,6.65,6.81,6.55,6.66,6.66,110984
