Date,Open,High,Low,Close,Adjusted_close,Volume
2022-12-08,3.38,3.39,3.37,3.39,3.39,5694
2022-12-09,3.39,3.4,3.3,3.39,3.39,4652
2022-12-12,3.39,3.39,3.2,3.37,3.37,8427
2022-12-13,3.23,3.33,3.23,3.3,3.3,1200
2022-12-14,3.3,3.3,3.2,3.21,3.21,2699
2022-12-15,3.21,3.22,3.16,3.22,3.22,8296
2022-12-16,3.16,3.3,3.16,3.18,3.18,10401
2022-12-19,3.19,3.29,3.19,3.27,3.27,17870
2022-12-20,3.27,3.29,3.17,3.25,3.25,1647
2022-12-21,3.25,3.29,3.25,3.28,3.28,7157
2022-12-22,3.26,3.26,3.14,3.2,3.2,21182
2022-12-23,3.2,3.2,3.12,3.17,3.17,13314
2022-12-27,3.12,3.19,3.04,3.18,3.18,10894
2022-12-28,3.08,3.18,3.06,3.15,3.15,29056
2022-12-29,3.1,3.17,3.09,3.16,3.16,6735
2022-12-30,3.16,3.24,3.11,3.2,3.2,737
2023-01-02,3.2,3.45,3.2,3.35,3.35,20815
2023-01-03,3.35,3.58,3.32,3.48,3.48,22153
2023-01-04,3.57,3.64,3.56,3.6,3.6,14457
2023-01-05,3.63,3.64,3.53,3.62,3.62,3561
2023-01-09,3.7,3.75,3.65,3.72,3.72,14603
2023-01-10,3.7,3.72,3.7,3.72,3.72,2020
2023-01-11,3.72,3.72,3.72,3.72,3.72,4
2023-01-12,3.7,3.73,3.6,3.72,3.72,10441
2023-01-13,3.7,3.74,3.55,3.7,3.7,6975
2023-01-16,3.7,3.77,3.6,3.72,3.72,7298
2023-01-17,3.7,3.7,3.6,3.67,3.67,6889
2023-01-18,3.67,3.67,3.61,3.64,3.64,5035
2023-01-19,3.65,3.65,3.56,3.56,3.56,914
2023-01-20,3.6,3.6,3.51,3.6,3.6,4694
2023-01-23,3.64,3.65,3.53,3.65,3.65,1579
2023-01-24,3.58,3.65,3.54,3.65,3.65,4698
2023-01-25,3.52,3.53,3.52,3.53,3.53,2249
2023-01-26,3.65,3.65,3.53,3.53,3.53,2950
2023-01-27,3.58,3.58,3.56,3.56,3.56,1500
2023-01-30,3.54,3.6,3.52,3.6,3.6,5956
2023-01-31,3.53,3.7,3.53,3.6,3.6,5865
2023-02-01,3.57,3.68,3.57,3.62,3.62,7677
2023-02-02,3.69,3.7,3.61,3.61,3.61,5243
2023-02-03,3.53,3.64,3.53,3.64,3.64,6765
2023-02-06,3.57,3.64,3.53,3.54,3.54,2480
2023-02-07,3.64,3.64,3.6,3.6,3.6,710
2023-02-08,3.53,3.64,3.53,3.64,3.64,511
2023-02-09,3.54,3.63,3.5,3.6,3.6,10011
2023-02-10,3.53,3.54,3.47,3.5,3.5,9259
2023-02-13,3.51,3.58,3.5,3.58,3.58,1325
2023-02-14,3.52,3.52,3.52,3.52,3.52,453
2023-02-15,3.52,3.52,3.52,3.52,3.52,65
2023-02-16,3.52,3.52,3.52,3.52,3.52,997
2023-02-17,3.47,3.52,3.47,3.52,3.52,727
2023-02-20,3.53,3.53,3.44,3.53,3.53,4658
2023-02-21,3.45,3.5,3.41,3.5,3.5,9411
2023-02-22,3.43,3.54,3.43,3.54,3.54,987
2023-02-23,3.54,3.54,3.54,3.54,3.54,987
2023-02-24,3.47,3.51,3.47,3.48,3.48,1548
2023-02-27,3.52,3.54,3.52,3.52,3.52,2163
2023-02-28,3.52,3.56,3.45,3.56,3.56,4178
2023-03-01,3.56,3.77,3.56,3.7,3.7,15047
2023-03-02,3.79,3.79,3.65,3.7,3.7,12444
2023-03-03,3.74,3.89,3.74,3.86,3.86,39193
2023-03-06,3.89,3.95,3.87,3.94,3.94,20707
2023-03-07,3.92,3.92,3.65,3.79,3.79,22797
2023-03-08,3.78,3.8,3.7,3.8,3.8,9598
2023-03-09,3.8,3.8,3.74,3.75,3.75,7300
2023-03-10,3.79,3.84,3.75,3.76,3.76,15205
2023-03-13,3.71,3.71,3.61,3.62,3.62,6121
2023-03-14,3.66,3.74,3.66,3.74,3.74,1160
2023-03-15,3.71,3.74,3.62,3.62,3.62,12258
2023-03-16,3.65,3.71,3.55,3.55,3.55,6570
2023-03-17,3.71,3.71,3.6,3.64,3.64,4031
2023-03-20,3.56,3.63,3.53,3.63,3.63,1822
2023-03-21,3.64,3.65,3.54,3.54,3.54,4921
2023-03-22,3.54,3.54,3.3,3.3,3.3,7359
2023-03-23,3.44,3.53,3.42,3.53,3.53,5830
2023-03-24,3.53,3.54,3.5,3.5,3.5,2661
2023-03-27,3.5,3.6,3.5,3.55,3.55,2945
2023-03-28,3.54,3.54,3.42,3.5,3.5,9184
2023-03-29,3.45,3.59,3.45,3.49,3.49,9530
2023-03-30,3.58,3.66,3.53,3.66,3.66,7536
2023-03-31,3.66,3.8,3.51,3.68,3.68,22133
2023-04-03,3.66,3.66,3.66,3.66,3.66,2449
2023-04-04,3.7,3.7,3.56,3.56,3.56,14029
2023-04-05,3.56,3.67,3.56,3.66,3.66,363
2023-04-06,3.59,3.68,3.58,3.6,3.6,10329
2023-04-11,3.68,3.68,3.59,3.64,3.64,11062
2023-04-12,3.6,3.61,3.55,3.59,3.59,6152
2023-04-13,3.6,3.6,3.52,3.53,3.53,4086
2023-04-14,3.52,3.55,3.52,3.55,3.55,350
2023-04-17,3.59,3.59,3.57,3.57,3.57,403
2023-04-18,3.55,3.55,3.5,3.5,3.5,17093
2023-04-19,3.5,3.5,3.48,3.5,3.5,3499
2023-04-20,3.5,3.5,3.45,3.45,3.45,3945
2023-04-21,3.46,3.58,3.46,3.52,3.52,12530
2023-04-24,3.6,3.62,3.54,3.54,3.54,16713
2023-04-25,3.6,3.63,3.6,3.63,3.63,2992
2023-04-26,3.54,3.54,3.54,3.54,3.54,1400
2023-04-27,3.54,3.63,3.49,3.56,3.56,12370
2023-04-28,3.62,3.62,3.56,3.56,3.56,4082
2023-05-02,3.67,3.67,3.47,3.49,3.49,12590
2023-05-04,3.6,3.69,3.53,3.53,3.53,8976
2023-05-05,3.56,3.56,3.51,3.54,3.54,8535
2023-05-08,3.58,3.6,3.5,3.5,3.5,9046
2023-05-09,3.59,3.63,3.59,3.63,3.63,8310
2023-05-10,3.63,3.73,3.55,3.69,3.69,10327
2023-05-11,3.69,3.74,3.66,3.7,3.7,4194
2023-05-12,3.7,3.72,3.67,3.72,3.72,5321
2023-05-15,3.72,3.74,3.67,3.67,3.67,9498
2023-05-16,3.69,3.69,3.67,3.69,3.69,3288
2023-05-17,3.64,3.69,3.6,3.67,3.67,7796
2023-05-18,3.64,3.7,3.63,3.7,3.7,9493
2023-05-19,3.66,3.66,3.6,3.6,3.6,2430
2023-05-22,3.67,3.68,3.61,3.61,3.61,2662
2023-05-23,3.63,3.63,3.62,3.62,3.62,3099
2023-05-24,3.61,3.62,3.6,3.6,3.6,7892
2023-05-25,3.6,3.64,3.6,3.64,3.64,1443
2023-05-26,3.61,3.64,3.61,3.64,3.64,1103
2023-05-29,3.63,3.63,3.63,3.63,3.63,200
2023-05-30,3.67,3.67,3.66,3.66,3.66,4178
