Date,Open,High,Low,Close,Adjusted_close,Volume
2022-09-27,613,613,605,613,581.0313,86
2022-09-28,605,611,591,611,579.1356,332
2022-09-29,611,637,590,598,566.8136,1314
2022-09-30,600,617,600,608,576.292,218
2022-10-03,602,609,590,608,576.292,428
2022-10-04,608,617,594,602,570.605,168
2022-10-05,616,623,572,600,568.7093,1341
2022-10-06,600,603,591,600,568.7093,180
2022-10-07,608,608,570,606,574.3963,1350
2022-10-10,602,615,601,610,578.1877,365
2022-10-11,604,610,583,610,578.1877,359
2022-10-12,613,625,600,616,583.8748,718
2022-10-13,618,620,606,610,578.1877,526
2022-10-14,617,623,610,617,584.8227,68
2022-10-17,621,625,594,608,576.292,493
2022-10-18,614,635,613,632,599.0404,508
2022-10-19,623,645,601,613,581.0313,1405
2022-10-20,622,622,585,607,575.3442,1411
2022-10-21,595,607,595,605,573.4485,382
2022-10-24,608,620,594,606,574.3963,1763
2022-10-25,606,610,603,610,578.1877,91
2022-10-26,603,610,560,590,559.2308,4388
2022-10-27,591,605,585,598,566.8136,200
2022-10-28,600,610,598,609,577.2399,111
2022-10-31,607,609,595,609,577.2399,307
2022-11-02,600,620,596,620,587.6662,341
2022-11-03,610,641,604,623,590.5098,139
2022-11-04,625,650,625,645,611.3625,697
2022-11-07,650,650,621,635,601.884,303
2022-11-08,629,638,610,617,584.8227,290
2022-11-09,633,649,627,649,615.1538,400
2022-11-10,645,645,602,643,609.4668,936
2022-11-14,653,674,646,658,623.6845,749
2022-11-15,660,662,642,655,620.8409,505
2022-11-16,655,656,632,639,605.6754,504
2022-11-17,628,645,620,636,602.8318,325
2022-11-18,636,652,636,652,617.9974,168
2022-11-21,649,660,633,660,625.5802,319
2022-11-22,650,662,647,650,616.1017,605
2022-11-23,648,664,647,660,625.5802,629
2022-11-24,660,664,615,649,615.1538,3474
2022-11-25,650,655,644,650,616.1017,1034
2022-11-28,656,659,644,655,620.8409,597
2022-11-29,658,658,643,655,620.8409,1367
2022-11-30,655,678,650,678,642.6415,772
2022-12-01,690,710,683,708,671.0769,1567
2022-12-02,708,710,695,705,668.2334,1797
2022-12-05,708,734,705,715,677.7119,544
2022-12-06,716,720,692,700,663.4941,698
2022-12-07,699,700,690,699,662.5463,145
2022-12-08,699,700,693,698,661.5984,482
2022-12-09,700,707,691,702,665.3898,1334
2022-12-12,704,705,690,702,665.3898,572
2022-12-13,700,729,694,722,684.3468,719
2022-12-14,729,730,720,722,684.3468,349
2022-12-15,715,726,700,700,663.4941,619
2022-12-16,700,700,692,699,662.5463,165
2022-12-19,698,698,680,696,659.7027,273
2022-12-20,696,719,686,719,681.5033,594
2022-12-21,705,719,701,704,667.2855,263
2022-12-22,701,706,681,685,649.2764,595
2022-12-23,686,697,685,690,654.0156,169
2022-12-27,683,690,679,686,650.2243,406
2022-12-28,685,690,679,686,650.2243,746
2022-12-29,690,694,666,690,654.0156,508
2022-12-30,681,700,681,700,663.4941,234
2023-01-02,694,710,672,686,650.2243,935
2023-01-03,686,698,686,698,661.5984,315
2023-01-04,699,723,685,723,685.2947,764
2023-01-05,713,718,704,715,677.7119,937
2023-01-09,719,744,717,744,705.1995,660
2023-01-10,744,791,725,790,748.8005,1331
2023-01-11,795,799,762,785,744.0613,1116
2023-01-12,785,800,776,780,739.322,6970
2023-01-13,789,798,785,798,756.3833,247
2023-01-16,799,802,790,795,753.5398,870
2023-01-17,790,790,760,762,722.2608,1295
2023-01-18,765,774,744,774,733.6349,564
2023-01-19,769,779,760,776,735.5306,208
2023-01-20,778,810,771,804,762.0704,775
2023-01-23,807,834,791,817,774.3924,814
2023-01-24,803,810,776,785,744.0613,484
2023-01-25,776,818,770,814,771.5489,328
2023-01-26,816,816,793,800,758.279,846
2023-01-27,798,819,798,819,776.2881,694
2023-01-30,824,839,822,835,791.4537,1636
2023-01-31,835,848,800,848,803.7757,1298
2023-02-01,845,845,811,814,771.5489,746
2023-02-02,820,828,801,825,781.9752,412
2023-02-03,824,834,820,827,783.8709,378
2023-02-06,823,830,810,815,772.4967,158
2023-02-07,811,814,792,798,756.3833,453
2023-02-08,800,805,793,793,751.6441,2076
2023-02-09,800,806,791,800,758.279,265
2023-02-10,795,795,780,785,744.0613,439
2023-02-13,783,794,747,761,721.3129,1167
2023-02-14,770,782,767,770,729.8435,146
2023-02-15,771,788,771,786,745.0091,154
2023-02-16,794,795,770,795,753.5398,149
2023-02-17,798,799,787,799,757.3312,490
2023-02-20,790,798,776,798,756.3833,100
2023-02-21,790,796,780,795,753.5398,1019
2023-02-22,786,794,771,794,752.5919,318
2023-02-23,790,794,782,794,752.5919,45
2023-02-24,796,800,791,797,755.4355,187
2023-02-27,799,819,788,810,767.7575,151
2023-02-28,809,819,788,809,766.8096,2578
2023-03-01,811,812,801,810,767.7575,244
2023-03-02,810,813,800,813,770.601,172
2023-03-03,814,816,800,808,765.8618,238
2023-03-06,794,809,794,802,760.1747,137
2023-03-07,802,818,802,810,767.7575,249
2023-03-08,810,815,803,815,772.4967,135
2023-03-09,817,844,810,835,791.4537,4021
2023-03-10,835,840,828,835,791.4537,705
2023-03-13,835,844,782,804,762.0704,1070
2023-03-14,817,831,814,831,787.6623,1071
2023-03-15,828,843,814,830,786.7145,4625
2023-03-16,825,825,806,817,774.3924,1311
2023-03-17,820,825,806,825,781.9752,76
2023-03-20,839,839,805,820,777.236,269
2023-03-21,828,860,810,854,809.4628,3101
2023-03-22,857,879,849,879,833.1591,1065
2023-03-23,870,878,853,869,823.6806,363
2023-03-24,870,870,842,867,821.7849,265
2023-03-27,848,869,837,845,800.9322,508
2023-03-28,845,868,825,839,795.2451,339
2023-03-29,830,835,821,824,781.0274,480
2023-03-30,821,833,812,831,787.6623,395
2023-03-31,826,839,824,826,782.9231,279
2023-04-03,834,870,832,851,806.6193,2671
2023-04-04,852,870,848,869,823.6806,332
2023-04-05,860,871,850,850,805.6714,150
2023-04-06,849,858,842,850,805.6714,187
2023-04-11,850,851,836,850,805.6714,784
2023-04-12,843,848,831,840,796.193,226
2023-04-13,836,852,830,850,805.6714,559
2023-04-14,852,885,842,884,837.8983,602
2023-04-17,880,880,848,864,818.9413,241
2023-04-18,868,880,862,879,833.1591,397
2023-04-19,879,888,840,888,841.6897,545
2023-04-20,900,930,888,898,851.1682,2079
2023-04-21,885,885,848,865,819.8892,2299
2023-04-24,864,864,849,851,806.6193,174
2023-04-25,860,860,820,826,782.9231,665
2023-04-26,828,846,807,818,775.3403,814
2023-04-27,834,834,809,826,782.9231,1271
2023-04-28,836,848,821,833,789.558,739
2023-05-02,825,825,797,806,763.9661,749
2023-05-04,801,801,758,782,741.2177,5519
2023-05-05,782,796,762,782,741.2177,1443
2023-05-08,781,797,762,796,754.4876,898
2023-05-09,799,812,799,804,762.0704,978
2023-05-10,808,808,791,791,749.7484,102
2023-05-11,791,796,780,796,754.4876,413
2023-05-12,806,821,765,793,751.6441,1233
2023-05-15,798,809,790,800,758.279,253
2023-05-16,790,807,788,807,764.914,231
2023-05-17,808,810,802,810,767.7575,136
2023-05-18,803,809,781,801,759.2269,407
2023-05-19,805,810,790,810,767.7575,428
2023-05-22,809,809,800,808,765.8618,66
2023-05-23,808,808,784,800,758.279,193
2023-05-24,797,800,794,799,757.3312,71
2023-05-25,800,822,796,821,778.1838,819
2023-05-26,820,839,805,839,795.2451,370
2023-05-29,838,838,812,834,790.5059,278
2023-05-30,820,824,785,817,774.3924,501
2023-05-31,800,818,790,813,770.601,410
2023-06-01,800,813,800,813,770.601,172
2023-06-02,804,824,784,820,777.236,1265
2023-06-05,819,828,806,828,784.8188,269
2023-06-06,828,840,821,840,796.193,303
2023-06-07,843,848,825,835,791.4537,609
2023-06-09,824,858,824,858,813.2542,337
2023-06-12,850,860,837,851,806.6193,567
2023-06-13,836,845,808,820,777.236,822
2023-06-14,818,820,794,820,777.236,993
2023-06-15,824,826,811,826,782.9231,407
2023-06-16,824,830,810,830,786.7145,376
2023-06-19,830,830,808,817,774.3924,627
2023-06-20,816,816,790,795,753.5398,741
2023-06-21,801,801,785,785,744.0613,450
2023-06-22,785,805,785,805,763.0183,296
2023-06-23,800,814,794,814,771.5489,332
2023-06-26,802,814,787,814,771.5489,357
2023-06-27,810,826,800,826,782.9231,336
2023-06-28,825,830,800,830,786.7145,692
2023-06-29,830,845,810,845,800.9322,1021
2023-06-30,845,845,838,845,800.9322,885
2023-07-03,839,839,789,799,757.3312,2532
2023-07-04,789,800,787,790,748.8005,381
2023-07-05,789,789,763,770,729.8435,792
2023-07-06,770,778,761,768,727.9478,481
2023-07-07,765,768,760,762,722.2608,289
2023-07-10,763,768,761,765,725.1043,276
2023-07-11,765,768,741,758,718.4694,799
2023-07-12,759,768,746,768,727.9478,347
2023-07-13,768,768,746,754,714.678,539
2023-07-14,760,764,756,763,723.2086,225
2023-07-17,757,765,753,753,713.7301,252
2023-07-18,751,758,746,749,709.9387,692
2023-07-19,746,754,742,754,714.678,538
2023-07-20,754,768,754,758,718.4694,153
2023-07-21,757,765,729,758,718.4694,906
2023-07-24,748,758,731,758,718.4694,538
2023-07-25,758,758,744,750,710.8866,517
2023-07-26,748,748,736,744,705.1995,413
2023-07-27,740,757,740,757,717.5215,583
2023-07-28,754,757,745,755,715.6258,413
2023-07-31,750,757,745,754,714.678,159
2023-08-01,757,765,751,763,723.2086,354
2023-08-02,763,763,749,760,720.3651,77
2023-08-03,754,754,737,750,710.8866,314
2023-08-04,750,750,745,747,708.043,200
2023-08-07,742,744,731,736,697.6167,401
2023-08-08,745,747,731,746,707.0952,193
2023-08-09,744,757,732,757,717.5215,150
2023-08-10,757,768,740,768,727.9478,347
2023-08-11,768,768,756,768,727.9478,316
2023-08-14,768,768,753,762,722.2608,446
2023-08-16,761,761,746,755,715.6258,265
2023-08-17,729,749,711,747,708.043,1313
2023-08-18,740,747,729,737,698.5645,361
2023-08-21,740,759,723,759,719.4172,1129
2023-08-22,758,761,742,742,703.3038,330
2023-08-23,743,748,730,740,701.4081,260
2023-08-24,745,755,733,755,715.6258,389
2023-08-25,752,767,745,767,727.0,543
2023-08-28,739,739,725,729,729.0,220
2023-08-29,731,735,722,722,722.0,120
2023-08-30,721,721,708,715,715.0,187
2023-08-31,712,712,699,712,712.0,267
