Date,Open,High,Low,Close,Adjusted_close,Volume
2023-01-10,294.8,300.4,291.2,298.8,298.8,115439
2023-01-11,297.4,301.8,292.2,293.0,293.0,58839
2023-01-12,295.0,301.0,295.0,299.0,299.0,66381
2023-01-13,297.6,300.6,295.0,297.6,297.6,60198
2023-01-16,299.0,303.0,295.2,302.6,302.6,36387
2023-01-17,297.8,302.0,291.6,293.6,293.6,52660
2023-01-18,294.0,296.0,287.4,291.0,291.0,55469
2023-01-19,292.8,292.8,280.2,288.2,288.2,63018
2023-01-20,292.8,292.8,286.0,288.2,288.2,36558
2023-01-23,292.4,299.0,289.6,294.2,294.2,32056
2023-01-24,298.2,298.4,291.0,293.2,293.2,21994
2023-01-25,290.6,290.8,272.8,282.0,282.0,58107
2023-01-26,285.2,287.4,280.4,284.4,284.4,26603
2023-01-27,286.6,288.6,280.4,282.4,282.4,35332
2023-01-30,281.0,284.6,279.2,281.6,281.6,61756
2023-01-31,281.6,287.8,279.6,287.0,287.0,72522
2023-02-01,287.0,287.6,278.6,283.0,283.0,53495
2023-02-02,288.6,290.8,280.0,287.2,287.2,60409
2023-02-03,288.6,292.0,284.0,290.0,290.0,36233
2023-02-06,289.6,290.0,281.6,282.6,282.6,63499
2023-02-07,286.6,287.4,282.6,284.0,284.0,30285
2023-02-08,285.4,289.8,285.0,286.6,286.6,31367
2023-02-09,286.6,292.4,286.2,288.8,288.8,32232
2023-02-10,290.0,290.0,282.0,284.8,284.8,48109
2023-02-13,290.0,291.4,282.0,285.0,285.0,33571
2023-02-14,288.8,291.0,284.0,288.0,288.0,23001
2023-02-15,288.0,291.4,286.8,289.8,289.8,32199
2023-02-16,290.6,291.2,276.0,289.2,289.2,188442
2023-02-17,288.2,290.0,285.0,287.2,287.2,62328
2023-02-20,290.0,290.0,284.6,287.6,287.6,18135
2023-02-21,289.6,289.6,281.6,285.0,285.0,169752
2023-02-22,287.0,287.0,278.6,281.2,281.2,42063
2023-02-23,285.0,285.0,280.0,281.6,281.6,22323
2023-02-24,284.2,289.2,281.4,285.6,285.6,45182
2023-02-27,290.0,298.6,287.2,296.6,296.6,40422
2023-02-28,294.0,301.8,294.0,298.8,298.8,98105
2023-03-01,296.6,302.2,296.2,300.0,300.0,51499
2023-03-02,299.8,299.8,284.4,286.2,286.2,51723
2023-03-03,290.0,294.0,287.0,291.2,291.2,33967
2023-03-06,291.2,304.8,291.2,302.0,302.0,63594
2023-03-07,298.2,304.2,295.4,296.0,296.0,44208
2023-03-08,296.0,301.8,294.0,298.6,298.6,44800
2023-03-09,292.8,302.2,292.8,298.0,298.0,51484
2023-03-10,292.0,292.4,285.4,287.2,287.2,72856
2023-03-13,288.4,290.8,279.4,282.2,282.2,185588
2023-03-14,283.8,284.6,280.0,281.8,281.8,124887
2023-03-15,282.0,285.2,279.6,280.0,280.0,258863
2023-03-16,280.0,282.0,270.4,278.2,278.2,211214
2023-03-17,280.0,282.0,265.6,270.6,270.6,157572
2023-03-20,265.0,267.0,253.2,264.6,264.6,59653
2023-03-21,265.2,274.8,265.0,274.6,274.6,41108
2023-03-22,271.0,277.0,270.2,272.8,272.8,35745
2023-03-23,272.0,275.6,271.0,274.6,274.6,65064
2023-03-24,273.6,274.8,269.4,271.2,271.2,91881
2023-03-27,272.0,275.8,269.0,272.2,272.2,52940
2023-03-28,277.0,288.8,275.2,286.0,286.0,82278
2023-03-29,288.0,293.6,283.8,293.4,293.4,59301
2023-03-30,287.6,299.2,287.4,297.8,297.8,62049
2023-03-31,299.0,299.0,290.2,291.8,291.8,65735
2023-04-03,297.0,302.2,293.2,300.0,300.0,29811
2023-04-04,299.4,302.6,296.4,298.8,298.8,44883
2023-04-05,301.6,301.6,293.6,294.0,294.0,17183
2023-04-06,298.8,298.8,292.8,295.0,295.0,25070
2023-04-11,295.0,305.4,295.0,304.8,304.8,40142
2023-04-12,303.0,314.4,302.4,312.6,312.6,55280
2023-04-13,310.4,315.6,308.6,313.0,313.0,98520
2023-04-14,312.8,322.0,312.8,321.8,321.8,33345
2023-04-17,325.0,327.8,319.4,325.8,325.8,36484
2023-04-18,327.6,338.2,327.0,329.8,329.8,46496
