Date,Open,High,Low,Close,Adjusted_close,Volume
2022-08-12,21.9,21.9,20.2,20.2,20.2,107
2022-08-16,20.4,20.6,20.4,20.6,20.6,178
2022-08-17,20.6,20.6,20.6,20.6,20.6,104
2022-08-18,20.6,21.2,20.6,21.2,21.2,867
2022-08-19,21.2,21.2,21.2,21.2,21.2,1
2022-08-22,21.2,21.2,21.2,21.2,21.2,1
2022-08-23,21.0,22.2,21.0,22.2,22.2,425
2022-08-24,22.2,22.2,22.2,22.2,22.2,425
2022-08-25,22.0,22.0,20.4,20.4,20.4,61
2022-08-26,21.9,21.9,21.9,21.9,21.9,2
2022-08-29,21.9,21.9,21.9,21.9,21.9,2
2022-08-30,21.6,21.6,21.6,21.6,21.6,2
2022-08-31,21.3,21.3,21.3,21.3,21.3,1
2022-09-01,20.2,20.2,20.2,20.2,20.2,318
2022-09-02,20.4,20.4,20.4,20.4,20.4,31
2022-09-05,20.0,20.0,20.0,20.0,20.0,5151
2022-09-06,20.0,20.0,20.0,20.0,20.0,5151
2022-09-07,19.3,19.3,18.5,18.5,18.5,6457
2022-09-08,18.1,18.1,18.1,18.1,18.1,1545
2022-09-09,18.55,19.3,18.55,19.3,19.3,297
2022-09-12,19.3,19.8,19.3,19.8,19.8,934
2022-09-13,19.85,19.85,19.85,19.85,19.85,71
2022-09-14,18.5,18.5,18.5,18.5,18.5,1
2022-09-15,18.5,19.8,18.5,19.8,19.8,2463
2022-09-16,19.75,19.75,18.5,18.5,18.5,130
2022-09-19,18.3,18.5,18.3,18.5,18.5,1738
2022-09-20,18.5,18.9,18.5,18.9,18.9,227
2022-09-21,18.5,18.5,18.5,18.5,18.5,125
2022-09-22,18.5,18.9,18.5,18.9,18.9,406
2022-09-23,18.55,18.55,18.55,18.55,18.55,67
2022-09-26,18.3,18.3,18.2,18.2,18.2,182
2022-09-27,18.15,18.15,18.15,18.15,18.15,1012
2022-09-28,18.7,18.7,18.7,18.7,18.7,1
2022-09-29,18.6,18.6,18.6,18.6,18.6,65
2022-09-30,18.0,18.0,18.0,18.0,18.0,135
2022-10-03,17.95,18.6,17.95,18.6,18.6,173
2022-10-04,18.6,18.6,18.6,18.6,18.6,128
2022-10-05,18.5,19.2,18.5,19.2,19.2,10234
2022-10-06,19.25,19.75,19.25,19.75,19.75,391
2022-10-07,19.7,19.7,19.7,19.7,19.7,52
2022-10-10,19.7,19.7,19.7,19.7,19.7,52
2022-10-11,19.7,19.7,19.7,19.7,19.7,52
2022-10-12,19.7,19.7,19.7,19.7,19.7,52
2022-10-13,18.5,18.8,18.5,18.8,18.8,1676
2022-10-14,19.35,19.35,19.35,19.35,19.35,61
2022-10-17,18.2,18.2,18.2,18.2,18.2,1
2022-10-18,18.5,19.7,18.5,19.7,19.7,102
2022-10-19,18.45,19.7,18.45,19.7,19.7,170
2022-10-20,18.4,19.7,18.4,19.7,19.7,160
2022-10-21,18.5,19.0,18.5,19.0,19.0,175
2022-10-24,19.65,19.65,19.65,19.65,19.65,70
2022-10-25,19.7,19.7,19.7,19.7,19.7,5576
2022-10-26,19.8,19.8,19.8,19.8,19.8,213
2022-10-27,20.0,20.8,20.0,20.8,20.8,613
2022-10-28,20.8,22.0,20.8,22.0,22.0,5200
2022-10-31,19.85,21.9,19.85,21.9,21.9,12
2022-11-02,21.9,21.9,21.9,21.9,21.9,2154
2022-11-03,22.5,22.5,21.1,21.1,21.1,152
2022-11-04,22.5,22.5,22.5,22.5,22.5,9
2022-11-07,22.5,22.5,22.5,22.5,22.5,200
2022-11-08,21.4,22.4,21.4,22.4,22.4,1244
2022-11-09,22.5,23.0,22.5,23.0,23.0,254
2022-11-10,23.0,23.1,23.0,23.1,23.1,350
2022-11-14,23.2,23.4,23.2,23.4,23.4,950
2022-11-15,23.2,23.2,23.2,23.2,23.2,250
2022-11-16,23.2,23.2,23.2,23.2,23.2,300
2022-11-17,23.2,23.4,23.2,23.4,23.4,311
2022-11-18,23.4,23.4,23.4,23.4,23.4,0
2022-11-21,23.0,23.0,23.0,23.0,23.0,30
2022-11-22,22.1,22.1,22.1,22.1,22.1,2912
2022-11-23,23.4,23.6,23.4,23.6,23.6,720
2022-11-24,24.0,25.0,24.0,25.0,25.0,2101
2022-11-25,25.0,25.8,25.0,25.8,25.8,1109
2022-11-28,25.8,25.8,25.8,25.8,25.8,27
2022-11-29,25.8,25.9,25.8,25.9,25.9,281
2022-11-30,25.9,25.9,24.0,24.0,24.0,346
2022-12-01,24.1,25.2,24.1,25.2,25.2,1404
2022-12-02,25.9,25.9,25.8,25.8,25.8,437
2022-12-05,25.8,25.8,25.8,25.8,25.8,120
2022-12-06,25.8,25.8,25.8,25.8,25.8,120
2022-12-07,25.7,25.7,25.7,25.7,25.7,11
2022-12-08,25.7,25.7,25.7,25.7,25.7,11
2022-12-09,24.9,25.0,24.9,25.0,25.0,235
2022-12-12,25.0,25.5,25.0,25.5,25.5,405
2022-12-13,25.8,25.9,25.8,25.9,25.9,6222
2022-12-14,26.0,26.5,26.0,26.5,26.5,1288
2022-12-15,26.5,26.5,26.5,26.5,26.5,66
2022-12-16,26.7,26.8,26.7,26.8,26.8,936
2022-12-19,26.9,27.5,26.9,27.5,27.5,1061
2022-12-20,27.5,28.0,27.5,28.0,28.0,1157
2022-12-21,28.2,28.2,28.2,28.2,28.2,21
2022-12-22,28.2,28.2,28.2,28.2,28.2,21
2022-12-23,28.2,28.5,28.2,28.5,28.5,1090
2022-12-27,28.5,28.5,28.4,28.4,28.4,1310
2022-12-28,28.4,28.4,28.4,28.4,28.4,1212
2022-12-29,28.5,28.5,28.5,28.5,28.5,70
2022-12-30,28.0,28.0,28.0,28.0,28.0,7871
