Date,Open,High,Low,Close,Adjusted_close,Volume
2023-03-21,15.58,15.9,15.42,15.74,15.74,3540
2023-03-22,15.9,16.16,15.64,15.96,15.96,2575
2023-03-23,15.96,16.2,15.78,15.94,15.94,4874
2023-03-24,17.1,17.9,16.98,17.5,17.5,45320
2023-03-27,17.5,18.24,17.4,18.12,18.12,19457
2023-03-28,18.2,18.2,17.7,17.72,17.72,17649
2023-03-29,17.72,18.5,17.72,18.5,18.5,23468
2023-03-30,18.26,18.48,18.24,18.48,18.48,11042
2023-03-31,18.5,19.24,18.48,19.0,19.0,15825
2023-04-03,19.0,19.44,19.0,19.28,19.28,10933
2023-04-04,19.08,19.24,18.98,19.18,19.18,7404
2023-04-05,19.1,19.1,18.6,18.8,18.8,3992
2023-04-06,18.62,19.0,18.52,18.98,18.98,2489
2023-04-11,18.84,19.24,18.84,19.24,19.24,13762
2023-04-12,19.24,19.44,18.94,19.44,19.44,9043
2023-04-13,19.4,19.44,19.0,19.36,19.36,3369
2023-04-14,19.4,19.4,18.8,19.34,19.34,6907
2023-04-17,19.36,19.54,18.92,19.42,19.42,8953
2023-04-18,19.42,19.42,19.06,19.06,19.06,5199
2023-04-19,19.06,19.26,19.0,19.18,19.18,1190
2023-04-20,18.8,19.3,18.65,19.2,19.2,12992
2023-04-21,19.2,19.3,19.0,19.3,19.3,8906
2023-04-24,19.3,19.4,19.0,19.3,19.3,5249
2023-04-25,19.4,19.4,19.0,19.2,19.2,3217
2023-04-26,19.2,19.2,18.8,18.95,18.95,2734
2023-04-27,18.95,18.95,18.1,18.2,18.2,13614
2023-04-28,18.2,18.45,18.1,18.45,18.45,4440
2023-05-02,18.25,19.6,18.25,19.6,19.6,17169
2023-05-04,19.3,20.9,19.3,20.0,20.0,16334
2023-05-05,20.0,20.8,19.65,20.7,20.7,17520
2023-05-08,20.6,20.7,20.3,20.6,20.6,5159
2023-05-09,20.6,20.8,20.1,20.5,20.5,3865
2023-05-10,20.6,20.8,20.4,20.7,20.7,4072
2023-05-11,20.7,20.9,20.6,20.8,20.8,4303
2023-05-12,20.7,20.7,20.5,20.7,20.7,5626
2023-05-15,20.8,20.8,19.7,20.3,20.3,7691
2023-05-16,20.3,20.3,20.0,20.0,20.0,1662
2023-05-17,19.9,20.0,19.7,19.95,19.95,2675
2023-05-18,19.9,20.0,19.75,19.85,19.85,4564
2023-05-19,21.0,21.8,20.3,20.6,20.6,52950
2023-05-22,20.6,20.7,20.1,20.3,20.3,7959
2023-05-23,20.3,21.1,20.3,20.4,20.4,16707
2023-05-24,20.3,20.8,20.3,20.8,20.8,10202
2023-05-25,20.8,20.8,20.1,20.1,20.1,2569
2023-05-26,20.3,20.4,19.9,19.95,19.95,2190
2023-05-29,20.2,20.2,19.8,20.0,20.0,3394
2023-05-30,20.1,20.6,20.0,20.3,20.3,5301
2023-05-31,20.1,20.1,19.5,19.55,19.55,9863
2023-06-01,19.5,19.7,19.3,19.45,19.45,3973
2023-06-02,19.35,20.0,19.3,19.85,19.85,4456
2023-06-05,19.85,19.85,19.4,19.5,19.5,4101
2023-06-06,19.5,20.9,19.5,20.9,20.9,22556
2023-06-07,20.9,20.9,20.6,20.9,20.9,7341
2023-06-09,20.6,21.3,20.6,21.3,21.3,3981
2023-06-12,21.2,21.4,21.0,21.3,21.3,7042
2023-06-13,21.3,21.3,20.4,20.4,20.4,4573
2023-06-14,20.4,20.7,20.2,20.4,20.4,3101
2023-06-15,20.4,20.4,19.95,20.3,20.3,3496
2023-06-16,20.1,20.3,19.9,20.3,20.3,4373
2023-06-19,20.3,20.7,20.2,20.6,20.6,3009
2023-06-20,20.5,20.5,19.9,20.1,20.1,3781
2023-06-21,20.0,20.4,19.7,20.4,20.4,2298
2023-06-22,20.2,20.6,19.9,20.6,20.6,3972
2023-06-23,20.6,20.6,20.1,20.1,20.1,2237
2023-06-26,20.1,20.3,20.0,20.3,20.3,2137
2023-06-27,20.3,21.0,20.1,21.0,21.0,9424
2023-06-28,21.0,21.5,20.7,21.5,21.5,18680
2023-06-29,21.6,22.3,21.5,22.3,22.3,34070
2023-06-30,22.4,22.9,22.2,22.9,22.9,30884
2023-07-03,22.8,22.9,21.8,21.8,21.8,14854
2023-07-04,21.9,21.9,21.3,21.9,21.9,8140
2023-07-05,20.9,20.9,20.4,20.7,20.7,6803
2023-07-06,20.7,20.9,20.0,20.3,20.3,11260
2023-07-07,20.4,20.8,20.3,20.4,20.4,2759
2023-07-10,20.4,20.4,19.6,20.2,20.2,11680
2023-07-11,20.2,20.3,20.0,20.3,20.3,1079
2023-07-12,20.3,20.6,20.2,20.3,20.3,3827
2023-07-13,20.3,20.7,20.2,20.4,20.4,1758
2023-07-14,20.4,20.5,20.0,20.4,20.4,7287
2023-07-17,20.1,20.4,20.0,20.3,20.3,2238
2023-07-18,20.3,20.6,20.0,20.6,20.6,7572
2023-07-19,20.6,22.0,20.6,21.5,21.5,21523
2023-07-20,21.6,21.6,20.8,20.8,20.8,11056
