Date,Open,High,Low,Close,Adjusted_close,Volume
2022-12-01,240.5,240.5,236.0,240.0,240.0,827
2022-12-02,240.0,240.0,238.0,239.0,239.0,286
2022-12-05,239.0,242.5,239.0,242.0,242.0,941
2022-12-06,243.0,243.0,240.0,241.5,241.5,190
2022-12-07,240.0,242.0,239.5,240.0,240.0,378
2022-12-08,239.0,244.0,239.0,242.0,242.0,1439
2022-12-09,242.0,243.0,241.0,243.0,243.0,463
2022-12-12,243.0,246.5,241.5,245.0,245.0,1044
2022-12-13,245.0,245.0,241.5,243.5,243.5,933
2022-12-14,242.5,246.0,242.0,245.0,245.0,1211
2022-12-15,245.0,245.5,243.0,244.5,244.5,1078
2022-12-16,242.5,244.0,235.0,235.0,235.0,1376
2022-12-19,242.5,243.0,232.0,236.0,236.0,1771
2022-12-20,236.0,238.0,235.5,237.0,237.0,485
2022-12-21,238.0,240.0,236.5,238.0,238.0,627
2022-12-22,238.0,239.0,234.5,235.0,235.0,1049
2022-12-23,235.0,237.5,234.0,236.0,236.0,1008
2022-12-27,236.0,236.0,229.5,230.0,230.0,1784
2022-12-28,231.5,233.5,231.0,231.5,231.5,1686
2022-12-29,231.5,238.0,231.5,237.5,237.5,465
2022-12-30,238.0,240.5,238.0,238.0,238.0,361
2023-01-02,239.0,245.5,239.0,242.5,242.5,576
2023-01-03,245.0,245.0,242.0,242.0,242.0,7021
2023-01-04,243.0,246.0,242.5,245.0,245.0,1924
2023-01-05,245.0,248.5,242.0,248.0,248.0,1510
2023-01-09,251.0,261.5,251.0,258.0,258.0,1734
2023-01-10,261.5,273.0,261.5,272.0,272.0,3684
2023-01-11,279.0,283.5,275.0,277.0,277.0,2741
2023-01-12,275.0,282.0,275.0,280.0,280.0,1291
2023-01-13,280.5,284.0,275.0,277.5,277.5,1680
2023-01-16,282.5,283.0,275.5,281.0,281.0,940
2023-01-17,281.0,284.0,276.0,276.0,276.0,2076
2023-01-18,278.0,285.0,277.5,283.5,283.5,1734
2023-01-19,283.5,283.5,275.5,276.0,276.0,2534
2023-01-20,277.0,280.5,276.0,280.5,280.5,2907
2023-01-23,280.5,284.0,280.5,283.5,283.5,2513
2023-01-24,284.0,292.0,281.0,287.0,287.0,4002
2023-01-25,291.0,291.0,280.0,283.0,283.0,893
2023-01-26,283.0,288.5,282.0,283.5,283.5,925
2023-01-27,289.0,289.0,283.0,285.0,285.0,1434
2023-01-30,285.0,295.0,285.0,292.0,292.0,5104
2023-01-31,292.0,294.5,290.0,293.5,293.5,1514
2023-02-01,295.0,304.5,294.0,300.0,300.0,4965
2023-02-02,301.0,305.0,297.0,302.0,302.0,1426
2023-02-03,300.0,302.0,296.0,297.0,297.0,2420
2023-02-06,300.0,300.0,291.0,294.5,294.5,1086
2023-02-07,290.0,290.0,282.0,287.5,287.5,1223
2023-02-08,286.5,289.0,286.5,288.0,288.0,1707
2023-02-09,289.0,289.0,287.0,289.0,289.0,518
2023-02-10,289.0,289.0,277.0,283.0,283.0,1175
2023-02-13,283.0,283.0,278.0,281.0,281.0,1749
2023-02-14,280.5,282.0,278.0,282.0,282.0,1070
2023-02-15,283.5,285.0,277.0,279.5,279.5,1032
2023-02-16,281.0,282.0,260.0,268.0,268.0,5137
2023-02-17,267.0,270.0,264.0,270.0,270.0,743
2023-02-20,271.5,277.0,269.0,271.0,271.0,1438
2023-02-21,270.0,270.0,266.5,268.0,268.0,1130
2023-02-22,267.0,267.0,261.0,265.0,265.0,599
2023-02-23,265.5,266.5,260.0,261.5,261.5,2022
2023-02-24,262.5,262.5,256.5,260.0,260.0,1052
2023-02-27,259.5,259.5,255.0,256.0,256.0,2145
2023-02-28,257.0,257.0,253.5,254.0,254.0,1244
2023-03-01,255.0,259.5,254.0,256.0,256.0,2527
2023-03-02,258.0,258.0,255.0,255.0,255.0,1528
2023-03-03,256.0,259.5,256.0,258.0,258.0,2913
2023-03-06,258.0,266.5,258.0,265.0,265.0,3220
2023-03-07,265.0,269.0,258.0,268.0,268.0,11425
2023-03-08,267.5,279.0,267.0,279.0,279.0,1715
2023-03-09,280.0,286.0,280.0,281.0,281.0,2488
2023-03-10,277.0,285.5,276.0,281.0,281.0,2226
2023-03-13,281.0,283.5,267.5,275.0,275.0,1615
2023-03-14,271.5,277.5,271.5,275.0,275.0,727
2023-03-15,275.0,275.0,264.0,267.0,267.0,1611
2023-03-16,267.5,269.0,255.5,259.0,259.0,1978
2023-03-17,263.5,264.0,256.0,256.0,256.0,1005
