Date,Open,High,Low,Close,Adjusted_close,Volume
2023-04-27,362.0,369.5,362.0,366.0,366.0,9597
2023-04-28,365.5,368.0,363.5,366.0,366.0,13647
2023-05-02,370.0,370.0,362.0,363.0,363.0,18066
2023-05-04,363.0,369.5,362.5,367.0,367.0,16978
2023-05-05,367.0,369.0,363.0,366.0,366.0,14222
2023-05-08,364.5,373.0,364.5,367.0,367.0,9752
2023-05-09,370.0,370.0,361.0,361.0,361.0,16548
2023-05-10,366.0,368.5,363.5,366.5,366.5,13837
2023-05-11,368.0,368.0,361.0,363.0,363.0,13696
2023-05-12,363.0,370.5,362.0,370.5,370.5,17992
2023-05-15,369.5,371.5,364.0,366.0,366.0,10277
2023-05-16,367.5,368.5,363.5,366.0,366.0,9580
2023-05-17,367.0,369.5,354.0,358.5,358.5,18854
2023-05-18,358.5,360.0,357.0,359.0,359.0,16757
2023-05-19,359.0,359.0,351.0,354.5,354.5,16161
2023-05-22,357.0,364.0,356.0,361.0,361.0,26425
2023-05-23,362.0,362.5,356.0,358.0,358.0,10582
2023-05-24,344.0,345.5,334.5,343.0,343.0,14202
2023-05-25,343.0,352.5,341.5,349.0,349.0,21033
2023-05-26,344.0,351.0,344.0,350.0,350.0,10989
2023-05-29,348.0,352.0,347.0,348.0,348.0,2487
2023-05-30,347.0,351.0,338.0,349.5,349.5,22123
2023-05-31,342.0,343.0,333.0,336.5,336.5,28585
2023-06-01,338.0,346.5,331.0,345.0,345.0,20326
2023-06-02,344.5,346.0,341.5,345.0,345.0,29014
2023-06-05,340.0,344.5,337.0,338.0,338.0,12451
2023-06-06,338.0,345.0,337.0,344.5,344.5,114019
2023-06-07,345.0,346.5,341.0,345.0,345.0,6721
2023-06-09,347.0,351.0,345.0,351.0,351.0,6734
2023-06-12,350.5,351.0,346.0,346.5,346.5,15465
2023-06-13,347.5,348.5,342.5,346.0,346.0,15880
2023-06-14,346.5,351.0,344.5,348.0,348.0,15280
2023-06-15,348.0,351.0,346.0,348.0,348.0,15788
2023-06-16,351.0,351.5,345.5,351.5,351.5,13776
2023-06-19,351.0,357.5,349.5,354.0,354.0,11502
2023-06-20,354.0,354.0,349.0,349.0,349.0,3499
2023-06-21,348.0,361.5,347.5,361.5,361.5,22276
2023-06-22,358.5,361.0,350.0,353.5,353.5,8747
2023-06-23,351.0,357.0,348.0,355.5,355.5,6115
2023-06-26,354.5,358.0,353.0,354.5,354.5,8169
2023-06-27,354.5,356.5,345.0,349.0,349.0,8909
2023-06-28,350.5,355.0,350.0,354.5,354.5,9640
2023-06-29,355.0,360.0,352.0,360.0,360.0,6975
2023-06-30,360.0,360.0,351.5,359.0,359.0,8807
2023-07-03,359.0,363.0,355.5,358.0,358.0,7030
2023-07-04,360.0,360.5,355.0,358.0,358.0,12130
2023-07-05,356.0,357.5,350.5,351.0,351.0,14362
2023-07-06,351.0,361.0,350.0,360.0,360.0,10424
2023-07-07,359.5,367.0,356.5,366.5,366.5,12531
2023-07-10,368.0,377.0,365.0,372.0,372.0,14008
2023-07-11,372.0,373.0,365.5,366.0,366.0,8374
2023-07-12,366.0,373.0,366.0,370.5,370.5,10128
2023-07-13,373.0,374.5,369.0,372.0,372.0,14755
2023-07-14,373.0,395.0,373.0,392.5,392.5,40415
2023-07-17,392.0,402.0,391.0,398.0,398.0,21423
2023-07-18,398.0,415.5,398.0,415.0,415.0,27543
2023-07-19,415.5,444.0,408.5,440.0,440.0,40467
2023-07-20,439.5,460.0,435.0,453.0,453.0,46414
2023-07-21,452.0,457.5,436.0,450.0,450.0,34806
2023-07-24,450.0,453.0,440.5,443.5,443.5,14672
2023-07-25,444.0,453.5,444.0,450.0,450.0,24383
2023-07-26,451.5,455.5,435.0,437.5,437.5,20078
2023-07-27,435.5,443.5,418.0,418.0,418.0,29702
2023-07-28,419.0,428.0,416.0,422.5,422.5,19135
2023-07-31,418.0,420.0,407.0,412.5,412.5,27789
2023-08-01,413.0,425.5,413.0,419.5,419.5,39788
2023-08-02,418.5,423.5,414.0,416.5,416.5,15307
2023-08-03,423.0,423.0,413.0,415.0,415.0,8644
