Date,Open,High,Low,Close,Adjusted_close,Volume
2023-02-22,2.465,2.49,2.4,2.48,2.48,65490
2023-02-23,2.46,2.48,2.45,2.47,2.47,44612
2023-02-24,2.475,2.48,2.455,2.46,2.46,54108
2023-02-27,2.48,2.53,2.475,2.52,2.52,308921
2023-02-28,2.505,2.535,2.45,2.51,2.51,187374
2023-03-01,2.51,2.525,2.37,2.425,2.425,134448
2023-03-02,2.475,2.475,2.39,2.46,2.46,77120
2023-03-03,2.45,2.47,2.385,2.43,2.43,155540
2023-03-06,2.43,2.435,2.325,2.36,2.36,307957
2023-03-07,2.35,2.4,2.32,2.375,2.375,70230
2023-03-08,2.375,2.4,2.32,2.36,2.36,57506
2023-03-09,2.38,2.42,2.345,2.42,2.42,46371
2023-03-10,2.41,2.445,2.39,2.4,2.4,78742
2023-03-13,2.4,2.435,2.37,2.42,2.42,216261
2023-03-14,2.43,2.46,2.42,2.43,2.43,61413
2023-03-15,2.43,2.445,2.37,2.4,2.4,145838
2023-03-16,2.43,2.48,2.42,2.48,2.48,182930
2023-03-17,2.47,2.5,2.45,2.5,2.5,80533
2023-03-20,2.5,2.5,2.4,2.475,2.475,75299
2023-03-21,2.47,2.495,2.44,2.46,2.46,26752
2023-03-22,2.47,2.48,2.415,2.45,2.45,119887
2023-03-23,2.43,2.49,2.42,2.475,2.475,17768
2023-03-24,2.475,2.48,2.44,2.455,2.455,44807
2023-03-27,2.475,2.475,2.42,2.42,2.42,152148
2023-03-28,2.43,2.61,2.36,2.61,2.61,669150
2023-03-29,2.65,2.755,2.505,2.67,2.67,580267
2023-03-30,2.67,2.72,2.58,2.62,2.62,84863
2023-03-31,2.615,2.7,2.565,2.69,2.69,160821
2023-04-03,2.7,2.795,2.69,2.77,2.77,255033
2023-04-04,2.8,2.82,2.76,2.81,2.81,261497
2023-04-05,2.82,2.82,2.785,2.81,2.81,38073
2023-04-06,2.8,2.82,2.71,2.77,2.77,98107
2023-04-11,2.77,2.815,2.75,2.795,2.795,118236
2023-04-12,2.8,2.81,2.69,2.76,2.76,122577
2023-04-13,2.76,2.76,2.63,2.725,2.725,99608
2023-04-14,2.72,2.76,2.65,2.67,2.67,77188
2023-04-17,2.695,2.695,2.65,2.65,2.65,61791
2023-04-18,2.65,2.7,2.64,2.67,2.67,85645
2023-04-19,2.65,2.65,2.58,2.64,2.64,124575
2023-04-20,2.64,2.66,2.565,2.615,2.615,168104
2023-04-21,2.585,2.65,2.58,2.65,2.65,31745
2023-04-24,2.65,2.65,2.6,2.6,2.6,40817
2023-04-25,2.6,2.625,2.565,2.59,2.59,39510
2023-04-26,2.565,2.595,2.48,2.575,2.575,123613
2023-04-27,2.58,2.63,2.555,2.585,2.585,97355
2023-04-28,2.63,2.64,2.58,2.6,2.6,68558
2023-05-02,2.6,2.625,2.58,2.6,2.6,76807
2023-05-04,2.6,2.63,2.6,2.62,2.62,63954
2023-05-05,2.625,2.66,2.61,2.65,2.65,195811
2023-05-08,2.66,2.85,2.66,2.845,2.845,428034
2023-05-09,2.85,2.94,2.81,2.895,2.895,420523
2023-05-10,2.9,2.925,2.81,2.84,2.84,138766
2023-05-11,2.85,2.85,2.77,2.8,2.8,93511
2023-05-12,2.8,2.88,2.75,2.84,2.84,87364
2023-05-15,2.87,2.99,2.835,2.98,2.98,155923
2023-05-16,2.99,3.03,2.94,2.97,2.97,191851
2023-05-17,2.995,3.03,2.935,3.0,3.0,98156
2023-05-18,3.01,3.095,2.95,3.03,3.03,251882
2023-05-19,3.055,3.065,2.97,3.01,3.01,152712
2023-05-22,3.04,3.04,2.975,3.025,3.025,94336
2023-05-23,2.995,3.03,2.98,2.99,2.99,62829
2023-05-24,3.005,3.04,2.95,3.01,3.01,242787
2023-05-25,3.015,3.03,2.97,2.995,2.995,79600
2023-05-26,2.975,2.98,2.86,2.95,2.95,182436
2023-05-29,2.98,2.98,2.855,2.9,2.9,182624
2023-05-30,2.87,2.91,2.855,2.86,2.86,85817
2023-05-31,2.88,2.915,2.805,2.81,2.81,137153
2023-06-01,2.82,3.24,2.82,3.165,3.165,1015551
2023-06-02,3.22,3.26,3.14,3.2,3.2,575095
2023-06-05,3.25,3.34,3.235,3.29,3.29,443352
2023-06-06,3.3,3.33,3.265,3.31,3.31,113802
2023-06-07,3.325,3.47,3.26,3.46,3.46,485585
2023-06-09,3.52,3.97,3.52,3.67,3.67,800762
2023-06-12,3.67,3.88,3.67,3.83,3.83,542495
2023-06-13,3.79,3.79,3.52,3.63,3.63,601539
2023-06-14,3.65,3.75,3.635,3.7,3.7,167413
2023-06-15,3.715,3.77,3.65,3.72,3.72,140887
2023-06-16,3.7,3.7,3.565,3.585,3.585,231936
2023-06-19,3.585,3.665,3.58,3.66,3.66,107382
2023-06-20,3.665,3.8,3.62,3.79,3.79,128091
2023-06-21,3.8,3.825,3.7,3.76,3.76,75141
2023-06-22,3.72,3.8,3.7,3.775,3.775,75444
2023-06-23,3.78,3.81,3.745,3.78,3.78,66383
2023-06-26,3.795,3.945,3.775,3.85,3.85,380856
2023-06-27,3.95,4.63,3.9,4.35,4.35,1760516
2023-06-28,4.4,4.44,4.14,4.225,4.225,488251
2023-06-29,4.3,4.4,4.18,4.25,4.25,293628
2023-06-30,4.26,4.42,4.22,4.33,4.33,521182
2023-07-03,4.35,4.35,4.24,4.285,4.285,154146
2023-07-04,4.32,4.35,4.265,4.295,4.295,116719
2023-07-05,4.25,4.25,3.92,3.95,3.95,471840
2023-07-06,3.95,4.05,3.78,3.935,3.935,224896
2023-07-07,3.935,4.055,3.935,4.0,4.0,41554
2023-07-10,4.0,4.0,3.94,4.0,4.0,93866
2023-07-11,4.0,4.0,3.95,3.995,3.995,73002
2023-07-12,3.995,3.995,3.83,3.88,3.88,111660
2023-07-13,3.9,3.98,3.83,3.915,3.915,87541
2023-07-14,3.915,3.95,3.84,3.92,3.92,67474
2023-07-17,3.93,4.23,3.915,4.085,4.085,209841
2023-07-18,4.15,4.19,4.05,4.05,4.05,58390
2023-07-19,4.01,4.12,3.98,4.07,4.07,74780
2023-07-20,4.005,4.185,4.005,4.08,4.08,88797
2023-07-21,4.08,4.095,3.99,4.08,4.08,74997
2023-07-24,4.095,4.095,3.8,4.01,4.01,361421
2023-07-25,4.0,4.0,3.86,3.9,3.9,197643
2023-07-26,3.905,3.96,3.9,3.91,3.91,91229
2023-07-27,3.91,3.965,3.91,3.925,3.925,71424
2023-07-28,3.925,3.96,3.91,3.91,3.91,97532
2023-07-31,3.925,3.95,3.91,3.91,3.91,47443
2023-08-01,3.9,3.9,3.78,3.85,3.85,149771
2023-08-02,3.84,3.865,3.73,3.775,3.775,152403
