Date,Open,High,Low,Close,Adjusted_close,Volume
2023-02-21,14.7,14.82,14.7,14.7,14.7,2730
2023-02-22,14.7,14.92,14.56,14.74,14.74,2410
2023-02-23,14.88,15.36,14.8,15.28,15.28,6830
2023-02-24,15.5,16.0,15.4,15.4,15.4,21980
2023-02-27,15.6,16.18,15.14,16.1,16.1,11520
2023-02-28,16.1,16.98,16.1,16.86,16.86,13270
2023-03-01,16.9,17.4,15.6,16.46,16.46,36850
2023-03-02,16.5,16.8,16.42,16.6,16.6,10090
2023-03-03,16.6,16.9,16.36,16.36,16.36,8540
2023-03-06,16.5,16.5,15.62,16.0,16.0,17660
2023-03-07,16.1,16.1,15.68,15.7,15.7,9160
2023-03-08,15.7,15.7,15.32,15.46,15.46,5890
2023-03-09,15.44,15.76,15.1,15.7,15.7,15500
2023-03-10,15.88,15.88,15.04,15.08,15.08,21990
2023-03-13,14.98,14.98,13.64,14.02,14.02,41690
2023-03-14,14.16,14.88,14.16,14.72,14.72,5860
2023-03-15,14.72,14.76,14.18,14.26,14.26,5310
2023-03-16,14.14,14.7,14.06,14.6,14.6,2080
2023-03-17,14.44,14.78,14.44,14.54,14.54,3170
2023-03-20,14.54,14.76,13.9,14.54,14.54,3360
2023-03-21,14.56,14.64,14.3,14.4,14.4,2050
2023-03-22,14.66,15.08,14.32,14.6,14.6,4080
2023-03-23,14.6,15.0,14.6,14.74,14.74,2230
2023-03-24,14.5,14.5,14.32,14.4,14.4,4790
2023-03-27,14.3,14.66,14.12,14.58,14.58,3020
2023-03-28,14.4,14.58,13.98,14.12,14.12,10630
2023-03-29,14.12,14.14,13.94,13.94,13.94,15700
2023-03-30,13.98,14.14,13.96,14.0,14.0,4840
2023-03-31,14.0,14.1,13.92,13.94,13.94,2720
2023-04-03,13.94,14.56,13.94,14.3,14.3,10390
2023-04-04,14.5,14.8,14.4,14.44,14.44,2940
2023-04-05,14.42,14.5,14.16,14.2,14.2,2480
2023-04-06,14.78,14.78,14.22,14.22,14.22,1060
2023-04-11,14.48,14.72,14.48,14.72,14.72,3640
2023-04-12,14.7,14.7,14.1,14.68,14.68,7120
2023-04-13,14.68,14.84,14.42,14.52,14.52,1590
2023-04-14,14.54,14.84,14.54,14.84,14.84,2300
2023-04-17,14.84,14.9,14.58,14.9,14.9,1910
2023-04-18,14.8,14.9,14.6,14.68,14.68,990
2023-04-19,14.8,14.88,14.6,14.72,14.72,1640
2023-04-20,14.7,14.8,14.5,14.7,14.7,2370
2023-04-21,14.9,15.65,14.9,15.3,15.3,10350
2023-04-24,15.3,15.7,15.3,15.4,15.4,3160
2023-04-25,15.7,15.7,15.05,15.05,15.05,6960
2023-04-26,15.0,15.4,14.9,14.9,14.9,3050
2023-04-27,15.3,15.3,14.2,14.85,14.85,6230
2023-04-28,14.75,14.75,14.4,14.65,14.65,2920
2023-05-02,14.65,14.7,14.4,14.65,14.65,2850
2023-05-04,14.45,14.6,13.45,14.0,14.0,10750
2023-05-05,14.0,14.4,13.85,14.0,14.0,2700
2023-05-08,14.0,14.4,14.0,14.2,14.2,2950
2023-05-09,14.3,14.3,14.1,14.1,14.1,1340
2023-05-10,14.3,14.35,14.1,14.1,14.1,2160
2023-05-11,14.15,14.15,13.9,13.9,13.9,2980
2023-05-12,13.9,14.2,13.9,14.2,14.2,2060
2023-05-15,14.2,14.5,14.15,14.45,14.45,8640
2023-05-16,14.55,14.9,14.5,14.9,14.9,3450
2023-05-17,14.8,14.85,14.25,14.85,14.85,3310
2023-05-18,14.75,14.75,14.25,14.4,14.4,5480
2023-05-19,14.2,14.65,14.2,14.65,14.65,1820
2023-05-22,14.8,14.8,14.05,14.35,14.35,7800
2023-05-23,14.25,14.55,14.2,14.55,14.55,1930
2023-05-24,14.25,14.8,14.25,14.6,14.6,1430
2023-05-25,14.6,14.65,14.3,14.65,14.65,3960
2023-05-26,14.4,14.4,13.4,13.6,13.6,16200
2023-05-29,13.6,13.6,13.2,13.45,13.45,8880
2023-05-30,13.4,13.4,12.95,13.2,13.2,5630
