Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-12-08,5.98,6.07,5.92,6.07,47,64,5,1
2022-12-09,6.07,6.11,5.94,5.96,47,64,5,1
2022-12-12,5.97,6.035,5.855,5.975,47,64,5,1
2022-12-13,6.03,6.03,5.8,5.96,47,64,5,1
2022-12-14,5.98,6.05,5.935,6.0,47,64,5,1
2022-12-15,5.94,5.985,5.665,5.7,47,64,5,1
2022-12-16,5.705,5.795,5.665,5.795,47,64,5,1
2022-12-19,5.725,5.97,5.705,5.82,47,64,5,1
2022-12-20,5.84,5.84,5.705,5.8,47,64,5,1
2022-12-21,5.81,5.91,5.8,5.89,47,64,5,1
2022-12-22,5.88,5.895,5.69,5.695,47,64,5,1
2022-12-23,5.705,5.745,5.6,5.63,47,64,5,1
2022-12-27,5.64,5.68,5.56,5.6,47,64,5,1
2022-12-28,5.58,5.685,5.55,5.59,47,64,5,1
2022-12-29,5.58,5.75,5.58,5.75,47,64,5,1
2022-12-30,5.75,6.095,5.7,6.0,47,64,5,1
2023-01-02,6.08,6.18,5.955,6.13,47,64,5,1
2023-01-03,6.16,6.35,6.13,6.28,47,64,5,1
2023-01-04,6.28,6.31,6.115,6.18,47,64,5,1
2023-01-05,6.19,6.28,6.14,6.21,47,64,5,1
2023-01-09,6.275,6.345,5.945,6.0,47,64,5,1
2023-01-10,6.02,6.02,5.78,5.825,47,64,5,1
2023-01-11,5.85,6.17,5.845,6.0,47,64,5,1
2023-01-12,6.005,6.295,6.005,6.26,47,64,5,1
2023-01-13,6.29,6.33,6.22,6.31,47,64,5,1
2023-01-16,6.32,6.33,6.145,6.2,47,64,5,1
2023-01-17,6.23,6.3,6.18,6.29,47,64,5,1
2023-01-18,6.255,6.475,6.255,6.395,47,64,5,1
2023-01-19,6.37,6.45,6.295,6.43,47,64,5,1
2023-01-20,6.43,6.46,6.365,6.39,47,64,5,1
2023-01-23,6.42,6.595,6.36,6.58,47,64,5,1
2023-01-24,6.6,7.06,6.6,6.73,47,64,5,1
2023-01-25,6.74,6.75,6.6,6.675,47,64,5,1
2023-01-26,6.675,6.755,6.56,6.615,47,64,5,1
2023-01-27,6.67,6.77,6.56,6.56,47,64,5,1
2023-01-30,6.55,6.68,6.5,6.555,47,64,5,1
2023-01-31,6.58,6.785,6.535,6.75,47,64,5,1
2023-02-01,6.79,6.79,6.42,6.42,47,64,5,1
2023-02-02,6.52,6.6,6.45,6.48,47,64,5,1
2023-02-03,6.48,6.52,6.36,6.39,47,64,5,1
2023-02-06,6.39,6.39,6.22,6.25,47,64,5,1
2023-02-07,6.225,6.38,6.2,6.38,47,64,5,1
2023-02-08,6.38,6.425,6.3,6.35,47,64,5,1
2023-02-09,6.35,6.485,6.32,6.46,47,64,5,1
2023-02-10,6.36,6.395,6.23,6.35,47,64,5,1
2023-02-13,6.35,6.41,6.32,6.35,47,64,5,1
2023-02-14,6.38,6.445,6.325,6.415,47,64,5,1
2023-02-15,6.435,6.435,6.29,6.375,47,64,5,1
2023-02-16,6.4,6.545,6.39,6.5,47,64,5,1
2023-02-17,6.45,6.575,6.41,6.575,47,64,5,1
2023-02-20,6.51,6.605,6.485,6.57,47,64,5,1
2023-02-21,6.58,6.58,6.34,6.4,47,64,5,1
2023-02-22,6.39,6.39,6.22,6.335,47,64,5,1
2023-02-23,6.4,6.45,6.35,6.425,47,64,5,1
2023-02-24,6.43,6.45,6.36,6.43,47,64,5,1
2023-02-27,6.44,6.5,6.335,6.48,47,64,5,1
2023-02-28,6.4,6.535,6.33,6.475,47,64,5,1
2023-03-01,6.52,6.57,6.455,6.475,47,64,5,1
2023-03-02,6.525,6.525,6.29,6.3,47,64,5,1
2023-03-03,6.35,6.365,6.19,6.31,47,64,5,1
2023-03-06,6.38,6.48,6.355,6.44,47,64,5,1
2023-03-07,6.47,6.635,6.44,6.54,47,64,5,1
2023-03-08,6.445,6.445,6.22,6.4,47,64,5,1
2023-03-09,6.4,6.75,6.36,6.7,47,64,5,1
2023-03-10,6.625,6.63,6.45,6.63,47,64,5,1
2023-03-13,6.65,6.66,6.335,6.55,47,64,5,1
2023-03-14,6.4,6.57,6.28,6.34,47,64,5,1
2023-03-15,6.28,6.45,6.205,6.205,47,64,5,1
2023-03-16,6.2,6.3,6.065,6.3,47,64,5,1
2023-03-17,6.31,6.4,6.155,6.235,47,64,5,1
2023-03-20,6.2,6.35,6.085,6.295,47,64,5,1
2023-03-21,6.36,6.565,6.36,6.53,47,64,5,1
2023-03-22,6.53,6.56,6.415,6.53,47,64,5,1
2023-03-23,6.5,6.515,6.24,6.465,47,64,5,1
2023-03-24,6.425,6.465,6.265,6.305,47,64,5,1
2023-03-27,6.3,6.35,6.045,6.125,47,64,5,1
2023-03-28,6.19,6.2,5.925,5.925,47,64,5,1
2023-03-29,5.95,6.01,5.755,5.86,47,64,5,1
2023-03-30,5.93,6.345,5.925,6.305,47,64,5,1
2023-03-31,6.335,6.36,6.23,6.32,47,64,5,1
2023-04-03,6.32,6.455,6.225,6.285,47,64,5,1
2023-04-04,6.38,6.45,6.27,6.375,47,64,5,1
2023-04-05,6.375,6.39,6.13,6.175,47,64,5,1
2023-04-06,6.15,6.295,6.15,6.175,47,64,5,1
2023-04-11,6.2,6.43,6.19,6.38,47,64,5,1
2023-04-12,6.38,6.4,6.24,6.37,47,64,5,1
2023-04-13,6.36,6.485,6.255,6.43,47,64,5,1
2023-04-14,6.47,6.835,6.45,6.56,47,64,5,1
2023-04-17,6.56,7.08,6.505,6.85,47,64,5,1
2023-04-18,6.85,6.95,6.7,6.9,47,64,5,1
2023-04-19,6.95,6.975,6.79,6.9,47,64,5,1
2023-04-20,6.9,7.31,6.88,7.205,47,64,5,1
2023-04-21,7.15,7.2,7.04,7.04,47,64,5,1
2023-04-24,7.03,7.03,6.78,6.94,47,64,5,1
2023-04-25,6.95,7.02,6.9,6.915,47,64,5,1
2023-04-26,6.94,6.94,6.7,6.715,47,64,5,1
2023-04-27,6.73,6.84,6.7,6.84,47,64,5,1
2023-04-28,6.82,6.84,6.715,6.73,47,64,5,1
2023-05-02,6.735,6.9,6.735,6.75,47,64,5,1
2023-05-04,6.75,6.795,6.61,6.615,47,64,5,1
2023-05-05,6.615,6.785,6.6,6.74,47,64,5,1
2023-05-08,6.68,7.185,6.68,7.08,47,64,5,1
2023-05-09,7.09,7.09,6.76,6.805,47,64,5,1
2023-05-10,6.95,7.38,6.935,7.345,47,64,5,1
2023-05-11,7.34,7.34,7.055,7.075,47,64,5,1
2023-05-12,7.15,7.435,7.075,7.4,47,64,5,1
2023-05-15,7.4,7.57,7.39,7.56,47,64,5,1
2023-05-16,7.56,7.63,7.46,7.555,47,64,5,1
2023-05-17,7.555,7.555,7.0,7.025,47,64,5,1
2023-05-18,7.11,7.23,6.855,6.935,47,64,5,1
