Date,Open,High,Low,Close,Adjusted_close,Volume
2022-12-19,5.68,5.76,5.6,5.74,5.74,9009
2022-12-20,5.7,5.9,5.66,5.7,5.7,4845
2022-12-21,5.72,5.84,5.7,5.7,5.7,10038
2022-12-22,5.72,5.9,5.72,5.76,5.76,5267
2022-12-23,5.76,5.8,5.7,5.7,5.7,3301
2022-12-27,5.8,5.8,5.7,5.7,5.7,11669
2022-12-28,5.68,5.76,5.48,5.52,5.52,20891
2022-12-29,5.5,5.6,5.5,5.6,5.6,1587
2022-12-30,5.54,5.6,5.54,5.6,5.6,1628
2023-01-02,5.5,5.7,5.5,5.7,5.7,1335
2023-01-03,5.56,5.66,5.56,5.6,5.6,3349
2023-01-04,5.64,5.74,5.52,5.66,5.66,5423
2023-01-05,5.66,5.76,5.56,5.76,5.76,16174
2023-01-09,5.74,6.0,5.66,5.96,5.96,16632
2023-01-10,5.98,5.98,5.86,5.86,5.86,5582
2023-01-11,5.98,6.1,5.66,5.74,5.74,41113
2023-01-12,5.74,5.76,5.32,5.6,5.6,63536
2023-01-13,5.56,5.66,5.56,5.64,5.64,13386
2023-01-16,5.64,5.84,5.64,5.84,5.84,12256
2023-01-17,5.86,5.96,5.7,5.8,5.8,9820
2023-01-18,5.74,5.8,5.7,5.72,5.72,13470
2023-01-19,5.7,5.82,5.6,5.76,5.76,20159
2023-01-20,5.82,5.84,5.7,5.8,5.8,1880
2023-01-23,5.8,5.86,5.8,5.82,5.82,12221
2023-01-24,5.82,5.82,5.7,5.78,5.78,1989
2023-01-25,5.72,5.72,5.64,5.7,5.7,3970
2023-01-26,5.78,5.78,5.74,5.74,5.74,1554
2023-01-27,5.72,5.84,5.72,5.84,5.84,12571
2023-01-30,5.84,5.84,5.72,5.72,5.72,4654
2023-01-31,5.72,5.72,5.72,5.72,5.72,795
2023-02-01,5.74,5.8,5.7,5.74,5.74,5773
2023-02-02,5.74,5.84,5.7,5.84,5.84,8385
2023-02-03,5.84,5.86,5.78,5.82,5.82,5905
2023-02-06,5.78,5.8,5.72,5.78,5.78,8840
2023-02-07,5.78,6.0,5.78,5.84,5.84,12443
2023-02-08,5.86,6.0,5.82,5.88,5.88,14059
2023-02-09,5.96,5.96,5.86,5.94,5.94,2245
2023-02-10,5.86,5.96,5.86,5.9,5.9,1941
2023-02-13,5.8,5.94,5.8,5.84,5.84,3061
2023-02-14,5.84,5.9,5.76,5.76,5.76,2662
2023-02-15,5.88,5.88,5.74,5.82,5.82,656
2023-02-16,5.82,5.88,5.7,5.84,5.84,3825
2023-02-17,5.8,5.8,5.7,5.78,5.78,1540
2023-02-20,5.72,5.78,5.7,5.78,5.78,2341
2023-02-21,5.78,5.78,5.7,5.76,5.76,1152
2023-02-22,5.72,5.78,5.56,5.78,5.78,2801
2023-02-23,5.78,5.78,5.66,5.78,5.78,4464
2023-02-24,5.78,5.78,5.68,5.78,5.78,406
2023-02-27,5.78,5.78,5.6,5.7,5.7,3938
2023-02-28,5.62,5.7,5.6,5.7,5.7,1450
2023-03-01,5.72,5.78,5.64,5.7,5.7,4994
2023-03-02,5.7,5.74,5.68,5.68,5.68,653
2023-03-03,5.72,5.74,5.72,5.74,5.74,269
2023-03-06,5.68,5.72,5.66,5.66,5.66,1573
2023-03-07,5.7,5.9,5.66,5.82,5.82,15508
2023-03-08,5.9,6.24,5.9,6.24,6.24,24384
2023-03-09,6.24,6.38,6.1,6.24,6.24,13174
2023-03-10,6.18,6.18,5.9,5.9,5.9,8419
2023-03-13,5.88,6.06,5.82,5.82,5.82,11248
2023-03-14,5.86,5.98,5.82,5.94,5.94,2819
2023-03-15,5.96,5.96,5.82,5.82,5.82,10918
2023-03-16,5.9,5.9,5.72,5.86,5.86,3723
2023-03-17,5.9,5.9,5.72,5.9,5.9,279
