Date,Open,High,Low,Close,Adjusted_close,Volume
2022-09-19,3.29,3.29,3.21,3.24,3.0358,5930
2022-09-20,3.24,3.24,3.215,3.235,3.0311,7172
2022-09-21,3.21,3.21,3.15,3.15,2.9514,4669
2022-09-22,3.13,3.17,3.13,3.13,2.9327,1481
2022-09-23,3.11,3.17,3.105,3.105,2.9093,4659
2022-09-26,3.105,3.15,3.055,3.06,2.8671,8729
2022-09-27,3.06,3.1,3.06,3.09,2.8952,1450
2022-09-28,3.06,3.1,3.03,3.05,2.8577,18749
2022-09-29,3.1,3.105,3.04,3.055,2.8624,46079
2022-09-30,3.05,3.12,3.05,3.05,2.8577,16037
2022-10-03,3.07,3.07,3.045,3.05,2.8577,18952
2022-10-04,3.05,3.075,3.025,3.06,2.8671,24872
2022-10-05,3.05,3.085,3.04,3.04,2.8484,6621
2022-10-06,3.07,3.07,3.035,3.07,2.8765,1538
2022-10-07,3.065,3.065,3.03,3.035,2.8437,14268
2022-10-10,3.03,3.06,3.025,3.025,2.8343,9216
2022-10-11,3.05,3.075,3.035,3.035,2.8437,4974
2022-10-12,3.03,3.06,3.025,3.025,2.8343,1494
2022-10-13,3.025,3.05,3.025,3.05,2.8577,14744
2022-10-14,3.025,3.06,3.02,3.02,2.8296,6175
2022-10-17,3.055,3.055,3.02,3.055,2.8624,11314
2022-10-18,3.03,3.05,3.015,3.02,2.8296,56383
2022-10-19,3.02,3.03,2.96,2.96,2.7734,83926
2022-10-20,2.96,3.05,2.96,3.03,2.839,16224
2022-10-21,3.02,3.05,3.02,3.03,2.839,4002
2022-10-24,3.05,3.05,2.96,2.98,2.7921,18367
2022-10-25,2.98,3.02,2.86,2.96,2.7734,27796
2022-10-26,2.95,3.02,2.95,2.975,2.7875,19595
2022-10-27,2.98,3.045,2.935,2.99,2.8015,30302
2022-10-28,3.0,3.02,2.96,3.0,2.8109,15656
2022-10-31,3.045,3.045,3.0,3.01,2.8203,7175
2022-11-02,3.05,3.05,3.0,3.0,2.8109,30033
2022-11-03,3.0,3.0,2.95,2.95,2.764,20288
2022-11-04,2.955,3.0,2.935,3.0,2.8109,126156
2022-11-07,2.96,3.02,2.96,3.0,2.8109,70903
2022-11-08,3.0,3.0,2.955,2.98,2.7921,68377
2022-11-09,2.97,3.0,2.96,2.96,2.7734,23367
2022-11-10,2.99,2.99,2.95,2.95,2.764,131185
2022-11-14,2.995,2.995,2.935,2.945,2.7594,117775
2022-11-15,2.95,2.96,2.935,2.94,2.7547,21216
2022-11-16,2.935,2.98,2.935,2.94,2.7547,63179
2022-11-17,2.945,2.96,2.935,2.955,2.7687,21723
2022-11-18,2.95,2.955,2.94,2.94,2.7547,8956
2022-11-21,2.95,2.95,2.93,2.94,2.7547,17812
2022-11-22,2.95,2.95,2.93,2.94,2.7547,15561
2022-11-23,2.935,2.94,2.93,2.94,2.7547,12665
2022-11-24,2.945,2.945,2.935,2.94,2.7547,15466
2022-11-25,2.935,2.95,2.93,2.94,2.7547,50154
2022-11-28,2.94,2.94,2.935,2.94,2.7547,60511
2022-11-29,3.0,3.01,2.93,2.94,2.7547,86797
2022-11-30,2.94,2.955,2.935,2.94,2.7547,45906
2022-12-01,2.97,3.0,2.94,3.0,2.8109,60348
2022-12-02,3.0,3.0,2.96,2.99,2.8015,10046
2022-12-05,2.99,3.0,2.96,3.0,2.8109,34384
2022-12-06,2.99,3.075,2.98,3.01,2.8203,45765
2022-12-07,3.04,3.04,3.0,3.01,2.8203,24750
2022-12-08,3.02,3.04,3.02,3.025,2.8343,7286
2022-12-09,3.035,3.075,3.025,3.07,2.8765,56342
2022-12-12,3.08,3.155,3.08,3.15,2.9514,28240
2022-12-13,3.165,3.23,3.165,3.185,2.9842,34229
2022-12-14,3.2,3.23,3.18,3.21,3.0077,74242
2022-12-15,3.23,3.23,3.175,3.225,3.0217,367312
2022-12-16,3.2,3.21,3.16,3.17,2.9702,6701
