Date,Open,High,Low,Close,Adjusted_close,Volume
2022-11-10,0.726,0.755,0.72,0.755,0.755,17072
2022-11-14,0.725,0.769,0.725,0.76,0.76,10857
2022-11-15,0.735,0.785,0.735,0.77,0.77,28235
2022-11-16,0.768,0.779,0.745,0.76,0.76,11322
2022-11-17,0.746,0.78,0.73,0.738,0.738,61312
2022-11-18,0.726,0.75,0.726,0.75,0.75,9795
2022-11-21,0.728,0.73,0.728,0.73,0.73,4816
2022-11-22,0.73,0.764,0.725,0.737,0.737,31399
2022-11-23,0.728,0.73,0.727,0.727,0.727,3896
2022-11-24,0.75,0.86,0.75,0.802,0.802,253182
2022-11-25,0.802,0.83,0.78,0.811,0.811,80480
2022-11-28,0.82,0.829,0.786,0.819,0.819,18478
2022-11-29,0.819,0.84,0.787,0.84,0.84,48490
2022-11-30,0.84,0.9,0.82,0.84,0.84,135689
2022-12-01,0.831,0.837,0.797,0.82,0.82,23014
2022-12-02,0.82,0.82,0.778,0.791,0.791,44876
2022-12-05,0.8,0.83,0.79,0.818,0.818,25588
2022-12-06,0.785,0.818,0.785,0.81,0.81,1850
2022-12-07,0.814,0.816,0.792,0.8,0.8,16514
2022-12-08,0.795,0.81,0.785,0.81,0.81,23362
2022-12-09,0.785,0.8,0.772,0.8,0.8,32987
2022-12-12,0.774,0.808,0.774,0.78,0.78,23619
2022-12-13,0.775,0.78,0.766,0.78,0.78,33184
2022-12-14,0.78,0.78,0.74,0.76,0.76,69223
2022-12-15,0.75,0.785,0.74,0.785,0.785,37814
2022-12-16,0.76,0.782,0.752,0.769,0.769,14397
2022-12-19,0.76,0.769,0.752,0.752,0.752,14271
2022-12-20,0.752,0.779,0.744,0.75,0.75,23762
2022-12-21,0.76,0.779,0.743,0.777,0.777,21644
2022-12-22,0.77,0.77,0.753,0.767,0.767,3725
2022-12-23,0.754,0.77,0.742,0.769,0.769,14368
2022-12-27,0.75,0.75,0.742,0.743,0.743,30892
2022-12-28,0.743,0.76,0.74,0.741,0.741,35832
2022-12-29,0.743,0.771,0.742,0.747,0.747,35944
2022-12-30,0.75,0.777,0.747,0.777,0.777,25942
2023-01-02,0.777,0.777,0.74,0.74,0.74,24469
2023-01-03,0.741,0.768,0.741,0.744,0.744,12346
2023-01-04,0.745,0.76,0.742,0.742,0.742,30578
2023-01-05,0.763,0.763,0.742,0.755,0.755,21023
2023-01-09,0.75,0.766,0.75,0.763,0.763,12283
2023-01-10,0.752,0.776,0.746,0.75,0.75,24348
2023-01-11,0.75,0.755,0.745,0.75,0.75,20055
2023-01-12,0.751,0.76,0.738,0.757,0.757,34148
2023-01-13,0.739,0.753,0.739,0.74,0.74,6047
2023-01-16,0.747,0.76,0.747,0.748,0.748,12215
2023-01-17,0.75,0.752,0.743,0.743,0.743,18799
2023-01-18,0.749,0.758,0.738,0.758,0.758,12620
2023-01-19,0.758,0.758,0.742,0.742,0.742,8266
2023-01-20,0.742,0.759,0.742,0.758,0.758,3525
2023-01-23,0.759,0.759,0.743,0.758,0.758,14533
2023-01-24,0.758,0.758,0.744,0.755,0.755,15130
2023-01-25,0.746,0.755,0.745,0.746,0.746,8725
2023-01-26,0.746,0.758,0.744,0.744,0.744,10020
2023-01-27,0.755,0.755,0.736,0.75,0.75,21944
2023-01-30,0.75,0.75,0.74,0.75,0.75,7800
2023-01-31,0.742,0.748,0.736,0.74,0.74,19750
2023-02-01,0.739,0.741,0.739,0.739,0.739,2392
2023-02-02,0.737,0.74,0.734,0.739,0.739,54992
2023-02-03,0.74,0.743,0.73,0.739,0.739,20349
2023-02-06,0.73,0.739,0.728,0.729,0.729,4572
2023-02-07,0.728,0.73,0.666,0.701,0.701,133976
2023-02-08,0.7,0.701,0.698,0.698,0.698,10893
2023-02-09,0.696,0.72,0.696,0.71,0.71,41995
2023-02-10,0.719,0.729,0.7,0.719,0.719,13220
2023-02-13,0.71,0.719,0.698,0.71,0.71,12527
2023-02-14,0.71,0.718,0.703,0.703,0.703,4346
2023-02-15,0.703,0.716,0.698,0.715,0.715,22592
2023-02-16,0.701,0.71,0.658,0.697,0.697,105688
2023-02-17,0.697,0.697,0.671,0.696,0.696,16176
2023-02-20,0.69,0.69,0.68,0.69,0.69,4498
2023-02-21,0.689,0.69,0.674,0.678,0.678,5183
2023-02-22,0.678,0.698,0.676,0.68,0.68,9880
2023-02-23,0.688,0.688,0.676,0.68,0.68,1733
2023-02-24,0.681,0.688,0.678,0.678,0.678,6160
2023-02-27,0.674,0.68,0.67,0.67,0.67,15565
2023-02-28,0.67,0.679,0.65,0.666,0.666,14123
2023-03-01,0.677,0.677,0.635,0.665,0.665,39656
2023-03-02,0.655,0.655,0.635,0.646,0.646,63496
