Date,Open,High,Low,Close,Adjusted_close,Volume
2022-05-11,1.58,1.6,1.54,1.57,1.57,21891
2022-05-12,1.564,1.6,1.502,1.534,1.534,47566
2022-05-13,1.554,1.598,1.55,1.592,1.592,61273
2022-05-16,1.598,1.67,1.592,1.592,1.592,59615
2022-05-17,1.59,1.638,1.59,1.628,1.628,65182
2022-05-18,1.602,1.648,1.596,1.596,1.596,90160
2022-05-19,1.6,1.6,1.526,1.556,1.556,44897
2022-05-20,1.572,1.574,1.538,1.56,1.56,91823
2022-05-23,1.55,1.58,1.54,1.568,1.568,69025
2022-05-24,1.57,1.58,1.54,1.544,1.544,43860
2022-05-25,1.568,1.59,1.552,1.566,1.566,21534
2022-05-26,1.57,1.83,1.57,1.68,1.68,367057
2022-05-27,1.68,1.78,1.68,1.696,1.696,82481
2022-05-30,1.644,1.724,1.644,1.72,1.72,74848
2022-05-31,1.7,1.716,1.66,1.688,1.688,33827
2022-06-01,1.69,1.748,1.66,1.728,1.728,138908
2022-06-02,1.758,1.78,1.69,1.72,1.72,110767
2022-06-03,1.724,1.724,1.65,1.66,1.66,72090
2022-06-06,1.66,1.698,1.622,1.65,1.65,39443
2022-06-07,1.63,1.666,1.57,1.582,1.582,72551
2022-06-08,1.562,1.6,1.562,1.6,1.6,63408
2022-06-09,1.59,1.608,1.566,1.596,1.596,18814
2022-06-10,1.564,1.584,1.55,1.584,1.584,36277
2022-06-13,1.536,1.6,1.512,1.57,1.57,94300
2022-06-14,1.56,1.56,1.526,1.53,1.53,31369
2022-06-15,1.552,1.56,1.52,1.522,1.522,27709
2022-06-17,1.522,1.558,1.5,1.5,1.5,67756
2022-06-20,1.502,1.56,1.502,1.544,1.544,38667
2022-06-21,1.558,1.67,1.546,1.65,1.65,70111
2022-06-22,1.65,1.65,1.58,1.63,1.63,50286
2022-06-23,1.6,1.65,1.55,1.6,1.6,83733
2022-06-24,1.608,1.64,1.55,1.56,1.56,182238
2022-06-27,1.558,1.624,1.55,1.58,1.58,53090
2022-06-28,1.6,1.84,1.58,1.786,1.786,586853
2022-06-29,1.79,1.848,1.68,1.736,1.736,388609
2022-06-30,1.71,1.76,1.69,1.712,1.712,48317
2022-07-01,1.7,1.718,1.66,1.66,1.66,48124
2022-07-04,1.622,1.65,1.584,1.6,1.6,112817
2022-07-05,1.66,1.66,1.552,1.56,1.56,78665
2022-07-06,1.57,1.634,1.56,1.58,1.58,43013
2022-07-07,1.616,1.636,1.59,1.622,1.622,24623
2022-07-08,1.628,1.67,1.628,1.66,1.66,61621
2022-07-11,1.614,1.72,1.614,1.66,1.66,115810
2022-07-12,1.666,1.68,1.65,1.65,1.65,25917
2022-07-13,1.67,1.73,1.604,1.66,1.66,77813
2022-07-14,1.698,1.84,1.64,1.72,1.72,460075
2022-07-15,1.766,1.766,1.672,1.7,1.7,38250
2022-07-18,1.69,1.76,1.69,1.72,1.72,77023
2022-07-19,1.72,1.74,1.704,1.712,1.712,21516
2022-07-20,1.73,1.74,1.7,1.71,1.71,54995
2022-07-21,1.706,1.746,1.706,1.73,1.73,89079
2022-07-22,1.716,1.768,1.716,1.74,1.74,47325
2022-07-25,1.72,1.768,1.714,1.746,1.746,55592
2022-07-26,1.746,1.746,1.7,1.722,1.722,88097
2022-07-27,1.69,1.724,1.69,1.702,1.702,62797
2022-07-28,1.7,1.73,1.7,1.706,1.706,37749
2022-07-29,1.72,1.73,1.698,1.726,1.726,70810
2022-08-01,1.72,1.79,1.702,1.77,1.77,137435
2022-08-02,1.77,1.796,1.75,1.76,1.76,189351
2022-08-03,1.788,1.79,1.74,1.764,1.764,101180
2022-08-04,1.742,1.76,1.712,1.712,1.712,48914
2022-08-05,1.748,1.748,1.692,1.692,1.692,28165
2022-08-08,1.7,1.75,1.694,1.738,1.738,29234
2022-08-09,1.75,1.75,1.68,1.69,1.69,90067
2022-08-10,1.7,1.722,1.672,1.676,1.676,43933
2022-08-11,1.67,1.718,1.67,1.696,1.696,71167
2022-08-12,1.672,1.7,1.67,1.672,1.672,30242
2022-08-16,1.698,1.71,1.69,1.69,1.69,41406
2022-08-17,1.7,1.73,1.68,1.68,1.68,35422
2022-08-18,1.68,1.696,1.68,1.684,1.684,9635
2022-08-19,1.684,1.698,1.662,1.662,1.662,42435
2022-08-22,1.67,1.7,1.666,1.672,1.672,26440
2022-08-23,1.694,1.72,1.682,1.7,1.7,42497
2022-08-24,1.7,1.7,1.65,1.684,1.684,56255
2022-08-25,1.68,1.72,1.662,1.662,1.662,119225
2022-08-26,1.67,1.69,1.64,1.656,1.656,74355
2022-08-29,1.678,1.678,1.61,1.628,1.628,60626
2022-08-30,1.63,1.66,1.616,1.616,1.616,45629
2022-08-31,1.644,1.644,1.622,1.622,1.622,65376
2022-09-01,1.672,1.672,1.572,1.572,1.572,39016
2022-09-02,1.566,1.63,1.56,1.604,1.604,122238
2022-09-05,1.67,1.672,1.66,1.666,1.666,191343
2022-09-06,1.66,1.668,1.65,1.65,1.65,161085
2022-09-07,1.65,1.658,1.644,1.646,1.646,76437
2022-09-08,1.65,1.658,1.646,1.65,1.65,21001
2022-09-09,1.65,1.668,1.648,1.654,1.654,103083
2022-09-12,1.654,1.668,1.654,1.66,1.66,42240
2022-09-13,1.668,1.682,1.658,1.66,1.66,98668
2022-09-14,1.662,1.706,1.66,1.686,1.686,31001
2022-09-15,1.686,1.688,1.668,1.678,1.678,11051
