Date,Open,High,Low,Close,Adjusted_close,Volume
2023-03-28,22.7,23.7,22.6,22.6,22.6,100125
2023-03-29,23.0,23.0,22.65,22.9,22.9,20770
2023-03-30,23.15,23.6,23.0,23.3,23.3,80147
2023-03-31,24.0,24.0,23.35,23.5,23.5,20601
2023-04-03,23.5,24.0,23.1,23.3,23.3,32726
2023-04-04,23.4,23.4,22.65,22.7,22.7,42862
2023-04-05,22.8,23.0,22.7,22.8,22.8,11950
2023-04-06,22.75,23.0,22.65,22.9,22.9,8099
2023-04-11,23.2,23.5,23.1,23.3,23.3,23989
2023-04-12,23.35,23.65,23.2,23.4,23.4,24844
2023-04-13,23.4,25.05,23.2,23.85,23.85,129014
2023-04-14,24.15,24.8,23.5,23.9,23.9,94382
2023-04-17,24.0,24.35,23.5,23.8,23.8,32341
2023-04-18,24.0,24.15,23.55,23.8,23.8,44870
2023-04-19,24.0,24.0,23.35,23.5,23.5,25188
2023-04-20,23.5,23.7,23.3,23.3,23.3,34020
2023-04-21,23.35,23.5,23.1,23.15,23.15,17098
2023-04-24,23.2,23.5,23.1,23.3,23.3,15984
2023-04-25,23.2,23.3,23.0,23.25,23.25,11884
2023-04-26,23.1,23.4,23.0,23.15,23.15,14067
2023-04-27,23.15,23.55,23.0,23.35,23.35,23892
2023-04-28,23.1,24.15,23.0,23.0,23.0,58400
2023-05-02,23.25,23.35,23.0,23.1,23.1,15299
2023-05-04,23.1,23.1,21.75,22.0,22.0,68457
2023-05-05,22.1,22.15,21.45,21.7,21.7,40440
2023-05-08,21.9,22.0,21.65,21.8,21.8,19329
2023-05-09,21.9,21.9,21.1,21.4,21.4,30020
2023-05-10,21.5,22.3,21.35,21.9,21.9,19831
2023-05-11,22.2,22.55,22.0,22.2,22.2,12696
2023-05-12,22.4,22.4,21.9,21.9,21.9,9450
2023-05-15,21.95,22.3,21.95,22.25,22.25,6223
2023-05-16,22.35,22.5,22.2,22.2,22.2,6483
2023-05-17,22.45,22.5,22.0,22.25,22.25,17659
2023-05-18,22.45,22.45,21.65,21.9,21.9,9970
2023-05-19,21.8,22.35,21.8,22.35,22.35,9290
2023-05-22,22.35,22.5,22.3,22.4,22.4,13509
2023-05-23,22.4,22.55,22.3,22.4,22.4,12202
