Date,Open,High,Low,Close,Adjusted_close,Volume
2023-04-11,150.0,155.0,147.0,155.0,155.0,907
2023-04-12,156.0,162.5,149.0,162.5,162.5,662
2023-04-13,162.0,162.0,156.0,156.0,156.0,3841
2023-04-14,160.0,162.0,156.0,162.0,162.0,704
2023-04-17,162.0,165.0,161.0,165.0,165.0,1717
2023-04-18,165.0,165.0,160.0,165.0,165.0,124
2023-04-19,163.5,163.5,153.5,160.0,160.0,410
2023-04-20,164.5,165.0,156.0,163.0,163.0,2847
2023-04-21,164.5,164.5,156.0,163.5,163.5,2307
2023-04-24,158.5,166.5,155.0,160.0,160.0,386
2023-04-25,158.0,163.0,157.5,163.0,163.0,65
2023-04-26,157.0,162.5,153.5,162.5,162.5,527
2023-04-27,162.0,162.5,156.5,162.5,162.5,87
2023-04-28,157.0,165.0,157.0,165.0,165.0,6348
2023-05-02,160.5,164.5,160.0,164.5,164.5,26
2023-05-04,162.0,165.0,162.0,165.0,165.0,2275
2023-05-05,163.0,165.0,160.0,165.0,165.0,5057
2023-05-08,164.0,164.0,158.5,164.0,164.0,2103
2023-05-09,164.0,164.0,164.0,164.0,164.0,2103
2023-05-10,158.0,162.5,158.0,162.5,162.5,560
2023-05-11,159.0,163.0,158.0,163.0,163.0,3548
2023-05-12,161.0,162.5,158.0,162.5,162.5,645
2023-05-15,161.0,162.5,161.0,162.5,162.5,113
2023-05-16,157.0,164.0,157.0,164.0,164.0,8988
2023-05-17,165.0,165.0,163.0,165.0,165.0,2018
2023-05-18,161.5,164.5,160.0,164.5,164.5,1112
2023-05-19,160.0,164.0,158.0,160.0,160.0,1167
2023-05-22,160.0,164.0,158.0,164.0,164.0,3254
2023-05-23,164.0,164.5,162.0,164.0,164.0,5903
2023-05-24,160.0,164.0,159.0,163.0,163.0,2011
2023-05-25,163.0,164.0,161.0,163.0,163.0,1168
2023-05-26,160.5,162.0,159.5,162.0,162.0,10
2023-05-29,163.5,164.0,158.0,162.0,162.0,1093
2023-05-30,161.0,162.0,161.0,162.0,162.0,3151
2023-05-31,160.5,163.0,160.0,161.0,161.0,1889
2023-06-01,158.0,161.0,158.0,161.0,161.0,51
2023-06-02,157.5,161.0,157.5,161.0,161.0,413
2023-06-05,155.5,162.5,155.5,162.5,162.5,87
2023-06-06,158.0,162.5,158.0,162.5,162.5,31
2023-06-07,155.5,160.0,152.0,155.0,155.0,241
2023-06-09,153.0,158.0,152.0,158.0,158.0,29
2023-06-12,152.0,158.0,152.0,158.0,158.0,97
2023-06-13,155.0,158.0,153.0,158.0,158.0,222
2023-06-14,157.0,160.0,155.0,160.0,160.0,203
2023-06-15,160.0,160.0,160.0,160.0,160.0,203
2023-06-16,155.5,157.5,153.0,154.5,154.5,585
2023-06-19,153.0,153.0,153.0,153.0,153.0,250
2023-06-20,153.0,155.0,148.0,151.5,151.5,912
2023-06-21,146.5,160.0,146.5,159.0,159.0,1087
2023-06-22,158.0,160.0,153.5,158.5,158.5,230
2023-06-23,159.0,159.0,153.5,159.0,159.0,74
2023-06-26,155.0,155.0,155.0,155.0,155.0,273
2023-06-27,151.0,154.0,145.5,147.5,147.5,6328
2023-06-28,150.0,150.0,148.0,148.0,148.0,61
2023-06-29,149.0,155.5,149.0,149.0,149.0,456
2023-06-30,149.0,153.0,149.0,152.0,152.0,649
2023-07-03,151.0,151.0,145.5,149.0,149.0,371
2023-07-04,148.0,148.0,145.0,146.5,146.5,767
2023-07-05,145.5,146.0,145.0,145.0,145.0,232
2023-07-06,145.0,145.0,142.5,145.0,145.0,203
2023-07-07,145.0,145.0,143.0,143.0,143.0,368
2023-07-10,142.5,142.5,140.0,141.0,141.0,411
2023-07-11,141.0,147.0,140.0,147.0,147.0,1577
2023-07-12,140.5,147.0,140.5,147.0,147.0,261
2023-07-13,146.0,146.5,140.5,146.0,146.0,304
2023-07-14,146.0,146.0,145.0,146.0,146.0,107
2023-07-17,146.0,146.0,140.5,145.5,145.5,342
2023-07-18,146.0,147.0,143.0,145.5,145.5,717
