Date,Open,High,Low,Close,Adjusted_close,Volume
2022-12-16,57204.21,57404.22,57204.21,57374.35,57374.35,63330000
2022-12-19,57693.74,57693.74,57444.56,57444.56,57444.56,27550000
2022-12-20,57430.71,58002.22,57430.71,58002.22,58002.22,26360000
2022-12-21,57970.03,58673.21,57970.03,58673.21,58673.21,26710000
2022-12-22,58495.52,58529.34,58450.57,58450.57,58450.57,23420000
2022-12-23,58382.15,58417.35,58232.5,58417.35,58417.35,20280000
2022-12-27,58406.37,58406.37,57915.49,57915.49,57915.49,26400000
2022-12-28,57951.77,58075.23,57951.77,57978.03,57978.03,31650000
2022-12-29,58289.7,59033.0,58289.7,59033.0,59033.0,24790000
2022-12-30,58868.74,58868.74,58856.93,58864.46,58864.46,25610000
2023-01-02,59284.95,59284.95,58948.21,59060.52,59060.52,20500000
2023-01-03,60142.4,60412.03,60142.4,60236.87,60236.87,52020000
2023-01-04,60992.73,61249.66,60992.73,61249.66,61249.66,44150000
2023-01-05,62117.38,62117.38,61337.59,61337.59,61337.59,49430000
2023-01-09,62245.31,62923.07,62212.8,62923.07,62923.07,54300000
2023-01-10,62773.0,63564.51,62773.0,63564.51,63564.51,41250000
2023-01-11,63609.86,63609.86,62830.84,62830.84,62830.84,50550000
2023-01-12,63605.98,63605.98,63316.14,63316.14,63316.14,67040000
2023-01-13,63230.91,63230.91,62779.33,63137.92,63137.92,35790000
2023-01-16,62715.07,63556.5,62715.07,63432.47,63432.47,39570000
2023-01-17,62825.86,62825.86,62543.84,62543.84,62543.84,36040000
2023-01-18,62420.15,63067.03,62420.15,62693.89,62693.89,46390000
2023-01-19,61928.27,62060.72,61666.16,62060.72,62060.72,47880000
2023-01-20,62121.64,62302.88,62121.64,62302.88,62302.88,28930000
2023-01-23,62831.36,63182.12,62831.36,63182.12,63182.12,36650000
2023-01-24,63517.55,63517.55,63056.02,63056.02,63056.02,42660000
2023-01-25,62116.79,62116.79,61909.43,62035.2,62035.2,39180000
2023-01-26,62515.54,62880.06,62515.54,62744.31,62744.31,35170000
2023-01-27,62728.96,62863.1,62728.96,62752.11,62752.11,31980000
2023-01-30,61964.46,62044.35,61964.46,62044.35,62044.35,32620000
2023-01-31,62094.4,62748.32,62094.4,62748.32,62748.32,43480000
2023-02-01,62152.44,62395.57,61897.64,61897.64,61897.64,51510000
2023-02-02,62454.11,63039.18,62454.11,62792.59,62792.59,44320000
2023-02-03,63074.38,63074.38,62648.04,62889.2,62889.2,34120000
2023-02-06,61926.26,61926.26,61699.79,61699.79,61699.79,32250000
2023-02-07,61853.7,61853.7,61712.41,61847.43,61847.43,31900000
2023-02-08,62441.59,62498.44,62306.5,62306.5,62306.5,29010000
2023-02-09,63057.33,63057.33,62768.86,62786.7,62786.7,34970000
2023-02-10,61741.94,61741.94,61233.97,61329.78,61329.78,43830000
2023-02-13,61272.65,61400.53,61116.32,61400.53,61400.53,32330000
2023-02-14,61439.68,61439.68,61271.28,61424.29,61424.29,28630000
2023-02-15,61569.13,61886.78,61569.13,61886.78,61886.78,27030000
2023-02-16,61378.63,61880.22,61361.19,61880.22,61880.22,39100000
2023-02-17,61570.91,61794.17,61570.91,61731.57,61731.57,28620000
2023-02-20,61449.9,61538.58,61449.9,61503.27,61503.27,22590000
2023-02-21,60856.63,60856.63,60666.05,60749.32,60749.32,27140000
2023-02-22,59909.29,59909.29,59830.46,59877.22,59877.22,32370000
2023-02-23,60416.98,60671.45,60416.98,60671.45,60671.45,24720000
2023-02-24,60511.58,60511.58,60179.74,60214.67,60214.67,22690000
2023-02-27,60285.51,60585.55,60285.51,60554.22,60554.22,19560000
2023-02-28,60915.71,61365.76,60915.71,61365.76,61365.76,38280000
2023-03-01,61920.72,61920.72,61658.91,61716.19,61716.19,29490000
2023-03-02,60826.81,60826.81,60670.04,60670.04,60670.04,35490000
2023-03-03,61124.38,61437.78,61089.35,61437.78,61437.78,28860000
2023-03-06,62110.07,62506.67,62110.07,62506.67,62506.67,31320000
2023-03-07,62841.34,62841.34,62125.39,62125.39,62125.39,35740000
2023-03-08,61924.57,62388.74,61924.57,62388.74,62388.74,38940000
2023-03-09,61950.81,62198.21,61917.56,61917.56,61917.56,28710000
2023-03-10,60972.45,60972.45,60809.84,60809.84,60809.84,38780000
2023-03-13,59151.34,59413.72,59151.34,59413.72,59413.72,45430000
2023-03-14,59084.68,59771.34,59084.68,59561.67,59561.67,31910000
2023-03-15,58665.75,58665.75,57980.02,57980.02,57980.02,41070000
2023-03-16,57865.8,58070.22,57178.92,58070.22,58070.22,45090000
2023-03-17,58708.35,58708.35,57430.91,57430.91,57430.91,61180000
2023-03-20,56915.62,57602.26,56915.62,57602.26,57602.26,34190000
2023-03-21,58460.05,58539.21,58460.05,58470.54,58470.54,36350000
2023-03-22,58613.72,58613.72,58122.37,58122.37,58122.37,28870000
2023-03-23,57583.26,58101.02,57583.26,58101.02,58101.02,27040000
2023-03-24,56929.17,57108.23,56929.17,57108.23,57108.23,31790000
2023-03-27,57335.14,57687.05,57335.14,57605.43,57605.43,27720000
2023-03-28,58231.89,58231.89,57825.82,57893.26,57893.26,38450000
2023-03-29,58247.37,58304.08,58215.11,58304.08,58304.08,38920000
2023-03-30,59446.0,59885.38,59446.0,59885.38,59885.38,47340000
2023-03-31,60007.63,60007.63,59826.45,59826.45,59826.45,53040000
