Date,Open,High,Low,Close,Adjusted_close,Volume
2022-07-19,100.6,100.6,96.1,97.2,89.7262,7754
2022-07-20,97.2,101.2,96.3,100.0,92.3109,15494
2022-07-21,101.6,102.0,100.0,100.0,92.3109,10358
2022-07-22,101.8,102.0,101.2,101.2,93.4186,12082
2022-07-25,102.0,102.0,100.0,101.8,93.9725,1740
2022-07-26,101.8,101.8,96.0,97.2,89.7262,12512
2022-07-27,98.7,99.2,94.7,95.0,87.6953,11115
2022-07-28,95.8,98.2,95.8,97.0,90.6291,7077
2022-07-29,97.5,99.9,97.5,99.4,92.8714,3862
2022-08-01,99.9,100.8,98.4,99.0,92.4977,3366
2022-08-02,100.0,102.0,100.0,101.4,94.7401,21041
2022-08-03,101.4,102.0,100.0,101.8,95.1138,23572
2022-08-04,102.0,102.0,100.6,100.8,94.1795,38216
2022-08-05,102.0,102.0,100.0,102.0,95.3007,23795
2022-08-08,102.0,102.0,100.0,100.4,93.8058,4821
2022-08-09,100.0,101.4,100.0,100.0,93.432,4832
2022-08-10,101.2,101.4,95.1,100.0,93.432,16494
2022-08-11,101.0,105.0,100.0,101.0,94.3664,40479
2022-08-12,102.4,102.4,101.0,101.0,94.3664,5927
2022-08-16,101.0,109.6,101.0,109.6,102.4015,40145
2022-08-17,109.6,110.6,106.8,110.0,102.7752,21185
2022-08-18,110.0,110.4,106.8,110.2,102.9621,21305
2022-08-19,110.6,110.6,106.8,109.0,101.8409,15691
2022-08-22,109.0,109.0,102.4,103.6,96.7956,14498
2022-08-23,102.0,105.6,99.2,101.0,94.3664,10644
2022-08-24,100.0,101.8,99.0,100.2,95.6261,3147
2022-08-25,101.6,101.6,99.5,101.0,96.3896,4235
2022-08-26,101.4,108.4,101.4,107.8,102.8792,14813
2022-08-29,107.8,107.8,104.4,107.6,102.6883,33360
2022-08-30,107.8,109.2,105.0,108.0,103.0701,27066
2022-08-31,105.6,108.4,103.6,104.2,99.4435,61076
2022-09-01,103.0,106.8,101.8,106.8,101.9248,18417
2022-09-02,107.4,108.2,104.4,106.8,101.9248,3915
2022-09-05,107.4,111.6,105.2,111.6,106.5057,16109
2022-09-06,111.0,111.6,107.6,110.8,105.7422,3052
2022-09-07,110.8,111.0,108.0,109.8,104.7879,2115
2022-09-08,110.8,115.8,109.8,115.8,110.514,15076
2022-09-09,116.0,117.8,113.4,117.4,112.041,24298
2022-09-12,117.4,117.4,114.2,115.0,109.7505,4591
2022-09-13,116.0,116.0,111.0,114.0,108.7962,4028
2022-09-14,113.0,116.0,112.4,115.2,109.9414,3474
2022-09-15,115.2,117.6,115.2,116.8,111.4684,5793
2022-09-16,117.6,117.6,112.2,113.4,108.2236,13614
2022-09-19,114.0,116.2,113.4,116.0,110.7049,3710
2022-09-20,114.8,116.8,113.8,114.0,108.7962,41295
2022-09-21,115.0,115.4,111.6,114.0,108.7962,8457
2022-09-22,113.0,113.0,111.4,113.0,107.8418,5094
2022-09-23,112.8,112.8,110.4,111.4,106.3149,7765
2022-09-26,112.6,113.8,109.0,111.0,105.9331,12160
2022-09-27,110.4,112.8,108.4,108.6,103.6427,16808
2022-09-28,108.6,113.4,106.2,110.0,104.9788,18864
2022-09-29,110.0,112.2,107.0,109.0,104.0244,12286
2022-09-30,109.0,110.0,107.4,108.8,103.8335,13000
2022-10-03,110.4,110.4,106.0,108.0,103.0701,11924
2022-10-04,108.8,109.6,103.0,106.6,101.734,29483
2022-10-05,107.8,109.0,104.0,104.0,99.2526,35256
2022-10-06,105.8,115.0,105.8,115.0,109.7505,24733
2022-10-07,114.8,114.8,111.2,114.8,109.5597,3654
2022-10-10,113.0,113.8,108.0,109.2,104.2153,10240
2022-10-11,111.0,111.4,107.2,108.0,103.0701,13960
2022-10-12,108.0,110.6,108.0,108.6,103.6427,1390
2022-10-13,108.6,109.8,106.0,109.4,104.4061,8687
2022-10-14,109.4,109.4,106.4,108.2,103.2609,2861
2022-10-17,107.0,107.6,105.0,107.4,102.4974,3958
2022-10-18,108.6,108.6,104.2,105.0,100.207,11857
2022-10-19,105.0,107.0,101.0,105.6,100.7796,13928
2022-10-20,106.4,109.0,103.8,106.8,101.9248,117612
2022-10-21,107.4,108.8,106.2,107.8,102.8792,21115
2022-10-24,108.4,110.4,105.8,106.8,101.9248,11388
2022-10-25,106.8,113.8,106.4,112.0,106.8875,10063
2022-10-26,111.0,114.2,108.0,112.8,107.6509,18543
2022-10-27,112.8,113.2,111.4,112.6,107.4601,12746
2022-10-28,111.6,112.6,110.2,110.2,105.1696,3050
2022-10-31,111.0,111.8,108.4,111.0,105.9331,10068
2022-11-02,109.8,111.4,106.8,106.8,101.9248,11522
2022-11-03,107.0,109.6,107.0,109.4,104.4061,4142
2022-11-04,108.0,111.4,107.8,111.4,106.3149,17248
2022-11-07,111.4,112.2,104.2,104.4,99.6344,36411
2022-11-08,105.6,110.8,105.0,110.4,105.3605,7988
2022-11-09,110.4,110.6,106.2,110.6,105.5514,3693
2022-11-10,108.0,112.6,107.6,112.0,106.8875,11320
2022-11-14,111.8,112.2,106.8,107.2,102.3066,28595
2022-11-15,108.0,108.2,104.0,104.0,99.2526,19139
2022-11-16,104.0,107.8,103.2,104.4,99.6344,25468
2022-11-17,104.2,104.4,101.0,101.4,96.7713,26266
2022-11-18,103.0,105.4,101.6,103.6,98.8709,5957
2022-11-21,103.6,105.4,103.0,104.6,99.8253,48086
2022-11-22,105.4,107.4,104.6,107.4,102.4974,40992
2022-11-23,107.4,108.0,105.0,105.2,100.3979,4099
2022-11-24,106.0,106.4,105.0,106.0,101.1614,11055
2022-11-25,106.4,108.4,105.2,108.4,103.4518,15810
2022-11-28,109.0,109.0,106.2,108.6,103.6427,4242
2022-11-29,108.8,108.8,106.0,107.4,102.4974,4085
2022-11-30,107.4,109.8,106.0,109.4,104.4061,14828
2022-12-01,110.0,112.6,110.0,112.0,106.8875,9163
2022-12-02,114.0,116.0,110.6,114.4,109.1779,16206
2022-12-05,114.4,115.0,111.4,111.4,106.3149,2359
2022-12-06,111.2,115.0,110.0,115.0,109.7505,14397
