Date,Open,High,Low,Close,Adjusted_close,Volume
2022-08-18,1683.89,1703.78,1672.48,1699.68,1699.68,17690000
2022-08-19,1685.24,1698.82,1668.62,1673.4,1673.4,22240000
2022-08-22,1669.2,1670.29,1630.0,1640.02,1640.02,18510000
2022-08-23,1638.03,1667.41,1630.67,1656.77,1656.77,34800000
2022-08-24,1655.38,1655.38,1616.14,1620.63,1620.63,21710000
2022-08-25,1633.09,1650.7,1622.55,1632.0,1632.0,26240000
2022-08-26,1635.66,1637.07,1596.06,1602.81,1602.81,22810000
2022-08-29,1585.54,1585.54,1552.6,1573.35,1573.35,21690000
2022-08-30,1578.24,1583.57,1532.85,1535.11,1535.11,22570000
2022-08-31,1540.93,1548.25,1513.5,1528.22,1528.22,49110000
2022-09-01,1522.52,1522.52,1462.59,1462.59,1462.59,32440000
2022-09-02,1477.24,1506.54,1464.67,1505.75,1505.75,35760000
2022-09-05,1496.88,1505.05,1482.29,1492.06,1492.06,17620000
2022-09-06,1495.62,1504.64,1444.84,1452.86,1452.86,21560000
2022-09-07,1445.54,1471.34,1431.36,1469.42,1469.42,26610000
2022-09-08,1481.93,1494.98,1460.43,1473.18,1473.18,23890000
2022-09-09,1487.5,1534.68,1487.5,1534.68,1534.68,24750000
2022-09-12,1545.64,1561.98,1519.71,1561.97,1561.97,22470000
2022-09-13,1569.03,1573.05,1515.19,1519.35,1519.35,20720000
2022-09-14,1511.59,1531.76,1507.2,1528.29,1528.29,20370000
2022-09-15,1533.17,1550.8,1523.79,1539.75,1539.75,21700000
2022-09-16,1526.02,1529.2,1487.36,1501.91,1501.91,65980000
2022-09-19,1498.57,1528.7,1496.79,1527.25,1527.25,20050000
2022-09-20,1532.86,1546.5,1497.41,1497.41,1497.41,18770000
2022-09-21,1495.76,1515.86,1488.25,1509.32,1509.32,18510000
2022-09-22,1498.1,1526.89,1485.31,1518.19,1518.19,16190000
2022-09-23,1518.03,1518.03,1453.76,1457.78,1457.78,20610000
2022-09-26,1446.43,1450.7,1410.71,1433.08,1433.08,33980000
2022-09-27,1443.23,1473.21,1443.23,1458.81,1458.81,24470000
2022-09-28,1434.99,1440.66,1407.56,1435.37,1435.37,27630000
2022-09-29,1446.35,1446.35,1375.19,1380.1,1380.1,28900000
2022-09-30,1390.12,1396.76,1366.25,1377.91,1377.91,30710000
2022-10-03,1379.8,1388.96,1344.02,1386.96,1386.96,22660000
2022-10-04,1404.22,1449.81,1404.22,1449.81,1449.81,28540000
2022-10-05,1449.73,1449.73,1418.03,1419.12,1419.12,19370000
2022-10-06,1431.68,1449.55,1409.32,1417.82,1417.82,22060000
2022-10-07,1414.41,1420.33,1398.86,1405.21,1405.21,19810000
2022-10-10,1400.27,1400.29,1379.35,1379.49,1379.49,22170000
2022-10-11,1377.66,1405.98,1360.7,1381.84,1381.84,22460000
2022-10-12,1389.02,1391.14,1369.65,1377.19,1377.19,30590000
2022-10-13,1378.57,1381.48,1337.71,1358.5,1358.5,34530000
2022-10-14,1383.1,1409.55,1381.49,1397.23,1397.23,30200000
2022-10-17,1400.06,1418.65,1384.6,1414.06,1414.06,18740000
2022-10-18,1416.66,1440.9,1414.9,1427.68,1427.68,32710000
2022-10-19,1430.17,1430.17,1395.73,1397.66,1397.66,23560000
2022-10-20,1399.59,1429.16,1385.16,1426.52,1426.52,34180000
2022-10-21,1421.96,1424.9,1397.28,1411.62,1411.62,19440000
2022-10-24,1421.4,1445.85,1411.21,1433.21,1433.21,21880000
2022-10-25,1438.79,1450.33,1422.44,1444.02,1444.02,28560000
2022-10-26,1447.28,1487.6,1443.41,1487.6,1487.6,26960000
2022-10-27,1489.37,1506.74,1474.43,1506.74,1506.74,32520000
