Date,Open,High,Low,Close,Adjusted_close,Volume
2023-04-11,5.35,5.79,5.35,5.66,5.66,74644
2023-04-12,5.65,5.74,5.58,5.6,5.6,41370
2023-04-13,5.6,5.7,5.54,5.67,5.67,43555
2023-04-14,5.64,5.88,5.6,5.8,5.8,40086
2023-04-17,5.8,5.89,5.71,5.79,5.79,20480
2023-04-18,5.86,5.86,5.65,5.68,5.68,22642
2023-04-19,5.84,5.84,5.54,5.66,5.66,20620
2023-04-20,5.54,5.7,5.22,5.38,5.38,99861
2023-04-21,5.42,5.48,5.3,5.44,5.44,21207
2023-04-24,5.44,5.48,5.36,5.48,5.48,9729
2023-04-25,5.5,5.58,5.36,5.42,5.42,20890
2023-04-26,5.38,5.38,5.08,5.22,5.22,38672
2023-04-27,5.3,5.7,5.22,5.52,5.52,26047
2023-04-28,5.56,5.56,5.3,5.48,5.48,19197
2023-05-02,5.3,5.4,5.18,5.26,5.26,72986
2023-05-04,5.26,5.3,5.1,5.1,5.1,46221
2023-05-05,5.08,5.26,4.92,5.14,5.14,65904
2023-05-08,5.3,5.4,5.14,5.38,5.38,40423
2023-05-09,5.3,5.42,5.1,5.2,5.2,28156
2023-05-10,5.28,5.42,5.24,5.3,5.3,14968
2023-05-11,5.36,5.38,5.24,5.34,5.34,17693
2023-05-12,5.3,5.34,5.2,5.28,5.28,23437
2023-05-15,5.3,5.38,5.28,5.28,5.28,14519
2023-05-16,5.36,5.36,5.2,5.28,5.28,11641
2023-05-17,5.24,5.28,5.12,5.22,5.22,30857
2023-05-18,5.16,5.24,5.12,5.18,5.18,21044
2023-05-19,5.16,5.18,5.02,5.1,5.1,31928
2023-05-22,5.14,5.3,5.1,5.22,5.22,34382
2023-05-23,5.3,5.34,5.22,5.26,5.26,8890
2023-05-24,5.28,5.48,5.24,5.28,5.28,46918
2023-05-25,5.3,5.38,5.3,5.32,5.32,26839
2023-05-26,5.4,5.4,5.24,5.34,5.34,16930
2023-05-29,5.34,5.4,5.24,5.24,5.24,7490
2023-05-30,5.34,5.34,5.24,5.28,5.28,806
2023-05-31,5.24,5.26,5.1,5.1,5.1,53841
2023-06-01,5.2,5.22,5.1,5.1,5.1,2969
2023-06-02,5.16,5.2,5.04,5.18,5.18,17971
2023-06-05,5.12,5.32,5.04,5.26,5.26,25607
2023-06-06,5.16,5.2,5.06,5.08,5.08,2792
2023-06-07,5.08,5.24,5.08,5.2,5.2,10191
2023-06-09,5.18,5.3,5.18,5.2,5.2,44582
2023-06-12,5.2,5.22,5.04,5.1,5.1,18285
2023-06-13,5.18,5.18,5.1,5.1,5.1,15458
2023-06-14,5.18,5.18,5.1,5.16,5.16,3983
2023-06-15,5.12,5.18,5.08,5.14,5.14,10315
2023-06-16,5.14,5.16,5.08,5.16,5.16,15239
2023-06-19,5.18,5.18,5.12,5.12,5.12,8641
2023-06-20,5.12,5.18,5.04,5.12,5.12,42557
2023-06-21,5.06,5.1,5.04,5.08,5.08,19520
2023-06-22,5.06,5.18,5.04,5.18,5.18,15213
2023-06-23,5.06,5.14,5.02,5.1,5.1,18344
2023-06-26,5.12,5.12,5.02,5.1,5.1,13988
2023-06-27,5.06,5.16,5.02,5.04,5.04,20420
2023-06-28,5.04,5.08,5.02,5.02,5.02,15620
2023-06-29,5.02,5.1,5.0,5.04,5.04,16413
2023-06-30,5.06,5.22,5.06,5.18,5.18,19587
2023-07-03,5.18,5.2,5.06,5.16,5.16,19272
2023-07-04,5.2,5.22,5.0,5.22,5.22,53012
2023-07-05,5.2,5.52,5.2,5.36,5.36,87998
2023-07-06,5.38,5.4,5.14,5.3,5.3,10325
2023-07-07,5.34,5.34,5.16,5.24,5.24,8050
2023-07-10,5.16,5.18,5.1,5.1,5.1,7270
2023-07-11,5.1,5.36,5.1,5.3,5.3,11239
2023-07-12,5.28,5.32,5.26,5.32,5.32,13500
2023-07-13,5.36,5.4,5.22,5.4,5.4,13356
2023-07-14,5.38,5.4,5.28,5.28,5.28,2381
2023-07-17,5.28,5.3,5.18,5.3,5.3,7118
2023-07-18,5.4,5.72,5.36,5.54,5.54,86727
2023-07-19,5.6,5.66,5.46,5.52,5.52,32948
2023-07-20,5.54,5.6,5.44,5.5,5.5,5158
2023-07-21,5.5,5.5,5.4,5.4,5.4,4473
2023-07-24,5.4,5.5,5.4,5.44,5.44,5238
2023-07-25,5.48,5.48,5.4,5.44,5.44,6524
2023-07-26,5.42,5.48,5.38,5.38,5.38,12584
2023-07-27,5.36,5.44,5.3,5.4,5.4,11143
2023-07-28,5.42,5.46,5.2,5.44,5.44,31415
2023-07-31,5.44,5.54,5.44,5.54,5.54,11715
