Date,Open,High,Low,Close,Adjusted_close,Volume
2023-04-03,4041.19,4050.04,3980.48,4025.07,4025.07,13440000
2023-04-04,4026.39,4034.53,3976.82,4032.03,4032.03,10510000
2023-04-05,4031.48,4080.82,4027.12,4071.15,4071.15,12690000
2023-04-06,4072.29,4091.06,4051.67,4078.92,4078.92,7870000
2023-04-11,4085.32,4085.32,4005.19,4018.58,4018.58,16690000
2023-04-12,4020.26,4041.94,3936.99,3945.71,3945.71,20560000
2023-04-13,3946.82,3964.37,3881.84,3893.94,3893.94,22270000
2023-04-14,3873.9,3888.37,3843.76,3866.81,3866.81,16400000
2023-04-17,3871.03,3871.03,3839.1,3855.22,3855.22,14470000
2023-04-18,3851.32,3860.84,3754.95,3784.02,3784.02,16400000
2023-04-19,3785.8,3836.05,3775.95,3785.48,3785.48,13710000
2023-04-20,3787.48,3788.3,3728.21,3758.28,3758.28,17840000
2023-04-21,3760.43,3815.57,3760.43,3780.43,3780.43,13890000
2023-04-24,3784.36,3818.19,3748.91,3764.98,3764.98,10310000
2023-04-25,3771.87,3811.06,3763.73,3805.46,3805.46,13670000
2023-04-26,3806.52,3848.32,3782.81,3811.05,3811.05,16640000
2023-04-27,3811.61,3811.61,3685.51,3692.49,3692.49,15200000
2023-04-28,3693.54,3752.15,3681.11,3741.2,3741.2,17950000
2023-05-02,3746.31,3754.23,3687.29,3754.21,3754.21,15270000
2023-05-04,3755.06,3834.19,3729.81,3825.31,3825.31,19400000
2023-05-05,3826.21,3826.21,3765.16,3769.79,3769.79,12430000
2023-05-08,3761.74,3771.52,3726.36,3754.94,3754.94,11520000
2023-05-09,3758.92,3794.01,3758.88,3760.58,3760.58,11250000
2023-05-10,3762.7,3776.9,3694.22,3738.47,3738.47,19720000
2023-05-11,3739.11,3774.27,3715.46,3765.48,3765.48,17610000
2023-05-12,3754.3,3769.41,3704.43,3727.02,3727.02,16570000
2023-05-15,3719.73,3744.1,3693.32,3728.17,3728.17,16510000
2023-05-16,3732.92,3746.83,3691.16,3713.83,3713.83,12590000
2023-05-17,3715.59,3754.81,3715.59,3745.27,3745.27,14540000
2023-05-18,3745.49,3746.61,3706.06,3733.48,3733.48,14150000
2023-05-19,3731.57,3731.57,3633.88,3634.03,3634.03,20860000
2023-05-22,3638.07,3654.34,3601.6,3615.52,3615.52,16610000
