Date,Open,High,Low,Close,Adjusted_close,Volume
2023-02-27,2.14,2.157,2.102,2.149,2.149,2383044
2023-02-28,2.149,2.155,2.107,2.153,2.153,2507776
2023-03-01,2.122,2.175,2.122,2.148,2.148,3537346
2023-03-02,2.14,2.14,2.06,2.066,2.066,5746346
2023-03-03,2.08,2.088,2.032,2.077,2.077,5074052
2023-03-06,2.08,2.115,2.061,2.085,2.085,3945693
2023-03-07,2.09,2.099,2.061,2.064,2.064,5467152
2023-03-08,2.065,2.067,2.012,2.043,2.043,6127514
2023-03-09,2.048,2.1,2.044,2.096,2.096,4783860
2023-03-10,2.075,2.075,2.004,2.061,2.061,7279510
2023-03-13,2.06,2.083,1.9995,2.028,2.028,4390027
2023-03-14,2.02,2.039,1.9845,2.01,2.01,3447837
2023-03-15,2.02,2.048,1.941,1.944,1.944,5186800
2023-03-16,1.944,1.96,1.8615,1.9475,1.9475,7405516
2023-03-17,1.9615,1.9795,1.8805,1.8925,1.8925,10747670
2023-03-20,1.8925,1.915,1.842,1.907,1.907,3341734
2023-03-21,1.93,1.989,1.923,1.968,1.968,3234145
2023-03-22,1.979,1.979,1.9305,1.9505,1.9505,3527508
2023-03-23,1.9505,1.955,1.9005,1.9475,1.9475,1573630
2023-03-24,1.92,1.937,1.884,1.898,1.898,3828651
2023-03-27,1.897,1.9295,1.868,1.883,1.883,2138693
2023-03-28,1.883,1.917,1.8405,1.8495,1.8495,3294114
2023-03-29,1.85,1.884,1.818,1.8625,1.8625,3896104
2023-03-30,1.898,1.995,1.8805,1.981,1.981,5744341
2023-03-31,1.9725,1.9885,1.927,1.927,1.927,2995019
2023-04-03,1.972,1.9895,1.924,1.944,1.944,4600206
2023-04-04,1.94,1.974,1.932,1.954,1.954,3037416
2023-04-05,1.9535,1.9675,1.9005,1.9125,1.9125,3318612
2023-04-06,1.9195,1.93,1.9025,1.92,1.92,1628699
2023-04-11,1.9305,1.962,1.926,1.959,1.959,3090987
2023-04-12,1.962,1.9655,1.925,1.95,1.95,2615608
2023-04-13,1.94,1.9505,1.916,1.9385,1.9385,3642480
2023-04-14,1.955,2.106,1.945,2.014,2.014,8267216
2023-04-17,2.05,2.095,1.9995,2.062,2.062,4081906
2023-04-18,2.07,2.101,2.047,2.094,2.094,3679490
2023-04-19,2.089,2.097,2.05,2.061,2.061,2697269
2023-04-20,2.06,2.133,2.06,2.076,2.076,4107934
2023-04-21,2.076,2.091,2.05,2.064,2.064,2420370
