Date,Open,High,Low,Close,Adjusted_close,Volume
2023-07-31,400.0,402.2,393.8,397.4,397.4,76740
2023-08-01,395.6,398.0,389.0,393.2,393.2,79799
2023-08-02,389.4,391.4,383.6,384.6,384.6,56256
2023-08-03,385.2,390.4,383.0,385.0,385.0,42846
2023-08-04,390.4,396.6,389.6,392.8,392.8,30979
2023-08-07,394.0,396.4,389.6,390.6,390.6,25718
2023-08-08,386.6,389.2,376.8,382.0,382.0,55540
2023-08-09,388.0,389.0,378.6,382.2,382.2,50035
2023-08-10,386.2,395.8,383.8,392.4,392.4,83767
2023-08-11,388.6,392.6,382.2,386.4,386.4,48495
2023-08-14,379.2,389.4,377.8,387.2,387.2,43124
2023-08-16,386.8,386.8,374.2,376.4,376.4,52401
2023-08-17,378.8,380.0,364.2,368.4,368.4,70241
2023-08-18,365.8,372.8,364.6,370.4,370.4,38945
2023-08-21,370.4,380.8,370.4,376.4,376.4,40660
2023-08-22,376.4,380.8,372.8,375.2,375.2,52509
2023-08-23,372.0,380.4,370.8,378.6,378.6,54291
2023-08-24,381.8,383.6,375.6,378.0,378.0,45040
2023-08-25,373.0,381.8,369.0,376.4,376.4,40962
2023-08-28,376.2,385.2,374.8,384.4,384.4,36104
2023-08-29,386.4,390.0,380.6,382.2,382.2,38572
2023-08-30,383.2,387.8,382.0,383.6,383.6,26763
2023-08-31,388.0,388.6,370.6,371.6,371.6,187341
