Date,Open,High,Low,Close,Adjusted_close,Volume
2022-10-25,3.96,3.96,3.96,3.96,3.96,1066
2022-10-26,3.96,3.96,3.91,3.91,3.91,2280
2022-10-27,3.95,3.95,3.85,3.92,3.92,1296
2022-10-28,3.95,3.95,3.92,3.92,3.92,27
2022-10-31,3.86,4.2,3.72,3.99,3.99,24928
2022-11-02,4.03,4.03,3.9,4.01,4.01,7260
2022-11-03,4.0,4.0,3.92,3.92,3.92,720
2022-11-04,4.03,4.03,3.87,3.88,3.88,8387
2022-11-07,3.88,3.95,3.81,3.81,3.81,8981
2022-11-08,3.93,3.93,3.85,3.85,3.85,2938
2022-11-09,3.85,3.94,3.74,3.85,3.85,3605
2022-11-10,3.94,3.94,3.8,3.88,3.88,7210
2022-11-14,3.89,3.99,3.85,3.99,3.99,4191
2022-11-15,3.99,3.99,3.97,3.97,3.97,388
2022-11-16,3.8,3.9,3.8,3.89,3.89,8746
2022-11-17,3.89,3.89,3.85,3.89,3.89,180
2022-11-18,3.89,3.89,3.89,3.89,3.89,208
2022-11-21,3.9,3.91,3.84,3.87,3.87,2990
2022-11-22,3.9,3.9,3.85,3.9,3.9,2060
2022-11-23,3.9,3.9,3.84,3.89,3.89,2875
2022-11-24,3.89,3.89,3.84,3.89,3.89,633
2022-11-25,3.85,3.89,3.83,3.89,3.89,2518
2022-11-28,3.89,3.89,3.84,3.84,3.84,633
2022-11-29,3.86,3.86,3.84,3.84,3.84,4009
2022-11-30,3.89,3.89,3.87,3.89,3.89,2106
2022-12-01,3.88,3.88,3.87,3.88,3.88,1453
2022-12-02,3.88,3.88,3.87,3.88,3.88,6068
2022-12-05,3.88,3.88,3.85,3.88,3.88,547
2022-12-06,3.88,3.88,3.8,3.82,3.82,6172
2022-12-07,3.85,3.88,3.82,3.88,3.88,4712
2022-12-08,3.88,3.88,3.79,3.85,3.85,1350
2022-12-09,3.84,3.84,3.78,3.8,3.8,10768
2022-12-12,3.8,3.83,3.79,3.83,3.83,1262
2022-12-13,3.82,3.83,3.77,3.83,3.83,15042
2022-12-14,3.81,3.83,3.8,3.83,3.83,3135
2022-12-15,3.83,3.83,3.77,3.8,3.8,4266
2022-12-16,3.83,3.83,3.75,3.83,3.83,1318
2022-12-19,3.76,3.83,3.76,3.79,3.79,3505
2022-12-20,3.81,3.83,3.75,3.77,3.77,6257
2022-12-21,3.8,3.8,3.74,3.79,3.79,7125
2022-12-22,3.79,3.79,3.75,3.75,3.75,5950
