Date,Open,High,Low,Close,Adjusted_close,Volume
2023-08-04,38.405,38.525,38.25,38.49,38.49,10861
2023-08-07,38.38,38.48,38.1,38.16,38.16,4990
2023-08-08,38.035,38.035,37.405,37.51,37.51,9105
2023-08-09,37.98,38.105,37.51,37.6,37.6,39150
2023-08-10,37.75,38.46,37.75,38.25,38.25,5735
2023-08-11,38.13,38.13,37.71,37.82,37.82,3220
2023-08-14,37.615,37.81,37.43,37.52,37.52,6414
2023-08-15,37.52,37.52,37.52,37.52,37.52,0
2023-08-16,37.235,37.29,36.65,36.785,36.785,43953
2023-08-17,36.615,36.925,36.13,36.3,36.3,21118
2023-08-18,36.0,36.205,35.5,36.2,36.2,28166
2023-08-21,36.4,36.45,36.075,36.18,36.18,6939
2023-08-22,36.475,36.63,36.12,36.18,36.18,19801
2023-08-23,36.22,36.35,35.81,36.25,36.25,10328
2023-08-24,36.33,36.675,36.15,36.19,36.19,8051
2023-08-25,35.96,36.3,35.96,36.0,36.0,3363
2023-08-28,36.34,36.7,36.06,36.7,36.7,10634
2023-08-29,36.75,36.96,36.505,36.795,36.795,12162
2023-08-30,36.79,37.0,36.61,36.96,36.96,15867
