Date,Open,High,Low,Close,Adjusted_close,Volume
2023-02-24,17.72,17.76,17.1,17.1,17.1,20333
2023-02-27,17.14,18.4,17.14,18.3,18.3,31320
2023-02-28,18.48,18.48,17.64,17.98,17.98,25290
2023-03-01,17.98,18.0,17.6,17.82,17.82,14306
2023-03-02,17.8,17.8,17.02,17.18,17.18,35892
2023-03-03,17.12,17.86,17.04,17.6,17.6,18199
2023-03-06,17.6,18.3,17.3,17.74,17.74,22352
2023-03-07,17.74,18.24,17.62,18.0,18.0,24836
2023-03-08,17.68,18.74,17.68,18.4,18.4,30807
2023-03-09,18.28,18.36,17.86,18.06,18.06,17801
2023-03-10,17.92,17.92,17.3,17.46,17.46,26064
2023-03-13,17.46,17.46,16.12,16.6,16.6,54601
2023-03-14,16.5,16.96,16.26,16.8,16.8,20831
2023-03-15,16.88,16.9,15.8,15.9,15.9,37890
2023-03-16,16.0,17.18,15.7,16.98,16.98,24534
2023-03-17,17.1,17.44,16.52,17.1,17.1,30439
2023-03-20,16.98,16.98,16.0,16.2,16.2,35598
2023-03-21,16.4,16.7,16.04,16.54,16.54,27356
2023-03-22,16.5,16.78,16.0,16.72,16.72,20650
2023-03-23,16.66,17.38,16.5,16.7,16.7,20752
2023-03-24,16.78,16.78,15.96,16.26,16.26,38602
2023-03-27,15.86,17.26,15.78,16.72,16.72,81340
2023-03-28,16.94,17.4,16.26,16.26,16.26,34588
2023-03-29,16.4,16.94,16.12,16.86,16.86,29629
2023-03-30,16.86,17.26,16.66,17.06,17.06,25619
2023-03-31,16.62,17.0,16.44,16.54,16.54,21150
2023-04-03,16.76,17.3,16.3,16.64,16.64,31756
2023-04-04,17.52,17.72,16.38,16.44,16.44,90491
2023-04-05,16.5,16.52,15.86,16.0,16.0,33595
2023-04-06,16.12,16.26,15.84,16.06,16.06,14250
2023-04-11,16.0,16.8,15.9,16.4,16.4,47097
2023-04-12,16.48,16.76,16.14,16.46,16.46,25508
2023-04-13,16.48,16.48,15.9,15.96,15.96,35079
2023-04-14,16.0,16.1,15.06,15.22,15.22,50306
2023-04-17,15.4,15.6,15.02,15.34,15.34,26886
2023-04-18,15.48,16.74,15.16,16.46,16.46,102671
2023-04-19,16.48,17.2,16.06,16.7,16.7,50643
2023-04-20,16.8,17.78,16.6,17.7,17.7,72201
2023-04-21,17.7,18.42,17.32,18.2,18.2,69970
