Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-08-14,84.7,87.3,82.8,86.6,12,16,4,1
2023-08-16,85.5,85.5,82.3,83.9,12,16,4,1
2023-08-17,82.5,83.8,82.3,83.0,12,16,4,1
2023-08-18,82.3,82.9,79.3,80.3,12,16,4,1
2023-08-21,80.0,80.0,78.0,78.8,12,16,4,1
2023-08-22,78.4,80.0,78.2,80.0,12,16,4,1
2023-08-23,79.1,79.7,78.4,79.7,12,16,4,1
2023-08-24,79.7,79.7,75.5,76.6,12,16,4,1
2023-08-25,76.0,78.1,75.4,76.6,12,16,4,1
2023-08-28,76.0,77.9,75.5,77.9,12,16,4,1
2023-08-29,70.9,72.2,65.5,72.0,12,16,4,1
2023-08-30,72.0,73.2,71.0,72.0,12,16,4,1
2023-08-31,72.2,72.2,69.9,70.6,12,16,4,1
2023-09-01,70.2,71.4,70.2,70.5,12,16,4,1
2023-09-04,70.0,71.0,67.8,69.2,12,16,4,1
2023-09-05,68.2,69.2,64.0,67.6,12,16,4,1
2023-09-06,67.7,69.1,66.7,68.9,12,16,4,1
2023-09-07,68.6,69.8,68.3,69.5,12,16,4,1
2023-09-08,69.6,70.0,68.9,69.7,12,16,4,1
2023-09-11,69.0,71.0,68.0,70.0,12,16,4,1
