Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-08-11,414.0,438.6,406.2,429.4,11,15,4,1
2023-08-14,429.0,429.0,412.8,413.4,11,15,4,1
2023-08-16,414.0,422.0,411.0,419.0,11,15,4,1
2023-08-17,421.0,422.6,408.4,410.8,11,15,4,1
2023-08-18,412.6,414.6,407.6,412.8,11,15,4,1
2023-08-21,412.8,416.2,403.0,406.0,11,15,4,1
2023-08-22,408.8,413.0,401.2,402.4,11,15,4,1
2023-08-23,406.0,409.2,399.8,406.0,11,15,4,1
2023-08-24,412.0,414.8,392.8,394.6,11,15,4,1
2023-08-25,392.2,404.4,388.2,399.4,11,15,4,1
2023-08-28,408.0,408.0,389.8,396.4,11,15,4,1
2023-08-29,396.2,402.0,393.8,394.6,11,15,4,1
2023-08-30,394.8,405.0,394.8,402.8,11,15,4,1
2023-08-31,406.8,408.2,400.0,400.0,11,15,4,1
2023-09-01,400.0,414.0,396.6,411.2,11,15,4,1
2023-09-04,414.8,414.8,404.2,405.0,11,15,4,1
2023-09-05,405.0,406.2,393.2,393.2,11,15,4,1
2023-09-06,382.2,392.4,370.2,388.0,11,15,4,1
2023-09-07,388.0,392.0,382.8,390.2,11,15,4,1
2023-09-08,390.6,403.4,388.4,402.6,11,15,4,1
2023-09-11,404.6,411.8,404.6,408.0,11,15,4,1
