Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-02-03,2335.58,2355.34,2329.58,2341.89,15,20,4,1
2023-02-06,2331.87,2334.99,2290.12,2291.28,15,20,4,1
2023-02-07,2303.9,2305.44,2284.13,2297.89,15,20,4,1
2023-02-08,2320.48,2329.55,2311.39,2316.71,15,20,4,1
2023-02-09,2328.45,2352.23,2324.78,2332.64,15,20,4,1
2023-02-10,2314.77,2317.97,2261.39,2271.21,15,20,4,1
2023-02-13,2287.92,2287.92,2259.56,2276.92,15,20,4,1
2023-02-14,2285.39,2293.83,2264.18,2276.35,15,20,4,1
2023-02-15,2269.76,2299.12,2266.93,2297.36,15,20,4,1
2023-02-16,2309.5,2314.8,2265.15,2295.27,15,20,4,1
2023-02-17,2275.17,2296.46,2270.99,2287.18,15,20,4,1
2023-02-20,2292.11,2292.11,2267.05,2274.24,15,20,4,1
2023-02-21,2264.5,2270.22,2229.09,2243.0,15,20,4,1
2023-02-22,2236.28,2237.82,2194.63,2206.73,15,20,4,1
2023-02-23,2213.74,2241.14,2212.19,2239.03,15,20,4,1
2023-02-24,2236.87,2247.24,2213.13,2219.67,15,20,4,1
2023-02-27,2227.23,2244.8,2218.41,2235.69,15,20,4,1
2023-02-28,2226.18,2264.9,2223.97,2264.9,15,20,4,1
2023-03-01,2273.31,2289.01,2263.1,2274.04,15,20,4,1
2023-03-02,2261.65,2261.65,2221.83,2225.94,15,20,4,1
2023-03-03,2236.83,2255.11,2230.2,2255.11,15,20,4,1
2023-03-06,2270.15,2302.62,2266.73,2296.09,15,20,4,1
2023-03-07,2289.88,2309.48,2274.38,2274.71,15,20,4,1
2023-03-08,2266.32,2288.21,2261.69,2283.97,15,20,4,1
2023-03-09,2281.49,2281.49,2257.87,2257.87,15,20,4,1
2023-03-10,2218.17,2223.81,2194.91,2211.3,15,20,4,1
2023-03-13,2226.97,2226.97,2132.83,2157.25,15,20,4,1
2023-03-14,2159.72,2176.95,2139.32,2160.03,15,20,4,1
2023-03-15,2162.79,2174.28,2095.29,2101.55,15,20,4,1
2023-03-16,2123.71,2126.13,2057.09,2103.69,15,20,4,1
2023-03-17,2123.98,2131.4,2058.29,2067.29,15,20,4,1
2023-03-20,2036.14,2081.33,2005.61,2078.08,15,20,4,1
2023-03-21,2095.11,2121.59,2089.4,2115.4,15,20,4,1
2023-03-22,2111.28,2131.39,2098.02,2100.41,15,20,4,1
2023-03-23,2095.86,2107.09,2068.02,2098.02,15,20,4,1
2023-03-24,2088.18,2088.18,2044.3,2055.14,15,20,4,1
