Date,Open,High,Low,Close,Adjusted_close,Volume
2022-12-09,97.0,99.1,97.0,97.25,97.25,4367
2022-12-12,97.0,98.0,97.0,97.61,97.61,1191
2022-12-13,98.0,99.5,97.0,99.4,99.4,2278
2022-12-14,99.5,99.9,97.0,97.99,97.99,1676
2022-12-15,98.0,98.0,88.2,94.0,94.0,10159
2022-12-16,94.0,99.4,90.2,99.4,99.4,7598
2022-12-19,93.8,99.0,93.8,98.85,98.85,1709
2022-12-20,98.85,98.85,94.74,96.3,96.3,1558
2022-12-21,97.0,97.0,94.81,96.0,96.0,46720
2022-12-22,97.0,97.0,93.55,94.15,94.15,1039
2022-12-23,94.5,94.5,92.5,94.0,94.0,3112
2022-12-27,93.0,94.48,90.2,90.2,90.2,5249
2022-12-28,90.6,90.7,88.1,88.79,88.79,10508
2022-12-29,88.8,91.8,88.8,91.4,91.4,4668
2022-12-30,92.5,92.5,90.61,91.35,91.35,1603
2023-01-02,91.35,92.5,90.0,91.68,91.68,3726
2023-01-03,92.0,93.5,91.41,91.5,91.5,2281
2023-01-04,91.99,92.18,89.66,89.98,89.98,4018
2023-01-05,90.11,90.11,89.0,90.0,90.0,3735
2023-01-09,90.01,93.75,90.01,91.82,91.82,6621
2023-01-10,92.7,94.0,92.0,93.4,93.4,11392
2023-01-11,95.0,99.5,94.98,98.2,98.2,19872
2023-01-12,98.2,99.85,90.0,92.8,92.8,23416
2023-01-13,92.0,93.87,90.1,90.11,90.11,5485
2023-01-16,90.98,91.99,88.3,88.96,88.96,8490
2023-01-17,88.94,89.5,82.5,84.2,84.2,13848
2023-01-18,84.2,85.97,84.0,84.89,84.89,4582
2023-01-19,84.9,85.0,84.2,84.27,84.27,2090
2023-01-20,84.27,85.0,84.2,84.99,84.99,1915
2023-01-23,84.99,85.5,84.0,84.5,84.5,4846
2023-01-24,84.8,85.06,84.03,84.2,84.2,14066
2023-01-25,84.2,85.0,80.54,80.54,80.54,11187
2023-01-26,80.54,81.99,76.45,77.4,77.4,9527
2023-01-27,77.41,79.0,72.75,74.5,74.5,11854
