Date,Open,High,Low,Close,Adjusted_close,Volume
2022-09-09,2.36,2.37,2.32,2.355,2.355,78038
2022-09-12,2.37,2.38,2.22,2.3,2.3,240950
2022-09-13,2.3,2.33,2.15,2.15,2.15,343326
2022-09-14,2.13,2.185,1.99,2.16,2.16,551130
2022-09-15,2.18,2.29,2.18,2.23,2.23,312102
2022-09-16,2.26,2.27,2.195,2.195,2.195,1579432
2022-09-19,2.165,2.43,2.165,2.43,2.43,111406
2022-09-20,2.43,2.43,2.24,2.3,2.3,343763
2022-09-21,2.355,2.355,2.24,2.345,2.345,53667
2022-09-22,2.345,2.345,2.27,2.27,2.27,411438
2022-09-23,2.255,2.38,2.105,2.15,2.15,99476
2022-09-26,2.19,2.22,2.05,2.12,2.12,166866
2022-09-27,2.045,2.185,2.015,2.18,2.18,249700
2022-09-28,2.18,2.18,1.982,1.982,1.982,396827
2022-09-29,2.035,2.06,1.902,1.928,1.928,179839
2022-09-30,1.952,2.0,1.918,1.934,1.934,259255
2022-10-03,1.95,1.972,1.91,1.93,1.93,33017
2022-10-04,1.986,2.06,1.986,2.06,2.06,54820
2022-10-05,2.08,2.08,2.01,2.01,2.01,12050
2022-10-06,2.05,2.09,2.035,2.035,2.035,12792
2022-10-07,2.085,2.085,1.944,1.944,1.944,41977
2022-10-10,1.946,2.035,1.85,1.85,1.85,50653
2022-10-11,1.852,1.94,1.852,1.94,1.94,46330
2022-10-12,1.926,2.045,1.926,2.045,2.045,34888
2022-10-13,2.0,2.02,1.902,1.98,1.98,209140
2022-10-14,2.04,2.07,1.97,1.97,1.97,80991
2022-10-17,1.98,2.05,1.97,2.05,2.05,10717
2022-10-18,2.05,2.05,1.982,1.994,1.994,44943
2022-10-19,1.99,1.99,1.926,1.95,1.95,59386
2022-10-20,1.952,1.952,1.902,1.924,1.924,57167
2022-10-21,1.924,1.924,1.85,1.868,1.868,71200
2022-10-24,1.884,1.884,1.786,1.808,1.808,155396
2022-10-25,1.86,1.884,1.8,1.844,1.844,147801
2022-10-26,1.86,1.876,1.822,1.86,1.86,267137
2022-10-27,1.882,1.928,1.876,1.892,1.892,37857
2022-10-28,1.898,1.998,1.892,1.942,1.942,110722
2022-10-31,2.015,2.015,1.926,1.98,1.98,69848
2022-11-02,1.998,1.998,1.93,1.946,1.946,23664
2022-11-03,1.94,1.984,1.882,1.912,1.912,41383
2022-11-04,1.932,2.1,1.932,2.1,2.1,145224
