Date,Open,High,Low,Close,Adjusted_close,Volume
2022-09-08,1044.95,1047.82,1029.9,1036.49,1036.49,2470000
2022-09-09,1039.34,1054.64,1039.34,1054.18,1054.18,1840000
2022-09-12,1056.66,1063.58,1050.17,1055.96,1055.96,2920000
2022-09-13,1062.45,1062.71,1026.04,1027.84,1027.84,2900000
2022-09-14,1025.54,1041.0,1025.54,1038.53,1038.53,2550000
2022-09-15,1040.58,1045.21,1033.65,1038.28,1038.28,2600000
2022-09-16,1038.45,1039.73,1014.12,1019.14,1019.14,6590000
2022-09-19,1015.85,1036.95,1015.85,1036.95,1036.95,1970000
2022-09-20,1035.96,1041.59,1021.88,1025.69,1025.69,2310000
2022-09-21,1024.5,1027.94,1015.54,1026.54,1026.54,2200000
2022-09-22,1022.16,1026.99,1018.22,1024.77,1024.77,2350000
2022-09-23,1023.87,1025.7,997.38,1001.1,1001.1,1950000
2022-09-26,991.51,1001.26,973.0,985.41,985.41,3610000
2022-09-27,984.44,998.75,984.44,995.1,995.1,2400000
2022-09-28,996.11,996.5,973.69,989.77,989.77,2910000
2022-09-29,990.05,994.57,968.11,970.11,970.11,1910000
2022-09-30,976.88,980.47,964.91,972.12,972.12,2470000
2022-10-03,968.59,977.73,957.46,977.73,977.73,2170000
2022-10-04,985.63,1001.08,985.42,1001.08,1001.08,2320000
2022-10-05,998.93,1003.18,995.22,995.82,995.82,1990000
2022-10-06,998.42,1008.72,998.1,1008.72,1008.72,1830000
2022-10-07,1005.1,1006.97,993.32,997.95,997.95,1690000
2022-10-10,992.19,998.27,980.12,981.68,981.68,1500000
2022-10-11,983.72,990.85,977.3,981.62,981.62,2670000
2022-10-12,987.27,988.84,974.94,974.94,974.94,2130000
2022-10-13,978.33,981.78,955.45,964.89,964.89,2420000
2022-10-14,979.09,981.24,965.82,973.35,973.35,2140000
2022-10-17,974.57,976.53,966.05,970.81,970.81,1540000
2022-10-18,975.37,975.37,967.37,970.23,970.23,6950000
2022-10-19,973.92,975.2,954.32,954.51,954.51,3020000
2022-10-20,957.87,959.96,949.6,953.63,953.63,4260000
2022-10-21,952.92,952.92,938.93,945.56,945.56,2940000
2022-10-24,950.89,964.99,950.13,961.43,961.43,2850000
2022-10-25,965.16,969.17,957.87,964.19,964.19,3450000
2022-10-26,964.22,978.04,964.22,976.91,976.91,4410000
2022-10-27,980.3,993.29,978.15,992.45,992.45,11550000
2022-10-28,987.39,997.08,987.39,989.4,989.4,11580000
2022-10-31,994.03,1000.58,990.65,1000.58,1000.58,6860000
2022-11-02,1006.1,1024.55,1004.07,1017.92,1017.92,5970000
2022-11-03,1010.64,1023.15,1008.73,1021.89,1021.89,5090000
2022-11-04,1024.99,1052.67,1023.41,1052.67,1052.67,4550000
2022-11-07,1056.57,1061.99,1046.14,1046.14,1046.14,4200000
2022-11-08,1048.09,1055.38,1044.52,1054.55,1054.55,2890000
2022-11-09,1054.85,1061.46,1046.71,1049.77,1049.77,3340000
2022-11-10,1048.58,1060.43,1039.1,1058.51,1058.51,4140000
