Date,Open,High,Low,Close,Adjusted_close,Volume
2022-09-19,35.98,35.98,34.34,35.38,35.38,36070
2022-09-20,35.84,36.3,34.42,34.52,34.52,73415
2022-09-21,34.4,35.6,33.84,34.34,34.34,36922
2022-09-22,35.52,35.52,32.5,34.0,34.0,105777
2022-09-23,33.64,33.84,32.08,32.28,32.28,85530
2022-09-26,32.1,32.1,30.56,30.66,30.66,86846
2022-09-27,30.72,32.3,30.62,32.24,32.24,63100
2022-09-28,32.3,33.56,31.94,33.56,33.56,63174
2022-09-29,33.9,34.7,32.64,33.34,33.34,81505
2022-09-30,33.2,34.5,32.86,33.64,33.64,48860
2022-10-03,33.98,35.0,33.1,35.0,35.0,35286
2022-10-04,35.62,35.78,34.6,35.4,35.4,46591
2022-10-05,35.4,35.58,33.82,33.86,33.86,43158
2022-10-06,33.82,35.42,33.78,34.24,34.24,24333
2022-10-07,34.4,34.4,32.82,33.12,33.12,40468
2022-10-10,32.68,33.08,31.46,31.46,31.46,38080
2022-10-11,31.4,31.42,29.66,30.02,30.02,171740
2022-10-12,30.3,31.18,29.2,29.98,29.98,106639
2022-10-13,30.78,32.0,30.14,31.5,31.5,81350
2022-10-14,32.3,32.62,30.36,30.42,30.42,86831
2022-10-17,30.6,31.02,29.88,30.2,30.2,61997
2022-10-18,30.5,30.96,30.04,30.4,30.4,93261
2022-10-19,30.46,31.68,30.24,31.36,31.36,103700
2022-10-20,31.0,31.5,30.38,30.66,30.66,46529
2022-10-21,30.78,30.78,29.62,30.06,30.06,70069
2022-10-24,30.06,30.58,29.36,29.86,29.86,144976
2022-10-25,29.9,30.76,29.72,30.22,30.22,31156
2022-10-26,30.76,32.8,30.0,32.52,32.52,166266
2022-10-27,32.82,33.02,31.62,32.66,32.66,61638
2022-10-28,32.1,32.44,31.5,31.92,31.92,42697
2022-10-31,32.1,33.6,32.1,32.8,32.8,55646
2022-11-02,32.9,33.56,32.42,32.8,32.8,54636
2022-11-03,32.72,33.4,32.22,33.4,33.4,39696
2022-11-04,33.54,35.98,33.54,35.98,35.98,135438
2022-11-07,37.0,37.78,35.0,35.22,35.22,76462
2022-11-08,34.52,36.18,34.5,35.2,35.2,40280
2022-11-09,35.52,36.38,34.82,35.02,35.02,42266
2022-11-10,35.26,35.26,31.9,33.0,33.0,250578
2022-11-14,33.1,34.66,33.1,34.0,34.0,160992
2022-11-15,34.2,34.2,33.1,33.34,33.34,60318
2022-11-16,33.0,33.52,32.82,32.9,32.9,58718
2022-11-17,33.12,33.16,32.24,32.6,32.6,40601
2022-11-18,32.7,33.5,32.54,33.5,33.5,58721
2022-11-21,33.72,33.76,33.1,33.24,33.24,41324
