Date,Open,High,Low,Close,Adjusted_close,Volume
2022-09-14,12.38,12.38,12.18,12.3,12.3,20280
2022-09-15,12.0,12.0,11.72,12.0,12.0,117292
2022-09-16,12.08,12.08,11.82,11.96,11.96,351241
2022-09-19,12.0,12.06,11.8,12.0,12.0,61309
2022-09-20,12.0,12.34,12.0,12.0,12.0,10535
2022-09-21,12.3,12.3,11.9,11.9,11.9,48027
2022-09-22,11.9,12.3,11.9,11.9,11.9,12428
2022-09-23,12.28,12.28,11.8,11.8,11.8,18944
2022-09-26,11.8,12.04,11.5,11.66,11.66,24336
2022-09-27,11.78,12.0,11.64,12.0,12.0,8998
2022-09-28,12.0,12.14,11.66,11.9,11.9,14543
2022-09-29,12.0,12.0,11.62,11.68,11.68,8455
2022-09-30,11.8,11.8,11.4,11.4,11.4,27065
2022-10-03,11.64,11.64,11.08,11.2,11.2,37791
2022-10-04,11.34,11.96,11.34,11.7,11.7,32716
2022-10-05,11.84,11.84,11.36,11.42,11.42,20192
2022-10-06,11.5,11.76,11.4,11.6,11.6,44017
2022-10-07,11.62,11.62,11.4,11.6,11.6,7254
2022-10-10,11.6,11.6,11.46,11.58,11.58,4079
2022-10-11,11.56,11.56,11.32,11.48,11.48,6493
2022-10-12,11.6,11.6,11.5,11.54,11.54,14642
2022-10-13,11.62,12.2,11.36,11.36,11.36,28826
2022-10-14,11.64,11.8,11.5,11.5,11.5,23680
2022-10-17,12.1,12.1,11.64,11.94,11.94,9028
2022-10-18,12.0,12.1,12.0,12.06,12.06,18396
2022-10-19,12.1,12.1,11.74,11.88,11.88,12323
2022-10-20,11.88,11.88,11.66,11.66,11.66,7570
2022-10-21,12.0,12.0,11.42,11.5,11.5,16445
2022-10-24,11.5,11.6,11.34,11.4,11.4,15260
2022-10-25,11.34,11.5,11.3,11.4,11.4,34913
2022-10-26,11.74,11.74,11.48,11.54,11.54,180352
2022-10-27,11.6,11.78,11.58,11.78,11.78,13050
2022-10-28,11.8,11.8,11.56,11.58,11.58,10610
2022-10-31,11.66,11.68,11.46,11.6,11.6,23263
2022-11-02,11.66,12.2,11.66,11.98,11.98,25059
