Date,Open,High,Low,Close,Adjusted_close,Volume
2022-09-13,37.4,37.7,36.8,36.8,36.8,166
2022-09-14,37.7,37.7,37.0,37.4,37.4,174
2022-09-15,37.7,38.0,35.8,35.8,35.8,2759
2022-09-16,37.5,37.7,34.0,34.0,34.0,11338
2022-09-19,34.5,35.5,34.0,34.0,34.0,5572
2022-09-20,34.0,34.3,33.7,34.3,34.3,2161
2022-09-21,34.3,34.3,33.8,33.9,33.9,719
2022-09-22,33.9,34.2,33.7,34.0,34.0,1717
2022-09-23,34.0,34.0,32.8,33.4,33.4,2422
2022-09-26,33.7,33.7,32.3,33.1,33.1,928
2022-09-27,33.0,33.0,31.5,31.8,31.8,2563
2022-09-28,32.2,32.2,31.5,32.0,32.0,2676
2022-09-29,32.0,32.0,31.4,31.5,31.5,1479
2022-09-30,31.2,32.0,30.6,31.3,31.3,1530
2022-10-03,31.0,31.0,30.5,30.6,30.6,1845
2022-10-04,30.6,31.0,30.6,31.0,31.0,1671
2022-10-05,31.0,31.0,28.8,30.0,30.0,6915
2022-10-06,30.0,30.8,30.0,30.8,30.8,1139
2022-10-07,30.8,30.8,30.3,30.3,30.3,674
2022-10-10,29.5,31.2,29.5,29.6,29.6,1630
2022-10-11,29.0,30.0,28.8,29.0,29.0,3152
2022-10-12,29.6,29.6,29.0,29.0,29.0,957
2022-10-13,29.6,29.6,27.8,27.8,27.8,3101
2022-10-14,29.0,29.0,28.0,28.3,28.3,3442
2022-10-17,28.9,29.0,28.6,29.0,29.0,1539
2022-10-18,29.0,29.0,27.8,28.7,28.7,4586
2022-10-19,28.7,29.5,27.8,28.9,28.9,2499
2022-10-20,28.8,28.8,28.1,28.8,28.8,1071
2022-10-21,29.5,29.5,28.9,29.4,29.4,556
2022-10-24,29.5,30.0,28.6,29.9,29.9,3043
2022-10-25,30.0,30.0,29.2,29.8,29.8,3344
2022-10-26,29.9,29.9,29.1,29.5,29.5,2743
2022-10-27,29.5,29.8,28.8,29.0,29.0,4246
2022-10-28,29.3,29.3,28.4,29.0,29.0,3427
2022-10-31,29.0,29.0,28.4,28.8,28.8,4820
2022-11-02,28.8,29.1,28.6,29.0,29.0,5903
2022-11-03,29.2,30.8,28.9,30.8,30.8,3707
2022-11-04,30.8,31.5,30.0,31.5,31.5,1991
2022-11-07,31.7,34.1,31.6,33.8,33.8,3070
2022-11-08,33.8,34.3,32.5,33.7,33.7,4204
2022-11-09,33.7,33.7,32.6,32.7,32.7,1521
2022-11-10,33.6,33.6,32.0,32.6,32.6,2277
2022-11-14,33.3,33.7,32.0,32.0,32.0,5226
2022-11-15,32.0,33.5,31.0,33.5,33.5,3267
2022-11-16,31.5,33.4,31.5,33.2,33.2,1142
2022-11-17,33.2,33.3,31.8,33.0,33.0,1501
2022-11-18,33.0,33.0,32.0,32.9,32.9,784
2022-11-21,32.8,32.8,32.0,32.0,32.0,839
2022-11-22,32.5,32.5,31.7,31.7,31.7,926
2022-11-23,31.7,32.8,31.4,32.8,32.8,1568
2022-11-24,32.0,32.0,30.5,30.8,30.8,7717
2022-11-25,31.0,31.0,29.1,29.1,29.1,17054
2022-11-28,29.4,31.7,29.4,30.7,30.7,5185
2022-11-29,31.0,31.2,30.2,30.7,30.7,821
2022-11-30,30.6,30.9,30.4,30.8,30.8,1696
2022-12-01,31.0,31.2,30.9,31.2,31.2,1213
2022-12-02,31.2,31.7,30.9,31.7,31.7,2820
2022-12-05,31.8,32.2,31.3,32.1,32.1,1285
2022-12-06,32.2,32.2,31.6,31.6,31.6,848
