Date,Open,High,Low,Close,Adjusted_close,Volume
2022-09-19,33.86,35.28,33.86,34.9,34.9,68408
2022-09-20,34.8,35.3,34.46,35.12,35.12,90658
2022-09-21,34.8,35.56,34.52,35.56,35.56,59012
2022-09-22,34.84,35.56,34.38,34.48,34.48,70186
2022-09-23,34.4,34.56,33.0,33.72,33.72,100946
2022-09-26,33.12,34.24,32.78,33.58,33.58,105991
2022-09-27,34.26,34.36,33.1,33.62,33.62,75378
2022-09-28,32.94,33.18,31.86,31.96,31.96,426616
2022-09-29,31.96,32.36,30.62,30.62,30.62,181585
2022-09-30,30.96,31.02,29.1,29.9,29.9,455237
2022-10-03,29.9,29.9,28.32,29.5,29.5,498860
2022-10-04,29.52,30.84,29.52,30.1,30.1,390654
2022-10-05,29.78,31.16,29.6,30.72,30.72,108864
2022-10-06,31.0,31.32,29.72,30.12,30.12,205117
2022-10-07,29.98,30.12,29.12,29.5,29.5,151597
2022-10-10,28.98,29.88,28.8,29.48,29.48,124888
2022-10-11,29.5,30.0,28.86,29.86,29.86,138544
2022-10-12,29.86,31.3,29.84,30.7,30.7,222088
2022-10-13,31.48,31.52,30.1,30.42,30.42,402635
2022-10-14,31.8,31.8,30.5,31.0,31.0,261515
2022-10-17,31.0,31.88,30.62,31.6,31.6,200422
2022-10-18,32.0,33.26,32.0,32.6,32.6,168388
2022-10-19,33.2,33.2,31.0,31.28,31.28,163475
2022-10-20,31.12,31.74,30.58,31.74,31.74,232039
2022-10-21,31.1,31.72,30.34,30.58,30.58,131179
2022-10-24,30.84,32.22,30.68,31.72,31.72,153969
2022-10-25,32.82,32.82,31.1,31.16,31.16,83217
2022-10-26,31.76,32.82,31.18,32.5,32.5,197675
2022-10-27,32.34,32.8,31.7,32.04,32.04,204385
2022-10-28,32.18,33.52,31.82,32.9,32.9,136706
