Date,Open,High,Low,Close,Adjusted_close,Volume
2022-08-31,7.58,7.72,7.43,7.72,7.72,9791
2022-09-01,7.72,7.72,7.24,7.24,7.24,21108
2022-09-02,7.3,7.48,7.3,7.32,7.32,8197
2022-09-05,7.63,7.63,7.04,7.13,7.13,15438
2022-09-06,7.13,7.15,6.7,6.73,6.73,38246
2022-09-07,6.7,6.87,6.56,6.68,6.68,16556
2022-09-08,6.73,6.88,6.52,6.6,6.6,17709
2022-09-09,6.75,7.19,6.75,6.98,6.98,24835
2022-09-12,7.1,7.18,6.86,7.15,7.15,9734
2022-09-13,7.22,7.22,6.8,6.86,6.86,12551
2022-09-14,6.98,6.98,6.7,6.75,6.75,10108
2022-09-15,6.79,6.98,6.78,6.93,6.93,11497
2022-09-16,6.81,6.93,6.78,6.9,6.9,6570
2022-09-19,6.91,6.91,6.81,6.89,6.89,2706
2022-09-20,6.95,6.96,6.68,6.7,6.7,11812
2022-09-21,6.66,6.83,6.66,6.73,6.73,3405
2022-09-22,6.75,6.8,6.7,6.74,6.74,9169
2022-09-23,6.85,6.86,6.7,6.7,6.7,5837
2022-09-26,6.75,6.75,6.48,6.49,6.49,7813
2022-09-27,6.53,6.78,6.53,6.69,6.69,4582
2022-09-28,6.6,6.72,6.48,6.56,6.56,13957
2022-09-29,6.67,6.67,6.34,6.34,6.34,5245
2022-09-30,6.51,6.64,6.51,6.61,6.61,18236
2022-10-03,6.62,6.75,6.51,6.75,6.75,13886
2022-10-04,6.85,6.94,6.73,6.8,6.8,5733
2022-10-05,6.9,6.9,6.7,6.72,6.72,3392
2022-10-06,6.81,6.81,6.54,6.54,6.54,24924
2022-10-07,6.65,6.68,6.46,6.5,6.5,4986
2022-10-10,6.54,6.58,6.3,6.37,6.37,26527
2022-10-11,6.49,6.49,6.28,6.31,6.31,22367
2022-10-12,6.46,6.46,6.3,6.37,6.37,20180
2022-10-13,6.58,6.58,6.26,6.38,6.38,5195
2022-10-14,6.3,6.56,6.3,6.47,6.47,9720
2022-10-17,6.56,6.56,6.34,6.5,6.5,9238
2022-10-18,6.55,6.66,6.5,6.59,6.59,4956
2022-10-19,6.55,6.62,6.38,6.43,6.43,8951
2022-10-20,6.39,6.54,6.36,6.54,6.54,5190
2022-10-21,6.53,6.61,6.46,6.55,6.55,7628
2022-10-24,6.62,6.79,6.55,6.76,6.76,17812
2022-10-25,6.76,7.15,6.76,7.06,7.06,19448
2022-10-26,7.06,7.34,7.06,7.24,7.24,15428
2022-10-27,7.15,7.23,7.02,7.23,7.23,13654
2022-10-28,7.24,7.3,7.08,7.15,7.15,6548
2022-10-31,7.28,7.68,7.16,7.68,7.68,33989
2022-11-02,7.68,7.78,7.41,7.5,7.5,13521
2022-11-03,7.25,7.42,7.2,7.37,7.37,11768
2022-11-04,7.4,7.68,7.35,7.68,7.68,43541
2022-11-07,7.68,7.8,7.51,7.65,7.65,23492
2022-11-08,7.67,7.7,7.47,7.7,7.7,15619
2022-11-09,7.94,8.4,7.94,8.22,8.22,74643
2022-11-10,8.24,8.64,7.98,8.6,8.6,34928
2022-11-14,8.79,9.0,8.4,8.68,8.68,54601
2022-11-15,8.77,8.77,8.48,8.68,8.68,9828
2022-11-16,8.67,8.67,8.28,8.43,8.43,16589
