Date,Open,High,Low,Close,Adjusted_close,Volume
2022-10-03,25.4,27.6,23.6,25.0,25.0,7718
2022-10-04,25.5,26.0,23.3,25.2,25.2,9974
2022-10-05,25.0,26.3,23.8,23.8,23.8,8060
2022-10-06,23.9,24.1,22.5,23.6,23.6,4985
2022-10-07,23.5,23.9,23.2,23.2,23.2,1272
2022-10-10,22.8,24.0,22.2,22.5,22.5,1322
2022-10-11,22.4,22.8,21.6,21.9,21.9,5374
2022-10-12,22.3,22.3,21.4,21.5,21.5,1502
2022-10-13,21.7,21.8,20.6,21.2,21.2,8255
2022-10-14,21.3,23.4,20.7,20.8,20.8,3961
2022-10-17,21.0,21.0,20.2,20.6,20.6,1969
2022-10-18,20.6,21.9,20.6,20.8,20.8,4658
2022-10-19,21.3,21.3,20.6,21.0,21.0,1863
2022-10-20,21.4,22.1,20.9,21.3,21.3,2758
2022-10-21,21.3,22.0,20.8,21.0,21.0,2124
2022-10-24,20.8,21.2,20.7,21.0,21.0,8824
2022-10-25,21.2,21.3,20.8,21.0,21.0,2362
2022-10-26,21.2,22.0,21.1,21.1,21.1,4620
2022-10-27,21.0,21.0,18.3,18.4,18.4,39403
2022-10-28,18.8,18.85,17.3,17.8,17.8,23455
2022-10-31,17.95,18.6,17.7,18.6,18.6,7684
2022-11-02,19.0,19.0,18.15,18.2,18.2,10113
2022-11-03,18.35,18.75,18.2,18.35,18.35,1491
2022-11-04,18.75,19.1,18.5,18.7,18.7,6634
2022-11-07,18.95,19.75,18.55,19.75,19.75,16830
2022-11-08,19.7,19.7,19.15,19.2,19.2,5606
2022-11-09,19.6,19.65,18.9,19.1,19.1,4952
2022-11-10,19.45,19.7,19.0,19.6,19.6,2460
