Date,Open,High,Low,Close,Adjusted_close,Volume
2022-09-12,57.9,59.16,56.56,58.38,53.7607,1067528
2022-09-13,58.64,59.3,56.1,56.42,51.9558,1495390
2022-09-14,56.36,57.5,55.86,57.06,52.5451,1304395
2022-09-15,57.16,57.4,55.58,56.82,52.3241,1596205
2022-09-16,56.32,57.66,55.72,56.58,52.1031,3358683
2022-09-19,56.2,57.9,56.06,57.9,53.3186,1198805
2022-09-20,58.02,58.7,56.24,56.24,51.79,1205376
2022-09-21,56.24,58.74,56.1,58.0,53.4107,1351049
2022-09-22,57.64,59.26,57.18,58.4,53.7791,1343460
2022-09-23,58.4,58.4,54.8,55.06,50.7034,1255724
2022-09-26,53.0,53.4,50.34,51.68,47.5908,2260166
2022-09-27,52.1,54.28,52.1,53.56,49.322,1604927
2022-09-28,53.04,54.78,51.74,54.4,50.0956,1488555
2022-09-29,55.56,55.56,52.8,53.4,49.1747,1020311
2022-09-30,54.0,55.76,52.82,53.54,49.3036,1430532
2022-10-03,53.54,53.7,51.3,52.88,48.6959,1464570
2022-10-04,53.5,55.84,53.3,55.84,51.4216,1451484
2022-10-05,55.5,56.18,54.0,54.56,50.2429,1585918
2022-10-06,54.8,56.16,54.22,55.12,50.7586,1215975
2022-10-07,54.84,54.96,53.3,53.64,49.3957,1137221
2022-10-10,53.5,54.64,52.98,53.6,49.3589,1017465
2022-10-11,53.76,53.96,52.02,52.5,48.3459,2053817
2022-10-12,52.98,53.62,51.64,52.62,48.4564,1397031
2022-10-13,52.84,53.28,51.14,53.0,48.8064,1572338
2022-10-14,54.06,54.7,52.8,53.3,49.0826,1510059
2022-10-17,53.3,55.0,53.02,54.14,49.8562,1111574
2022-10-18,53.0,53.0,50.96,51.68,47.5908,6080064
2022-10-19,52.0,52.2,50.2,50.4,46.4121,2212915
2022-10-20,50.5,51.3,49.88,51.0,46.9646,3081900
2022-10-21,50.7,50.7,49.95,50.26,46.2832,2142931
