Date,Open,High,Low,Close,Adjusted_close,Volume
2022-09-01,21.38,22.0,20.5,20.7,20.7,42903
2022-09-02,20.5,21.18,20.16,20.6,20.6,36676
2022-09-05,21.1,21.1,19.6,19.6,19.6,40933
2022-09-06,19.8,20.2,19.15,19.8,19.8,42432
2022-09-07,19.78,19.78,19.15,19.38,19.38,35020
2022-09-08,19.5,19.97,19.3,19.6,19.6,40872
2022-09-09,19.77,20.54,19.6,19.9,19.9,55401
2022-09-12,21.7,23.8,19.53,20.0,20.0,1210067
2022-09-13,20.46,21.44,19.3,19.6,19.6,550288
2022-09-14,18.99,19.91,18.51,19.25,19.25,311527
2022-09-15,19.7,20.46,18.6,19.0,19.0,230925
2022-09-16,19.0,19.03,18.05,18.98,18.98,386659
2022-09-19,18.89,18.89,17.95,18.04,18.04,166482
2022-09-20,18.23,18.5,17.56,17.68,17.68,119146
2022-09-21,17.6,17.6,16.57,17.2,17.2,211112
2022-09-22,17.2,18.25,16.8,18.25,18.25,83929
2022-09-23,18.25,18.3,17.0,17.4,17.4,82721
2022-09-26,17.45,18.5,16.8,17.94,17.94,131678
2022-09-27,18.46,18.5,18.0,18.38,18.38,36919
2022-09-28,18.35,18.35,17.5,17.99,17.99,46565
2022-09-29,18.06,18.25,17.1,17.4,17.4,52392
2022-09-30,17.45,17.84,16.44,16.99,16.99,73285
2022-10-03,17.5,17.5,16.52,17.0,17.0,41083
2022-10-04,17.28,19.99,17.2,19.4,19.4,225267
2022-10-05,19.48,19.48,18.6,18.7,18.7,52929
2022-10-06,19.37,19.9,19.15,19.45,19.45,85683
2022-10-07,19.45,20.8,19.24,19.92,19.92,116439
2022-10-10,19.9,19.91,18.82,18.82,18.82,73509
2022-10-11,18.8,19.69,18.78,19.35,19.35,51391
2022-10-12,19.35,19.5,18.94,19.2,19.2,19607
2022-10-13,19.21,19.48,18.4,18.42,18.42,44927
2022-10-14,19.0,19.1,18.6,18.9,18.9,36043
2022-10-17,18.96,18.96,18.3,18.8,18.8,44997
2022-10-18,18.83,18.9,18.46,18.55,18.55,27231
2022-10-19,18.99,18.99,17.31,17.9,17.9,66356
2022-10-20,18.0,18.0,17.16,17.17,17.17,43392
2022-10-21,17.17,17.5,16.31,16.8,16.8,136873
2022-10-24,16.99,17.42,16.75,17.27,17.27,28381
2022-10-25,17.4,17.4,17.0,17.14,17.14,26010
2022-10-26,17.2,17.24,16.93,17.0,17.0,62374
2022-10-27,17.0,17.41,17.0,17.18,17.18,35579
