Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-08-01,13170.7,13230.27,13128.34,13230.27,14,19,4,1
2023-08-02,13165.03,13177.44,13031.28,13042.76,14,19,4,1
2023-08-03,13057.99,13067.49,12994.78,13056.79,14,19,4,1
2023-08-04,13087.23,13103.95,12978.87,13021.12,14,19,4,1
2023-08-07,13008.71,13022.44,12895.35,12954.43,14,19,4,1
2023-08-08,12917.03,12935.71,12775.41,12793.45,14,19,4,1
2023-08-09,12834.86,12888.34,12727.18,12748.62,14,19,4,1
2023-08-10,12771.03,12830.7,12756.56,12801.24,14,19,4,1
2023-08-11,12791.87,12814.84,12733.31,12782.03,14,19,4,1
2023-08-14,12734.5,12759.62,12660.63,12736.72,14,19,4,1
2023-08-16,12708.97,12716.39,12492.41,12535.64,14,19,4,1
2023-08-17,12543.46,12543.46,12352.63,12414.27,14,19,4,1
2023-08-18,12408.45,12453.57,12344.63,12453.57,14,19,4,1
2023-08-21,12476.01,12594.6,12454.4,12594.6,14,19,4,1
2023-08-22,12610.89,12643.5,12571.0,12596.14,14,19,4,1
2023-08-23,12623.62,12624.19,12449.93,12585.91,14,19,4,1
2023-08-24,12605.77,12661.62,12440.99,12440.99,14,19,4,1
2023-08-25,12378.08,12450.87,12370.93,12404.97,14,19,4,1
2023-08-28,12432.71,12493.52,12312.1,12369.29,14,19,4,1
2023-08-29,12393.84,12414.1,12315.4,12396.99,14,19,4,1
2023-08-30,12455.41,12468.79,12387.04,12429.22,14,19,4,1
2023-08-31,12434.89,12508.19,12392.35,12392.35,14,19,4,1
2023-09-01,12415.35,12558.49,12396.51,12541.1,14,19,4,1
2023-09-04,12585.45,12671.62,12550.36,12571.49,14,19,4,1
2023-09-05,12574.34,12666.18,12500.63,12522.08,14,19,4,1
2023-09-06,12521.71,12596.48,12332.53,12567.02,14,19,4,1
2023-09-07,12563.16,12597.12,12416.28,12482.99,14,19,4,1
2023-09-08,12546.94,12576.77,12485.07,12564.6,14,19,4,1
2023-09-11,12613.26,12613.26,12509.39,12547.1,14,19,4,1
2023-09-12,12584.65,12595.37,12519.44,12529.46,14,19,4,1
