Date,Open,High,Low,Close,Adjusted_close,Volume
2023-06-21,3.35,3.46,3.35,3.4,3.4,6726
2023-06-22,3.35,3.36,3.35,3.36,3.36,2831
2023-06-23,3.49,3.5,3.31,3.34,3.34,5676
2023-06-26,3.34,3.34,3.33,3.33,3.33,1304
2023-06-27,3.4,3.53,3.39,3.39,3.39,2017
2023-06-28,3.38,3.52,3.36,3.4,3.4,1637
2023-06-29,3.48,3.5,3.38,3.38,3.38,942
2023-06-30,3.46,3.46,3.39,3.46,3.46,556
2023-07-03,3.46,3.46,3.33,3.4,3.4,5679
2023-07-04,3.38,3.38,3.33,3.38,3.38,1036
2023-07-05,3.33,3.38,3.33,3.38,3.38,1246
2023-07-06,3.27,3.39,3.22,3.39,3.39,2547
2023-07-07,3.39,3.39,3.39,3.39,3.39,571
2023-07-10,3.38,3.38,3.21,3.38,3.38,3713
2023-07-11,3.38,3.38,3.37,3.37,3.37,1490
2023-07-12,3.37,3.37,3.23,3.32,3.32,3824
2023-07-13,3.31,3.31,3.21,3.21,3.21,2610
2023-07-14,3.21,3.35,3.21,3.33,3.33,4013
2023-07-17,3.23,3.45,3.2,3.44,3.44,3973
2023-07-18,3.43,3.43,3.22,3.25,3.25,4398
2023-07-19,3.22,3.37,3.02,3.26,3.26,35485
2023-07-20,3.25,3.25,3.11,3.18,3.18,3476
2023-07-21,3.07,3.22,3.07,3.18,3.18,2867
2023-07-24,3.19,3.21,3.02,3.2,3.2,4668
2023-07-25,3.15,3.24,3.13,3.23,3.23,2824
2023-07-26,3.11,3.23,3.07,3.17,3.17,6199
2023-07-27,3.17,3.18,3.08,3.18,3.18,3615
2023-07-28,3.21,3.23,3.15,3.19,3.19,2211
2023-07-31,3.2,3.2,3.15,3.2,3.2,1076
2023-08-01,3.15,3.2,3.1,3.18,3.18,4800
2023-08-02,3.1,3.2,3.03,3.1,3.1,5412
2023-08-03,3.1,3.1,2.95,3.09,3.09,25663
2023-08-04,3.1,3.15,3.06,3.12,3.12,1509
2023-08-07,3.12,3.12,2.89,2.93,2.93,20288
2023-08-08,2.91,3.04,2.88,2.92,2.92,14981
2023-08-09,3.0,3.03,2.8,2.97,2.97,12139
2023-08-10,2.97,2.97,2.8,2.89,2.89,12738
2023-08-11,2.89,2.89,2.8,2.88,2.88,4123
2023-08-14,2.88,2.88,2.81,2.88,2.88,6765
2023-08-16,2.81,2.85,2.81,2.85,2.85,136
2023-08-17,2.85,2.88,2.8,2.83,2.83,2345
2023-08-18,2.8,2.82,2.74,2.82,2.82,11200
2023-08-21,2.83,2.83,2.74,2.82,2.82,1263
2023-08-22,2.83,2.83,2.72,2.81,2.81,4168
2023-08-23,2.81,2.83,2.72,2.82,2.82,3654
2023-08-24,2.82,2.92,2.74,2.92,2.92,3516
2023-08-25,2.92,2.92,2.72,2.85,2.85,4320
2023-08-28,2.84,2.84,2.72,2.82,2.82,3336
2023-08-29,2.81,2.82,2.76,2.82,2.82,38
2023-08-30,2.8,2.82,2.74,2.82,2.82,407
2023-08-31,2.82,2.82,2.72,2.8,2.8,4088
