Date,Open,High,Low,Close,Adjusted_close,Volume
2023-05-10,10.08,10.38,9.95,10.32,10.2063,48599
2023-05-11,10.32,10.38,10.12,10.26,10.147,14982
2023-05-12,10.24,10.42,10.18,10.36,10.2459,36355
2023-05-15,10.2,10.32,9.95,10.04,9.9294,45403
2023-05-16,9.93,10.0,9.54,9.96,9.8503,88642
2023-05-17,10.0,10.24,9.86,9.98,9.8701,22958
2023-05-18,9.96,10.08,9.84,9.87,9.7613,20054
2023-05-19,9.87,10.1,9.8,10.0,9.8899,34610
2023-05-22,10.06,10.18,9.9,10.02,9.9096,16040
2023-05-23,10.14,10.64,10.12,10.48,10.3646,155828
2023-05-24,10.34,10.46,10.14,10.32,10.2063,103715
2023-05-25,9.68,9.68,8.45,8.5,8.4064,998763
2023-05-26,8.6,9.09,8.54,8.81,8.713,202034
2023-05-29,8.86,9.02,8.65,8.75,8.6536,63024
2023-05-30,8.75,8.75,8.21,8.28,8.1888,259619
2023-05-31,8.24,8.32,7.92,7.99,7.902,188039
2023-06-01,7.92,8.45,7.88,8.28,8.1888,148006
2023-06-02,8.28,8.64,8.28,8.59,8.4954,117478
2023-06-05,8.4,8.74,8.37,8.57,8.4756,76931
2023-06-06,8.56,8.56,8.31,8.48,8.3866,83112
2023-06-07,8.47,8.54,8.35,8.35,8.258,36230
2023-06-09,8.35,8.4,8.11,8.15,8.0602,100572
2023-06-12,8.12,8.19,8.03,8.05,7.9613,47071
2023-06-13,8.05,8.11,7.99,8.01,7.9218,31425
2023-06-14,8.0,8.31,7.95,8.1,8.0108,72309
2023-06-15,8.04,8.14,7.98,8.06,7.9712,59046
2023-06-16,8.05,8.53,8.05,8.25,8.1591,110683
2023-06-19,8.25,8.37,8.12,8.13,8.0405,26353
2023-06-20,8.15,8.19,8.05,8.15,8.0602,32471
2023-06-21,8.15,8.18,8.0,8.07,7.9811,47527
2023-06-22,8.08,8.08,7.97,7.97,7.8822,42030
2023-06-23,7.98,7.98,7.8,7.84,7.7537,76341
2023-06-26,7.81,7.97,7.7,7.85,7.7635,56153
2023-06-27,7.85,7.98,7.73,7.82,7.7339,40914
2023-06-28,7.82,7.83,7.7,7.8,7.7141,82452
2023-06-29,7.8,8.35,7.8,8.3,8.2086,145116
2023-06-30,8.32,8.32,8.08,8.12,8.0306,57311
2023-07-03,8.1,8.24,8.0,8.13,8.0405,53513
2023-07-04,8.14,8.29,8.06,8.28,8.1888,33709
2023-07-05,8.3,8.33,8.2,8.26,8.169,53246
2023-07-06,8.3,8.3,8.04,8.09,8.0009,43508
2023-07-07,8.01,8.14,8.0,8.0,7.9119,36885
2023-07-10,8.05,8.07,7.96,7.96,7.8723,40259
2023-07-11,7.96,8.04,7.91,8.02,7.9317,54044
2023-07-12,8.02,8.25,7.97,8.1,8.0108,70924
