Date,Open,High,Low,Close,Adjusted_close,Volume
2023-08-07,148.2,149.0,148.2,148.2,148.2,3543
2023-08-08,148.2,150.0,148.2,149.2,149.2,1187
2023-08-09,150.0,150.0,148.2,148.6,148.6,3174
2023-08-10,148.6,150.0,148.2,149.8,149.8,1911
2023-08-11,150.0,152.0,148.0,148.2,148.2,7853
2023-08-14,148.2,153.0,148.2,152.4,152.4,5579
2023-08-16,153.0,153.0,148.2,148.4,148.4,2624
2023-08-17,148.2,152.0,144.2,145.6,145.6,4797
2023-08-18,145.6,147.0,144.0,146.0,146.0,2979
2023-08-21,147.0,155.0,146.2,155.0,155.0,7635
2023-08-22,155.0,155.0,149.0,150.4,150.4,3350
2023-08-23,150.4,150.6,146.0,146.0,146.0,4475
2023-08-24,145.6,149.8,145.4,148.4,148.4,2051
2023-08-25,148.0,149.0,146.2,148.6,148.6,4232
2023-08-28,149.4,153.8,148.6,151.2,151.2,6151
2023-08-29,153.0,153.0,150.0,150.4,150.4,4084
2023-08-30,150.4,152.0,148.8,152.0,152.0,2925
