Date,Open,High,Low,Close,Adjusted_close,Volume
2023-04-25,10.7,10.78,10.5,10.62,10.62,12077
2023-04-26,10.24,10.6,10.12,10.5,10.5,39653
2023-04-27,10.5,10.58,10.46,10.5,10.5,42633
2023-04-28,10.56,10.56,9.75,10.16,10.16,69910
2023-05-02,10.2,10.3,10.0,10.24,10.24,25897
2023-05-04,10.26,10.36,9.98,10.1,10.1,33428
2023-05-05,10.1,10.2,10.1,10.12,10.12,18941
2023-05-08,10.12,10.3,10.08,10.18,10.18,29880
2023-05-09,10.16,10.9,10.1,10.58,10.58,69727
2023-05-10,10.6,11.4,10.24,11.04,11.04,143718
2023-05-11,11.22,11.4,10.84,11.16,11.16,49070
2023-05-12,11.18,11.28,10.94,11.2,11.2,25291
2023-05-15,11.24,11.36,11.12,11.34,11.34,33508
2023-05-16,11.3,11.34,11.14,11.26,11.26,21990
2023-05-17,11.24,11.24,11.12,11.18,11.18,19118
2023-05-18,11.4,11.96,11.4,11.68,11.68,141211
2023-05-19,11.7,11.96,11.42,11.5,11.5,109238
2023-05-22,11.58,11.58,11.3,11.54,11.54,54860
2023-05-23,11.5,11.58,11.34,11.56,11.56,35590
2023-05-24,11.56,11.56,11.2,11.36,11.36,31474
2023-05-25,11.38,11.38,11.18,11.36,11.36,21657
2023-05-26,11.3,11.42,11.14,11.3,11.3,39441
2023-05-29,11.34,11.78,11.24,11.64,11.64,50293
2023-05-30,11.8,12.2,11.6,11.76,11.76,114961
2023-05-31,11.74,11.76,11.42,11.44,11.44,65608
2023-06-01,11.6,11.96,11.5,11.92,11.92,106971
2023-06-02,12.02,12.64,12.0,12.54,12.54,112467
2023-06-05,12.62,13.46,12.6,13.02,13.02,92343
2023-06-06,13.26,13.26,13.0,13.1,13.1,31057
2023-06-07,12.98,13.42,12.96,13.4,13.4,48462
2023-06-09,13.46,13.6,13.16,13.58,13.58,49150
2023-06-12,13.54,13.6,13.2,13.26,13.26,25321
2023-06-13,13.48,14.14,13.48,13.7,13.7,47678
2023-06-14,14.0,14.0,13.64,13.8,13.8,32991
2023-06-15,14.0,14.0,13.5,13.6,13.6,23159
2023-06-16,13.68,13.68,13.3,13.44,13.44,37108
2023-06-19,13.52,14.14,13.46,13.82,13.82,21078
2023-06-20,13.76,13.94,13.5,13.78,13.78,33664
2023-06-21,13.86,14.1,13.86,14.0,14.0,36321
2023-06-22,14.04,14.1,13.92,14.04,14.04,29224
2023-06-23,14.04,14.04,13.86,13.96,13.96,26885
2023-06-26,14.0,14.76,14.0,14.68,14.68,57331
2023-06-27,14.7,14.7,14.52,14.7,14.7,38140
