Date,Open,High,Low,Close,Adjusted_close,Volume
2023-01-04,31.5,31.5,30.8,30.8,29.6214,233
2023-01-05,30.8,30.8,29.8,30.2,29.0444,1191
2023-01-09,30.1,31.0,30.1,31.0,29.8138,22
2023-01-10,31.8,32.2,30.3,31.3,30.1023,1200
2023-01-11,30.7,31.0,30.6,31.0,29.8138,791
2023-01-12,31.3,31.3,31.3,31.3,30.1023,50
2023-01-13,30.7,31.3,30.7,31.3,30.1023,101
2023-01-16,30.6,30.9,30.6,30.9,29.7176,283
2023-01-17,30.4,30.5,30.0,30.5,29.3329,401
2023-01-18,30.5,30.5,30.4,30.4,29.2367,123
2023-01-19,30.4,30.4,30.4,30.4,29.2367,17
2023-01-23,30.4,30.7,29.8,30.7,29.5253,798
2023-01-24,30.8,31.0,30.8,31.0,29.8138,540
2023-01-26,31.0,31.0,30.6,31.0,29.8138,193
2023-01-27,30.5,31.0,30.4,30.9,29.7176,261
2023-01-30,30.7,30.8,30.3,30.8,29.6214,307
2023-01-31,30.7,31.5,30.7,30.8,29.6214,506
2023-02-01,30.6,30.6,30.1,30.1,28.9482,334
2023-02-02,30.1,30.5,30.0,30.5,29.3329,382
2023-02-03,30.1,30.7,30.1,30.5,29.3329,78
2023-02-06,30.0,30.4,30.0,30.4,29.2367,683
2023-02-07,30.4,30.4,30.4,30.4,29.2367,19
2023-02-08,30.0,30.4,30.0,30.4,29.2367,2
2023-02-09,30.4,30.9,30.4,30.6,29.4291,2273
2023-02-10,30.8,30.9,30.8,30.8,29.6214,3993
2023-02-13,30.9,31.0,30.3,30.8,29.6214,306
2023-02-14,30.4,30.9,30.3,30.9,29.7176,278
2023-02-15,31.0,31.0,30.5,30.9,29.7176,56
2023-02-16,30.4,30.8,30.3,30.8,29.6214,161
2023-02-17,30.8,30.8,30.8,30.8,29.6214,122
2023-02-20,30.9,30.9,30.4,30.9,29.7176,368
2023-02-21,30.9,31.0,30.5,31.0,29.8138,789
2023-02-22,30.6,30.9,30.5,30.9,29.7176,137
2023-02-24,30.5,30.5,30.5,30.5,29.3329,35
2023-02-27,30.5,30.5,30.5,30.5,29.3329,42
2023-02-28,30.5,30.8,30.5,30.8,29.6214,92
2023-03-01,30.4,30.8,30.4,30.8,29.6214,79
2023-03-02,30.5,30.8,30.3,30.8,29.6214,322
2023-03-03,30.8,30.8,30.8,30.8,29.6214,12
