Date,Open,High,Low,Close,Adjusted_close,Volume
2023-02-16,47.4,48.8,47.4,48.25,48.25,519
2023-02-17,47.6,47.6,44.75,47.0,47.0,355
2023-02-20,47.0,47.0,45.8,47.0,47.0,165
2023-02-21,47.0,47.3,45.5,46.4,46.4,2140
2023-02-22,45.5,46.0,45.5,46.0,46.0,3751
2023-02-23,47.0,48.0,46.6,46.65,46.65,931
2023-02-24,47.75,49.0,47.75,48.7,48.7,8247
2023-02-27,48.6,48.6,46.65,48.1,48.1,3090
2023-02-28,48.1,48.85,47.5,48.8,48.8,4026
2023-03-01,47.2,48.15,47.2,48.0,48.0,973
2023-03-02,48.8,48.8,47.55,48.05,48.05,367
2023-03-03,48.6,48.6,47.8,48.55,48.55,10813
2023-03-06,48.55,48.95,48.0,48.85,48.85,5863
2023-03-07,48.8,51.8,48.8,51.0,51.0,13144
2023-03-08,51.9,52.0,49.2,51.3,51.3,6157
2023-03-09,52.1,52.4,50.5,52.3,52.3,6037
2023-03-10,51.1,54.0,51.0,54.0,54.0,8695
2023-03-13,54.0,54.0,52.3,52.7,52.7,3903
2023-03-14,52.7,54.6,52.7,54.5,54.5,56526
2023-03-15,54.5,55.2,50.6,53.0,53.0,4038
2023-03-16,53.5,54.0,51.5,54.0,54.0,2782
2023-03-17,54.2,54.9,54.0,54.9,54.9,19460
2023-03-20,55.2,55.5,53.2,54.9,54.9,18021
2023-03-21,55.3,55.3,53.7,53.7,53.7,7838
2023-03-22,54.0,54.2,52.4,53.5,53.5,1291
2023-03-23,54.0,54.0,53.4,53.4,53.4,128
2023-03-24,53.4,53.4,50.0,51.9,51.9,12934
2023-03-27,52.0,52.0,50.0,51.8,51.8,6338
2023-03-28,51.9,52.1,50.5,50.5,50.5,3675
2023-03-29,51.0,51.0,50.0,51.0,51.0,4239
2023-03-30,51.6,52.2,51.6,52.2,52.2,2021
2023-03-31,53.4,54.9,53.0,53.5,53.5,5046
2023-04-03,54.9,55.2,54.0,54.7,54.7,5170
2023-04-04,55.9,56.0,54.4,54.5,54.5,2694
2023-04-05,54.9,54.9,53.5,53.5,53.5,1341
2023-04-06,54.5,54.5,52.7,53.0,53.0,733
2023-04-11,53.1,55.0,53.1,55.0,55.0,2725
2023-04-12,55.0,55.9,53.0,54.7,54.7,3115
2023-04-13,54.7,54.9,53.3,54.0,54.0,16348
2023-04-14,54.5,55.2,53.8,54.0,54.0,9829
2023-04-17,54.0,54.0,53.0,53.1,53.1,1662
2023-04-18,53.4,54.6,50.5,52.2,52.2,6339
2023-04-19,52.2,52.4,51.0,51.2,51.2,9158
2023-04-20,50.6,51.6,50.4,51.0,51.0,10651
2023-04-21,51.4,52.4,50.0,51.4,51.4,5667
2023-04-24,50.4,53.6,50.4,53.6,53.6,2342
2023-04-25,53.6,55.0,53.0,55.0,55.0,57991
2023-04-26,55.0,55.0,52.2,54.8,54.8,6762
2023-04-27,55.0,55.6,53.8,55.6,55.6,7409
2023-04-28,55.6,55.6,53.8,55.6,55.6,2199
2023-05-02,55.0,55.6,53.2,53.4,53.4,2924
2023-05-04,53.2,54.0,53.0,53.2,53.2,3066
2023-05-05,53.8,53.8,52.2,52.4,52.4,1277
2023-05-08,53.2,54.0,52.2,53.4,53.4,1774
2023-05-09,54.4,60.4,54.4,60.0,60.0,55404
2023-05-10,60.0,62.0,57.2,61.4,61.4,13905
2023-05-11,61.0,64.6,58.0,64.2,64.2,25051
