Date,Open,High,Low,Close,Adjusted_close,Volume
2023-05-02,133.92,135.0,133.92,134.8,134.8,240
2023-05-04,135.28,135.56,133.94,133.94,133.94,270
2023-05-05,134.2,135.4,134.2,134.82,134.82,30
2023-05-08,135.0,135.7,135.0,135.0,135.0,20
2023-05-09,135.5,135.64,135.1,135.52,135.52,50
2023-05-10,136.12,137.46,135.86,137.46,137.46,50
2023-05-11,136.74,136.98,135.9,136.94,136.94,240
2023-05-12,136.7,137.46,136.7,137.38,137.38,40
2023-05-15,137.42,137.42,136.1,136.1,136.1,170
2023-05-16,137.46,138.22,137.3,138.22,138.22,120
2023-05-17,138.08,138.08,136.1,136.1,136.1,150
2023-05-18,136.22,137.62,135.14,135.14,135.14,350
2023-05-19,136.1,137.14,136.1,136.78,136.78,80
2023-05-22,137.36,138.42,137.36,138.24,138.24,200
2023-05-23,137.1,138.56,137.1,138.52,138.52,220
2023-05-24,135.64,135.64,135.22,135.22,135.22,0
2023-05-25,136.0,136.0,133.06,133.14,133.14,120
2023-05-26,134.84,135.02,134.84,135.02,135.02,50
2023-05-29,135.76,136.22,135.1,135.1,135.1,110
2023-05-30,135.1,136.08,135.1,135.6,135.6,30
2023-05-31,134.46,134.8,132.4,132.4,132.4,250
2023-06-01,133.62,133.62,133.62,133.62,133.62,0
2023-06-02,134.48,134.98,134.38,134.98,134.98,190
2023-06-05,135.38,137.62,135.38,137.62,137.62,140
2023-06-06,137.68,138.58,136.8,138.58,138.58,80
2023-06-07,138.3,138.3,136.12,138.0,138.0,220
2023-06-09,137.82,137.82,136.58,137.0,137.0,150
