Date,Open,High,Low,Close,Adjusted_close,Volume
2023-01-25,1.346,1.368,1.312,1.348,1.348,916268
2023-01-26,1.35,1.36,1.32,1.34,1.34,557681
2023-01-27,1.35,1.35,1.316,1.33,1.33,424289
2023-01-30,1.324,1.35,1.302,1.338,1.338,413281
2023-01-31,1.338,1.338,1.3,1.312,1.312,206737
2023-02-01,1.312,1.32,1.284,1.286,1.286,303443
2023-02-02,1.29,1.29,1.25,1.28,1.28,332868
2023-02-03,1.282,1.284,1.25,1.27,1.27,373551
2023-02-06,1.27,1.28,1.16,1.16,1.16,705008
2023-02-07,1.16,1.5,1.15,1.436,1.436,4434773
2023-02-08,1.45,1.49,1.35,1.35,1.35,1999127
2023-02-09,1.35,1.48,1.31,1.362,1.362,4978279
2023-02-10,1.362,1.38,1.3,1.318,1.318,1123574
2023-02-13,1.302,1.328,1.266,1.288,1.288,399889
2023-02-14,1.28,1.298,1.27,1.296,1.296,273546
2023-02-15,1.296,1.324,1.274,1.284,1.284,401632
2023-02-16,1.284,1.304,1.272,1.272,1.272,190477
2023-02-17,1.272,1.3,1.272,1.278,1.278,203504
2023-02-20,1.296,1.394,1.296,1.39,1.39,1304393
2023-02-21,1.39,1.448,1.372,1.396,1.396,664877
2023-02-22,1.4,1.464,1.354,1.404,1.404,1721419
2023-02-23,1.428,1.518,1.374,1.49,1.49,1727017
2023-02-24,1.5,1.582,1.48,1.526,1.526,1849188
2023-02-27,1.53,1.57,1.474,1.496,1.496,650696
2023-02-28,1.496,1.512,1.488,1.498,1.498,331744
2023-03-01,1.5,1.53,1.492,1.5,1.5,398741
2023-03-02,1.5,1.5,1.408,1.43,1.43,662456
2023-03-03,1.476,1.5,1.47,1.492,1.492,293540
2023-03-06,1.528,1.55,1.482,1.5,1.5,988827
2023-03-07,1.5,1.5,1.478,1.498,1.498,489535
2023-03-08,1.468,1.486,1.45,1.47,1.47,380879
2023-03-09,1.468,1.48,1.442,1.458,1.458,219905
2023-03-10,1.47,1.57,1.464,1.546,1.546,1615062
2023-03-13,1.58,1.59,1.504,1.568,1.568,953419
2023-03-14,1.572,1.576,1.52,1.55,1.55,401891
2023-03-15,1.546,1.546,1.45,1.45,1.45,710472
2023-03-16,1.422,1.488,1.38,1.45,1.45,580283
2023-03-17,1.468,1.48,1.45,1.45,1.45,95893
2023-03-20,1.46,1.48,1.422,1.46,1.46,105533
2023-03-21,1.478,1.56,1.44,1.44,1.44,489885
2023-03-22,1.444,1.5,1.44,1.44,1.44,410364
2023-03-23,1.296,1.476,1.296,1.34,1.34,2433552
2023-03-24,1.366,1.366,1.32,1.342,1.342,277416
2023-03-27,1.342,1.35,1.302,1.328,1.328,426167
2023-03-28,1.302,1.342,1.284,1.284,1.284,365098
2023-03-29,1.3,1.42,1.28,1.39,1.39,715139
2023-03-30,1.43,1.43,1.356,1.36,1.36,286155
2023-03-31,1.36,1.418,1.356,1.39,1.39,198872
2023-04-03,1.528,1.57,1.454,1.48,1.48,1960870
2023-04-04,1.5,1.5,1.428,1.444,1.444,420348
2023-04-05,1.422,1.504,1.39,1.424,1.424,814777
2023-04-06,1.44,1.464,1.426,1.426,1.426,103190
2023-04-11,1.438,1.478,1.43,1.46,1.46,178595
2023-04-12,1.486,1.51,1.432,1.436,1.436,414629
2023-04-13,1.436,1.476,1.398,1.41,1.41,586896
2023-04-14,1.41,1.468,1.41,1.424,1.424,282733
2023-04-17,1.424,1.54,1.424,1.51,1.51,879916
2023-04-18,1.52,1.57,1.494,1.536,1.536,967394
2023-04-19,1.548,1.548,1.48,1.48,1.48,542993
