Date,Open,High,Low,Close,Adjusted_close,Volume
2023-01-09,362.0,365.0,356.5,359.0,342.2668,1739
2023-01-10,355.0,369.0,341.5,369.0,351.8007,2807
2023-01-11,372.0,388.0,369.0,369.0,351.8007,4324
2023-01-12,369.0,380.0,365.0,380.0,362.288,1495
2023-01-13,382.0,383.5,370.0,371.0,353.7075,1828
2023-01-16,378.5,382.5,372.0,372.0,354.6609,2094
2023-01-17,376.0,380.0,374.0,379.0,361.3346,1288
2023-01-18,378.0,380.0,374.5,375.0,357.521,968
2023-01-19,375.0,380.0,369.0,380.0,362.288,2381
2023-01-20,380.0,397.5,376.0,392.0,373.7287,6144
2023-01-23,395.0,404.0,381.0,402.5,383.7392,3957
2023-01-24,397.0,404.0,393.0,398.0,379.449,1976
2023-01-25,394.5,394.5,383.0,384.0,366.1015,2389
2023-01-26,382.0,400.0,380.0,400.0,381.3558,2360
2023-01-27,400.0,405.5,392.5,405.0,386.1227,3300
2023-01-30,406.5,408.0,395.5,405.0,386.1227,3438
2023-01-31,404.5,407.0,391.0,407.0,388.0295,4522
2023-02-01,396.0,406.0,386.5,394.5,376.1121,1542
2023-02-02,394.5,400.0,390.0,400.0,381.3558,2151
2023-02-03,396.5,405.0,396.0,405.0,386.1227,2280
2023-02-06,406.0,412.0,394.0,394.0,375.6354,4406
2023-02-07,395.5,398.5,389.0,390.0,371.8219,847
2023-02-08,391.0,402.0,390.0,399.5,380.8791,1484
2023-02-09,399.0,408.0,396.5,400.0,381.3558,1405
2023-02-10,399.5,400.5,387.0,395.0,376.5888,2250
2023-02-13,395.0,398.5,382.0,390.0,371.8219,1145
2023-02-14,390.0,402.5,387.5,401.0,382.3092,1217
2023-02-15,400.0,406.0,398.5,403.0,384.2159,979
2023-02-16,405.0,410.0,403.0,405.0,386.1227,5313
2023-02-17,409.0,420.0,405.0,419.0,399.4702,2594
2023-02-20,421.0,421.0,410.0,410.0,390.8897,1618
2023-02-21,410.0,413.5,407.0,407.5,388.5062,2131
2023-02-22,406.5,413.5,405.0,412.0,392.7964,1853
2023-02-23,411.5,424.0,404.0,422.5,402.807,1365
2023-02-24,422.5,424.0,414.5,418.0,398.5168,1052
2023-02-27,418.0,429.0,411.5,427.0,407.0973,1810
2023-02-28,427.0,432.5,420.0,427.5,407.574,1468
2023-03-01,426.5,431.0,425.0,425.0,405.1905,1471
2023-03-02,429.5,429.5,420.0,423.5,403.7604,1259
2023-03-03,425.0,435.0,421.0,430.0,409.9575,1570
2023-03-06,430.0,440.0,430.0,438.0,417.5846,1842
2023-03-07,437.5,437.5,425.0,429.0,409.0041,2525
2023-03-08,438.0,459.0,418.5,457.0,435.699,5562
2023-03-09,456.0,475.0,446.0,458.5,437.1291,9872
2023-03-10,457.0,458.5,433.5,445.5,424.735,5094
2023-03-13,445.5,446.0,425.0,436.0,415.6778,3530
2023-03-14,436.0,440.0,427.0,439.0,418.538,1443
2023-03-15,438.0,438.0,416.0,416.5,397.0867,1672
2023-03-16,418.5,427.0,418.0,423.0,403.2837,1180
2023-03-17,424.0,425.5,406.5,412.5,393.2731,3420
2023-03-20,413.0,424.0,404.0,423.5,403.7604,1507
2023-03-21,423.5,434.0,421.0,426.5,406.6206,2313
2023-03-22,427.5,428.5,420.0,420.0,400.4236,1256
2023-03-23,420.0,427.5,412.0,414.0,394.7032,1248
2023-03-24,421.0,422.0,400.5,412.0,392.7964,1234
