Date,Open,High,Low,Close,Adjusted_close,Volume
2022-11-29,40.9,41.4,40.9,41.0,40.3207,403
2022-11-30,41.8,42.0,41.0,42.0,41.3041,1025
2022-12-01,41.0,42.3,41.0,42.0,41.3041,163
2022-12-02,42.0,42.0,40.9,40.9,40.2223,6204
2022-12-05,41.0,41.5,41.0,41.4,40.714,6113
2022-12-06,41.4,41.9,41.3,41.9,41.2058,15559
2022-12-07,41.9,42.4,41.9,42.4,41.6975,406
2022-12-08,42.4,42.8,41.8,42.1,41.4024,1209
2022-12-09,42.9,42.9,42.2,42.2,41.5008,2865
2022-12-12,42.2,42.3,42.1,42.3,41.5991,883
2022-12-13,42.3,43.6,42.2,43.6,42.8776,12948
2022-12-14,43.9,43.9,42.8,42.8,42.0909,1884
2022-12-15,43.2,43.2,42.4,42.7,41.9925,838
2022-12-16,43.0,43.0,39.9,42.9,42.1892,2547
2022-12-19,42.9,42.9,42.0,42.8,42.0909,654
2022-12-20,41.1,42.3,40.6,41.0,40.3207,1933
2022-12-21,41.0,42.9,40.4,40.4,39.7306,1646
2022-12-22,40.6,40.9,40.6,40.9,40.2223,132
2022-12-23,40.9,42.0,40.7,41.1,40.419,1923
2022-12-27,41.1,41.3,40.6,40.6,39.9273,868
2022-12-28,40.6,40.8,38.6,39.7,39.0422,5159
2022-12-29,39.5,41.4,39.5,41.3,40.6157,1046
2022-12-30,41.3,41.4,39.0,39.0,38.3538,1453
2023-01-02,39.0,40.4,39.0,40.0,39.3372,1469
2023-01-03,40.0,40.9,39.4,40.4,39.7306,2197
2023-01-04,40.4,41.4,40.0,40.5,39.829,934
2023-01-05,40.9,41.9,40.9,41.4,40.714,1592
2023-01-09,41.7,41.9,41.5,41.5,40.8124,502
2023-01-10,42.0,43.0,41.9,43.0,42.2875,910
2023-01-11,43.9,44.0,43.4,43.9,43.1726,2913
2023-01-12,43.9,43.9,43.5,43.8,43.0743,838
2023-01-13,43.8,44.4,43.0,44.4,43.6643,2861
2023-01-16,44.5,45.9,44.5,45.9,45.1395,5830
2023-01-17,45.5,46.1,44.6,44.6,43.861,2573
2023-01-18,44.4,45.1,43.1,44.6,43.861,4362
2023-01-19,44.4,44.4,43.5,43.5,42.7793,5624
2023-01-20,43.5,44.0,42.5,42.7,41.9925,2395
2023-01-23,42.8,43.6,42.2,43.6,42.8776,3264
2023-01-24,44.7,44.7,43.2,43.6,42.8776,1576
2023-01-25,43.9,43.9,43.2,43.6,42.8776,713
2023-01-26,43.9,43.9,42.7,42.7,41.9925,1430
2023-01-27,43.0,43.9,43.0,43.5,42.7793,3413
2023-01-30,44.0,44.0,42.3,43.8,43.0743,613
2023-01-31,43.6,43.6,42.2,43.6,42.8776,930
2023-02-01,43.5,44.1,43.1,43.9,43.1726,1389
2023-02-02,43.9,43.9,43.0,43.0,42.2875,1344
2023-02-03,43.0,43.8,43.0,43.5,42.7793,291
2023-02-06,43.6,43.6,42.6,42.9,42.1892,598
2023-02-07,43.0,43.0,42.6,42.7,41.9925,528
2023-02-08,42.7,42.7,42.2,42.7,41.9925,1227
2023-02-09,43.3,44.8,43.3,44.8,44.0577,68916
2023-02-10,44.8,45.4,44.2,44.7,43.9594,2864
2023-02-13,44.7,44.8,44.0,44.0,43.271,2694
2023-02-14,44.2,44.2,43.8,44.1,43.3693,7480
2023-02-15,44.1,44.2,43.9,43.9,43.1726,271
2023-02-16,44.8,44.8,44.0,44.8,44.0577,986
2023-02-17,45.0,45.0,44.2,44.5,43.7627,184
2023-02-20,44.5,44.5,43.2,44.5,43.7627,2827
2023-02-21,44.5,44.5,43.1,44.2,43.4677,705
2023-02-22,44.5,44.5,43.0,43.9,43.1726,1335
2023-02-23,44.5,44.8,43.3,44.4,43.6643,593
2023-02-24,44.8,44.8,44.0,44.4,43.6643,311
2023-02-27,44.4,44.4,43.7,43.7,42.9759,460
2023-02-28,44.4,45.0,44.3,45.0,44.2544,472
2023-03-01,44.7,44.8,43.4,43.8,43.0743,1900
2023-03-02,43.8,44.6,43.7,44.4,43.6643,570
2023-03-03,44.4,44.4,43.7,44.2,43.4677,549
2023-03-06,44.2,44.7,43.8,44.0,43.271,1412
2023-03-07,44.8,47.2,44.8,47.0,46.2213,16239
2023-03-08,47.0,47.9,47.0,47.8,47.008,7288
2023-03-09,47.8,48.0,47.3,47.5,46.713,2367
2023-03-10,47.2,47.8,46.7,47.8,47.008,1247
2023-03-13,48.0,48.0,45.4,46.3,45.5329,8456
2023-03-14,46.8,48.1,46.8,47.7,46.9097,1323
2023-03-15,47.7,47.8,47.0,47.0,46.2213,2651
2023-03-16,47.0,47.7,46.4,47.4,46.6146,3386
2023-03-17,47.8,48.0,47.4,47.9,47.1063,3973
2023-03-20,48.1,48.2,47.4,47.8,47.008,3715
2023-03-21,46.7,48.0,46.7,48.0,47.2047,7885
2023-03-22,48.0,48.4,47.2,48.1,47.303,13310
2023-03-23,48.3,48.3,48.1,48.3,47.4997,1449
2023-03-24,48.5,48.5,47.9,48.3,47.4997,2463
2023-03-27,46.8,48.0,46.5,47.7,46.9097,5555
2023-03-28,48.0,48.2,47.3,47.7,46.9097,29694
2023-03-29,48.2,48.2,47.2,47.5,46.713,12158
2023-03-30,47.5,47.5,46.5,46.7,45.9262,4773
2023-03-31,46.4,46.7,45.1,45.5,44.7461,25071
2023-04-03,46.0,47.8,46.0,47.8,47.008,3082
2023-04-04,47.8,47.9,47.7,47.7,46.9097,868
2023-04-05,47.7,48.8,47.5,48.5,47.6964,5874
2023-04-06,48.6,48.8,47.1,48.0,47.2047,1871
2023-04-11,48.0,49.0,48.0,49.0,48.1881,3740
