Date,Open,High,Low,Close,Adjusted_close,Volume
2022-11-07,250.0,256.5,246.5,252.5,252.5,16730
2022-11-08,252.5,252.5,242.5,245.0,245.0,12235
2022-11-09,245.0,255.0,243.5,250.5,250.5,32050
2022-11-10,249.5,250.5,245.0,249.0,249.0,32860
2022-11-14,249.5,253.5,239.5,242.5,242.5,22054
2022-11-15,244.0,251.0,240.0,250.0,250.0,17035
2022-11-16,252.0,254.0,247.5,253.0,253.0,16371
2022-11-17,253.0,254.0,250.0,254.0,254.0,6798
2022-11-18,254.0,259.0,250.5,258.5,258.5,16754
2022-11-21,258.0,258.0,250.0,250.0,250.0,5418
2022-11-22,249.0,258.0,249.0,256.0,256.0,7410
2022-11-23,255.0,258.0,253.0,253.0,253.0,2870
2022-11-24,258.0,261.0,255.5,261.0,261.0,4780
2022-11-25,261.0,264.0,258.0,263.5,263.5,2329
2022-11-28,262.0,268.5,259.0,268.5,268.5,6983
2022-11-29,264.5,270.0,264.5,270.0,270.0,6058
2022-11-30,270.0,273.0,267.0,271.5,271.5,8450
2022-12-01,273.0,273.0,266.0,271.5,271.5,22229
2022-12-02,270.5,279.5,268.0,279.5,279.5,21958
2022-12-05,279.5,286.0,278.5,281.5,281.5,10382
2022-12-06,281.5,281.5,271.0,271.0,271.0,21690
2022-12-07,271.0,274.5,265.0,274.5,274.5,8229
2022-12-08,274.0,275.0,268.0,272.5,272.5,9103
2022-12-09,274.0,280.0,273.0,279.0,279.0,7690
2022-12-12,277.0,285.0,277.0,285.0,285.0,8882
2022-12-13,284.0,286.5,280.5,285.5,285.5,12803
2022-12-14,285.0,294.0,284.0,292.5,292.5,16660
2022-12-15,292.0,292.5,276.5,281.5,281.5,26334
2022-12-16,281.5,285.5,277.5,285.0,285.0,12255
2022-12-19,284.0,285.0,275.0,275.5,275.5,4660
2022-12-20,274.0,284.5,272.0,284.5,284.5,4931
2022-12-21,285.0,285.0,280.0,285.0,285.0,2195
2022-12-22,282.0,285.0,279.5,282.0,282.0,1861
2022-12-23,283.5,283.5,279.0,281.0,281.0,2977
2022-12-27,282.0,282.0,279.5,280.0,280.0,1364
2022-12-28,280.0,281.5,276.5,278.5,278.5,3483
2022-12-29,279.0,282.5,276.0,281.5,281.5,4250
2022-12-30,281.5,284.5,278.5,284.0,284.0,3124
2023-01-02,283.0,292.0,282.5,285.0,285.0,7667
2023-01-03,285.0,294.5,284.0,293.0,293.0,12794
2023-01-04,290.0,297.5,289.0,293.0,293.0,13866
2023-01-05,293.0,295.0,281.0,282.5,282.5,21088
2023-01-09,289.0,294.5,283.5,288.5,288.5,14964
2023-01-10,285.0,290.0,284.5,284.5,284.5,9976
2023-01-11,286.0,290.0,283.0,284.0,284.0,7842
2023-01-12,285.0,293.0,282.0,288.0,288.0,15998
2023-01-13,288.0,291.0,286.5,290.0,290.0,6324
2023-01-16,290.0,293.5,289.5,291.0,291.0,8584
2023-01-17,291.0,292.5,285.0,285.5,285.5,5641
2023-01-18,291.5,291.5,283.0,283.0,283.0,12182
2023-01-19,281.5,282.5,274.5,277.0,277.0,12386
2023-01-20,277.5,279.5,274.0,274.0,274.0,10212
2023-01-23,275.0,278.0,275.0,275.0,275.0,13250
2023-01-24,276.5,280.5,274.0,274.0,274.0,5810
2023-01-25,274.5,275.0,270.5,274.0,274.0,7630
2023-01-26,276.0,276.0,272.5,274.0,274.0,10275
2023-01-27,274.5,275.5,272.5,275.0,275.0,10726
2023-01-30,275.0,275.5,270.5,271.5,271.5,10073
2023-01-31,271.5,281.5,271.5,278.0,278.0,46488
2023-02-01,278.0,288.0,276.0,284.0,284.0,12045
2023-02-02,286.5,287.0,277.5,286.0,286.0,20840
2023-02-03,286.0,294.0,284.0,286.0,286.0,33167
2023-02-06,285.0,286.0,268.5,270.0,270.0,35140
2023-02-07,270.0,274.0,268.0,272.0,272.0,27169
2023-02-08,272.0,272.0,268.0,268.0,268.0,14788
2023-02-09,268.0,272.0,268.0,272.0,272.0,15495
2023-02-10,275.0,275.0,266.5,267.5,267.5,17838
2023-02-13,269.0,272.0,267.5,271.0,271.0,19437
2023-02-14,270.0,277.0,268.5,272.0,272.0,20384
2023-02-15,269.0,271.0,268.5,271.0,271.0,7813
2023-02-16,270.0,274.5,267.5,274.5,274.5,15581
2023-02-17,273.5,277.0,270.5,276.0,276.0,3945
