Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-01-16,18998.44,19139.53,18957.94,19139.53,44,58,3,1
2023-01-17,19201.5,19238.6,19071.84,19116.94,44,58,3,1
2023-01-18,19134.31,19150.66,19023.99,19109.08,44,58,3,1
2023-01-19,19111.47,19111.47,18828.93,18918.02,44,58,3,1
2023-01-20,18942.43,19120.44,18942.43,19120.44,44,58,3,1
2023-01-23,19209.17,19317.41,19183.07,19298.07,44,58,3,1
2023-01-24,19360.49,19403.21,19237.62,19289.04,44,58,3,1
2023-01-25,19269.78,19278.05,19040.12,19068.87,44,58,3,1
2023-01-26,19151.21,19175.05,19087.63,19134.34,44,58,3,1
2023-01-27,19154.96,19285.68,19106.87,19285.68,44,58,3,1
2023-01-30,19313.12,19324.46,19201.64,19273.29,44,58,3,1
2023-01-31,19334.4,19384.48,19254.15,19384.48,44,58,3,1
2023-02-01,19424.62,19458.73,19252.72,19264.17,44,58,3,1
2023-02-02,19378.74,19378.74,19231.46,19339.59,44,58,3,1
2023-02-03,19379.03,19445.78,19296.37,19342.33,44,58,3,1
2023-02-06,19386.16,19395.32,19228.3,19258.33,44,58,3,1
2023-02-07,19306.32,19312.22,19203.98,19232.49,44,58,3,1
2023-02-08,19276.33,19350.09,19270.01,19301.28,44,58,3,1
2023-02-09,19371.91,19481.13,19355.04,19426.31,44,58,3,1
2023-02-10,19392.62,19392.62,19049.12,19137.21,44,58,3,1
2023-02-13,19167.11,19177.57,19033.27,19095.44,44,58,3,1
2023-02-14,19171.64,19190.72,19064.24,19107.72,44,58,3,1
2023-02-15,19130.69,19244.34,19121.9,19199.97,44,58,3,1
2023-02-16,19277.17,19316.52,19220.19,19259.49,44,58,3,1
2023-02-17,19265.15,19368.06,19235.64,19368.06,44,58,3,1
2023-02-20,19382.17,19455.55,19331.64,19421.22,44,58,3,1
2023-02-21,19465.58,19488.34,19266.06,19328.02,44,58,3,1
2023-02-22,19322.56,19323.71,19089.95,19244.3,44,58,3,1
2023-02-23,19299.56,19372.6,19277.4,19358.23,44,58,3,1
2023-02-24,19427.27,19448.7,19340.67,19344.01,44,58,3,1
2023-02-27,19360.32,19497.6,19360.32,19475.05,44,58,3,1
2023-02-28,19476.29,19632.49,19463.06,19586.47,44,58,3,1
2023-03-01,19634.07,19743.1,19608.46,19664.13,44,58,3,1
2023-03-02,19677.98,19694.12,19593.05,19623.6,44,58,3,1
2023-03-03,19693.62,19827.07,19689.0,19827.07,44,58,3,1
2023-03-06,19891.74,20012.3,19891.74,19990.98,44,58,3,1
2023-03-07,20012.73,20042.99,19982.87,20027.32,44,58,3,1
2023-03-08,20038.74,20154.25,19967.05,20154.25,44,58,3,1
2023-03-09,20179.08,20208.9,20105.86,20196.12,44,58,3,1
2023-03-10,20049.85,20049.85,19871.81,19921.04,44,58,3,1
2023-03-13,19931.03,19943.2,19330.55,19600.83,44,58,3,1
2023-03-14,19591.36,19783.91,19591.36,19783.91,44,58,3,1
2023-03-15,19837.12,19851.02,19321.33,19341.0,44,58,3,1
2023-03-16,19393.3,19476.03,19186.54,19343.0,44,58,3,1
2023-03-17,19498.33,19597.97,19405.35,19452.82,44,58,3,1
2023-03-20,19436.99,19510.66,19214.47,19510.66,44,58,3,1
2023-03-21,19578.29,19693.48,19578.29,19683.59,44,58,3,1
2023-03-22,19728.26,19766.7,19682.55,19736.77,44,58,3,1
2023-03-23,19751.45,19866.32,19707.33,19756.19,44,58,3,1
2023-03-24,19733.22,19779.39,19502.88,19595.88,44,58,3,1
2023-03-27,19620.37,19843.38,19613.61,19835.63,44,58,3,1
2023-03-28,19884.05,19988.97,19867.8,19929.35,44,58,3,1
2023-03-29,19974.98,20124.28,19969.85,20120.98,44,58,3,1
2023-03-30,20148.06,20166.7,20026.66,20135.09,44,58,3,1
2023-03-31,20141.16,20314.23,20119.34,20248.12,44,58,3,1
2023-04-03,20315.22,20423.45,20290.51,20423.45,44,58,3,1
2023-04-04,20463.89,20500.16,20381.85,20447.4,44,58,3,1
2023-04-05,20488.09,20507.45,20330.18,20330.18,44,58,3,1
2023-04-06,20371.66,20494.13,20371.66,20451.2,44,58,3,1
2023-04-11,20465.56,20881.09,20465.56,20881.09,44,58,3,1
2023-04-12,20823.44,20836.41,20674.41,20836.41,44,58,3,1
2023-04-13,20831.44,20898.92,20785.06,20894.38,44,58,3,1
2023-04-14,20953.26,20994.96,20915.95,20924.81,44,58,3,1
2023-04-17,20962.33,21176.36,20961.61,21176.36,44,58,3,1
2023-04-18,21186.85,21193.72,21064.53,21109.08,44,58,3,1
2023-04-19,21139.42,21150.42,21053.23,21150.42,44,58,3,1
2023-04-20,21162.78,21276.42,21162.78,21232.69,44,58,3,1
2023-04-21,21212.85,21212.85,21096.37,21196.16,44,58,3,1
2023-04-24,21228.55,21254.14,21164.22,21190.19,44,58,3,1
2023-04-25,21214.27,21313.47,21130.86,21252.9,44,58,3,1
2023-04-26,21170.08,21189.24,21021.59,21145.48,44,58,3,1
2023-04-27,21101.23,21183.6,21056.44,21183.6,44,58,3,1
2023-04-28,21156.02,21239.15,21044.34,21140.78,44,58,3,1
2023-05-02,21171.21,21199.37,21101.61,21130.57,44,58,3,1
2023-05-04,21024.41,21073.79,20865.13,20887.42,44,58,3,1
2023-05-05,20913.58,20978.27,20836.57,20978.27,44,58,3,1
2023-05-08,20966.11,21129.4,20966.11,21104.19,44,58,3,1
2023-05-09,21154.37,21220.54,21074.66,21209.98,44,58,3,1
2023-05-10,21205.15,21331.3,21165.39,21326.28,44,58,3,1
2023-05-11,21276.53,21315.82,21167.25,21210.86,44,58,3,1
2023-05-12,21242.48,21295.02,21200.13,21240.45,44,58,3,1
2023-05-15,21243.3,21305.48,21220.41,21305.48,44,58,3,1
2023-05-16,21333.79,21499.41,21319.75,21499.41,44,58,3,1
2023-05-17,21502.64,21540.36,21443.81,21484.3,44,58,3,1
2023-05-18,21553.33,21654.21,21409.65,21423.41,44,58,3,1
2023-05-19,21462.14,21509.82,21424.93,21487.11,44,58,3,1
2023-05-22,21527.32,21633.53,21465.01,21513.76,44,58,3,1
2023-05-23,21588.84,21595.44,21493.54,21513.25,44,58,3,1
2023-05-24,21490.72,21499.01,21266.93,21499.01,44,58,3,1
2023-05-25,21436.57,21453.92,21247.98,21275.3,44,58,3,1
2023-05-26,21209.21,21382.74,21209.21,21368.76,44,58,3,1
2023-05-29,21418.9,21437.44,21347.62,21416.21,44,58,3,1
2023-05-30,21446.03,21499.25,21406.57,21446.36,44,58,3,1
2023-05-31,21409.16,21409.16,20983.03,20990.91,44,58,3,1
2023-06-01,21025.08,21099.58,21006.23,21062.32,44,58,3,1
2023-06-02,21150.03,21363.7,21150.03,21362.77,44,58,3,1
2023-06-05,21353.97,21393.13,21292.62,21362.63,44,58,3,1
