Date,Open,High,Low,Close,Adjusted_close,Volume
2022-12-19,73.45,73.95,72.05,72.05,72.05,33656
2022-12-20,72.05,72.45,71.05,71.4,71.4,61877
2022-12-21,71.4,71.75,71.0,71.2,71.2,19060
2022-12-22,71.25,72.9,70.85,72.55,72.55,52110
2022-12-23,72.95,72.95,71.75,71.95,71.95,16332
2022-12-27,72.5,72.8,71.45,71.85,71.85,13013
2022-12-28,71.85,72.5,71.0,71.45,71.45,56680
2022-12-29,71.4,72.95,71.1,72.5,72.5,70391
2022-12-30,73.4,74.8,72.35,72.6,72.6,83409
2023-01-02,72.6,73.8,72.5,73.2,73.2,7864
2023-01-03,73.4,74.45,72.65,73.0,73.0,25948
2023-01-04,73.3,73.7,73.0,73.35,73.35,33473
2023-01-05,73.5,74.2,72.75,73.3,73.3,80208
2023-01-09,73.7,75.95,73.7,75.85,75.85,113199
2023-01-10,75.85,75.9,74.5,74.8,74.8,78513
2023-01-11,74.75,75.05,73.0,73.1,73.1,92026
2023-01-12,73.0,75.4,73.0,73.45,73.45,88496
2023-01-13,73.55,73.6,72.35,72.8,72.8,92404
2023-01-16,73.0,73.7,72.1,73.35,73.35,52601
2023-01-17,72.95,74.5,72.55,73.85,73.85,70783
2023-01-18,73.8,75.4,73.7,73.95,73.95,72740
2023-01-19,73.95,74.05,73.0,73.55,73.55,84169
2023-01-20,73.4,73.7,71.75,71.75,71.75,143384
2023-01-23,71.8,74.2,71.8,73.45,73.45,53886
2023-01-24,74.05,75.15,73.55,73.55,73.55,63307
2023-01-25,73.9,74.5,73.15,73.4,73.4,42438
2023-01-26,74.85,75.45,73.2,75.05,75.05,49555
2023-01-27,75.25,75.6,74.5,74.65,74.65,56268
2023-01-30,74.05,75.1,74.05,74.05,74.05,32212
2023-01-31,74.05,77.0,74.0,76.15,76.15,102063
2023-02-01,77.0,77.0,75.75,75.75,75.75,80663
2023-02-02,76.9,78.9,76.5,78.15,78.15,94449
2023-02-03,78.5,79.8,78.15,79.0,79.0,55989
2023-02-06,79.0,79.0,77.05,77.3,77.3,49047
2023-02-07,77.85,78.4,77.0,78.2,78.2,42680
2023-02-08,78.45,78.85,77.85,78.15,78.15,35745
2023-02-09,78.0,81.65,78.0,81.65,81.65,185729
2023-02-10,81.65,81.65,78.35,78.7,78.7,86794
2023-02-13,79.0,79.95,78.55,79.55,79.55,64663
2023-02-14,80.05,80.5,78.5,79.1,79.1,58837
2023-02-15,80.05,80.8,79.0,80.5,80.5,62136
2023-02-16,80.7,80.9,79.45,80.5,80.5,56345
2023-02-17,80.5,80.5,79.5,79.75,79.75,37663
2023-02-20,80.0,80.1,78.8,79.25,79.25,34261
2023-02-21,79.25,79.45,77.65,78.8,78.8,44815
