Date,Open,High,Low,Close,Adjusted_close,Volume
2022-11-07,27.84,28.62,27.6,28.2,28.2,392498
2022-11-08,28.2,28.8,27.86,28.28,28.28,259124
2022-11-09,28.16,29.16,28.04,28.98,28.98,481182
2022-11-10,28.96,29.48,28.54,29.38,29.38,257531
2022-11-14,29.4,29.72,28.16,28.22,28.22,401836
2022-11-15,28.32,29.5,28.14,29.24,29.24,383498
2022-11-16,28.6,29.78,28.6,29.1,29.1,403133
2022-11-17,29.04,29.72,29.0,29.6,29.6,247792
2022-11-18,29.6,30.64,29.18,30.34,30.34,314891
2022-11-21,30.88,30.88,29.66,30.16,30.16,188833
2022-11-22,30.3,30.3,29.72,29.8,29.8,153771
2022-11-23,29.86,30.3,29.84,29.9,29.9,165235
2022-11-24,30.0,30.14,28.8,29.24,29.24,274033
2022-11-25,29.3,29.42,28.82,29.1,29.1,81024
2022-11-28,29.34,30.28,28.96,30.14,30.14,233063
2022-11-29,30.0,30.14,29.2,29.66,29.66,113470
2022-11-30,29.6,29.82,29.0,29.48,29.48,187041
2022-12-01,29.68,30.08,29.66,30.08,30.08,223459
2022-12-02,30.0,30.02,29.36,29.9,29.9,101898
2022-12-05,29.92,29.94,29.26,29.3,29.3,96353
2022-12-06,29.26,29.7,29.0,29.54,29.54,164549
2022-12-07,29.56,29.58,29.06,29.18,29.18,80624
2022-12-08,29.18,29.4,28.32,28.7,28.7,195890
2022-12-09,28.66,29.22,28.66,29.22,29.22,55823
2022-12-12,29.22,29.5,28.94,29.1,29.1,64406
2022-12-13,29.0,29.46,28.98,29.22,29.22,105837
2022-12-14,29.22,30.12,29.04,30.04,30.04,204539
2022-12-15,30.0,30.58,30.0,30.54,30.54,176315
2022-12-16,30.6,31.0,30.22,30.28,30.28,270578
