Date,Open,High,Low,Close,Adjusted_close,Volume
2022-12-27,3.12,3.19,3.04,3.18,3.18,10894
2022-12-28,3.08,3.18,3.06,3.15,3.15,29056
2022-12-29,3.1,3.17,3.09,3.16,3.16,6735
2022-12-30,3.16,3.24,3.11,3.2,3.2,737
2023-01-02,3.2,3.45,3.2,3.35,3.35,20815
2023-01-03,3.35,3.58,3.32,3.48,3.48,22153
2023-01-04,3.57,3.64,3.56,3.6,3.6,14457
2023-01-05,3.63,3.64,3.53,3.62,3.62,3561
2023-01-09,3.7,3.75,3.65,3.72,3.72,14603
2023-01-10,3.7,3.72,3.7,3.72,3.72,2020
2023-01-11,3.72,3.72,3.72,3.72,3.72,4
2023-01-12,3.7,3.73,3.6,3.72,3.72,10441
2023-01-13,3.7,3.74,3.55,3.7,3.7,6975
2023-01-16,3.7,3.77,3.6,3.72,3.72,7298
2023-01-17,3.7,3.7,3.6,3.67,3.67,6889
2023-01-18,3.67,3.67,3.61,3.64,3.64,5035
2023-01-19,3.65,3.65,3.56,3.56,3.56,914
2023-01-20,3.6,3.6,3.51,3.6,3.6,4694
2023-01-23,3.64,3.65,3.53,3.65,3.65,1579
2023-01-24,3.58,3.65,3.54,3.65,3.65,4698
2023-01-25,3.52,3.53,3.52,3.53,3.53,2249
2023-01-26,3.65,3.65,3.53,3.53,3.53,2950
2023-01-27,3.58,3.58,3.56,3.56,3.56,1500
2023-01-30,3.54,3.6,3.52,3.6,3.6,5956
2023-01-31,3.53,3.7,3.53,3.6,3.6,5865
2023-02-01,3.57,3.68,3.57,3.62,3.62,7677
2023-02-02,3.69,3.7,3.61,3.61,3.61,5243
2023-02-03,3.53,3.64,3.53,3.64,3.64,6765
