Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-03-29,12.5,12.6,12.2,12.3,78,105,3,1
2023-03-30,12.35,12.45,12.3,12.3,78,105,3,1
2023-03-31,12.5,12.5,12.5,12.5,78,105,3,1
2023-04-03,12.35,12.35,12.3,12.3,78,105,3,1
2023-04-04,12.45,12.5,12.25,12.25,78,105,3,1
2023-04-05,12.3,12.35,12.3,12.35,78,105,3,1
2023-04-06,12.3,12.6,12.3,12.6,78,105,3,1
2023-04-11,12.6,12.6,12.3,12.5,78,105,3,1
2023-04-12,12.3,12.55,12.25,12.55,78,105,3,1
2023-04-13,12.3,12.35,12.25,12.35,78,105,3,1
2023-04-14,12.25,12.5,12.25,12.5,78,105,3,1
2023-04-17,12.25,12.3,12.25,12.3,78,105,3,1
2023-04-18,12.25,12.5,12.25,12.3,78,105,3,1
2023-04-19,12.35,12.5,12.25,12.5,78,105,3,1
2023-04-20,12.25,12.25,12.25,12.25,78,105,3,1
2023-04-21,12.25,12.5,12.25,12.3,78,105,3,1
2023-04-24,12.25,12.25,12.25,12.25,78,105,3,1
2023-04-25,12.3,12.3,12.25,12.25,78,105,3,1
2023-04-26,12.3,12.5,12.3,12.4,78,105,3,1
2023-04-27,12.3,12.4,12.25,12.4,78,105,3,1
2023-04-28,12.4,12.5,12.4,12.4,78,105,3,1
2023-05-02,12.2,12.5,12.0,12.35,78,105,3,1
2023-05-04,12.05,12.35,12.05,12.35,78,105,3,1
2023-05-05,12.1,12.3,12.1,12.3,78,105,3,1
2023-05-08,12.1,12.3,12.1,12.3,78,105,3,1
2023-05-09,12.15,12.25,12.15,12.15,78,105,3,1
2023-05-10,12.25,12.55,12.2,12.2,78,105,3,1
2023-05-11,12.2,12.5,12.2,12.3,78,105,3,1
2023-05-12,12.4,12.5,12.4,12.5,78,105,3,1
2023-05-15,12.5,12.5,12.5,12.5,78,105,3,1
2023-05-16,12.35,12.6,12.25,12.6,78,105,3,1
2023-05-17,12.6,12.6,12.25,12.25,78,105,3,1
2023-05-18,12.25,12.25,12.25,12.25,78,105,3,1
2023-05-19,12.25,12.25,12.25,12.25,78,105,3,1
2023-05-22,12.25,12.3,12.25,12.25,78,105,3,1
2023-05-23,12.3,12.45,12.25,12.45,78,105,3,1
2023-05-24,12.5,12.5,12.35,12.35,78,105,3,1
2023-05-25,12.35,12.55,12.3,12.3,78,105,3,1
2023-05-26,12.3,12.3,12.3,12.3,78,105,3,1
2023-05-29,12.5,12.5,12.1,12.5,78,105,3,1
2023-05-30,12.5,12.5,12.25,12.25,78,105,3,1
2023-05-31,12.4,12.4,12.0,12.0,78,105,3,1
