Date,Open,High,Low,Close,Adjusted_close,Volume
2022-12-21,157.0,161.5,157.0,161.5,161.5,5806
2022-12-22,156.5,161.5,156.5,160.0,160.0,341
2022-12-23,160.0,161.0,160.0,161.0,161.0,35
2022-12-27,155.5,160.5,153.5,158.0,158.0,1081
2022-12-28,156.0,158.0,152.0,152.0,152.0,3030
2022-12-29,152.5,159.0,150.0,159.0,159.0,470
2022-12-30,155.0,167.5,155.0,160.0,160.0,110
2023-01-02,160.0,164.5,158.0,164.5,164.5,153
2023-01-03,160.0,166.0,159.0,165.5,165.5,307
2023-01-04,164.5,164.5,161.5,164.0,164.0,657
2023-01-05,163.5,164.0,157.5,164.0,164.0,574
2023-01-09,164.0,167.0,159.0,167.0,167.0,1725
2023-01-10,164.0,168.0,162.0,168.0,168.0,1336
2023-01-11,167.0,170.0,166.0,170.0,170.0,1936
2023-01-12,171.0,177.5,171.0,176.0,176.0,2480
2023-01-13,177.0,181.0,175.0,180.5,180.5,1192
2023-01-16,180.5,184.0,179.0,179.5,179.5,7690
2023-01-17,183.0,183.0,177.0,181.0,181.0,721
2023-01-18,182.0,182.5,180.0,182.0,182.0,41
2023-01-19,180.0,180.0,175.5,176.0,176.0,3260
2023-01-20,174.5,179.5,174.5,178.0,178.0,421
2023-01-23,178.0,178.0,172.0,178.0,178.0,344
2023-01-24,176.0,179.5,173.5,179.5,179.5,651
2023-01-25,175.0,178.0,174.0,174.0,174.0,384
2023-01-26,178.0,178.0,178.0,178.0,178.0,108
2023-01-27,174.0,181.5,173.5,177.0,177.0,12606
2023-01-30,181.0,181.0,173.0,178.5,178.5,1180
2023-01-31,172.0,180.0,172.0,180.0,180.0,2685
2023-02-01,180.0,180.0,176.0,179.0,179.0,17022
2023-02-02,179.0,179.0,175.5,177.0,177.0,1925
2023-02-03,177.0,177.5,172.5,175.0,175.0,1865
2023-02-06,174.5,175.0,171.0,175.0,175.0,938
2023-02-07,173.0,175.0,173.0,175.0,175.0,4
2023-02-08,170.0,174.0,170.0,174.0,174.0,1146
2023-02-09,174.0,174.0,169.0,171.0,171.0,97
2023-02-10,162.0,166.0,160.0,166.0,166.0,3688
2023-02-13,166.0,169.5,166.0,168.0,168.0,486
2023-02-14,169.0,169.5,166.0,167.5,167.5,278
2023-02-15,167.5,168.0,163.0,168.0,168.0,2832
2023-02-16,165.0,170.5,164.0,170.0,170.0,504
2023-02-17,170.0,172.0,162.5,172.0,172.0,2470
2023-02-20,172.0,172.0,172.0,172.0,172.0,30
2023-02-21,172.0,179.0,172.0,173.5,173.5,5336
2023-02-22,173.5,177.0,171.0,177.0,177.0,501
2023-02-23,174.0,178.5,174.0,177.0,177.0,1183
2023-02-24,175.0,176.0,173.0,174.5,174.5,7276
2023-02-27,170.5,176.0,170.5,175.0,175.0,2681
2023-02-28,175.0,175.0,174.0,175.0,175.0,102
2023-03-01,170.5,174.5,170.5,174.5,174.5,73
