Date,Open,High,Low,Close,Adjusted_close,Volume
2022-10-27,53.68,55.58,53.32,55.58,51.1822,10248090
2022-10-28,55.0,56.3,54.24,55.54,51.1454,10770380
2022-10-31,55.88,55.88,54.2,54.92,50.5744,5457839
2022-11-02,55.88,58.58,55.5,58.04,53.4476,4647077
2022-11-03,57.5,59.96,56.8,59.96,55.2156,3799277
2022-11-04,60.82,63.0,60.82,63.0,58.0151,3394430
2022-11-07,63.46,63.64,59.3,60.5,55.7129,2778052
2022-11-08,60.4,62.3,59.6,62.04,57.1311,2135357
2022-11-09,62.0,62.48,60.86,61.0,56.1734,2157689
2022-11-10,60.5,62.88,59.44,62.6,57.6468,3029421
2022-11-14,62.9,65.28,62.62,63.44,58.4203,3464962
2022-11-15,63.78,65.48,62.78,64.9,59.7648,3489432
2022-11-16,64.2,64.96,64.02,64.1,59.0281,2318299
2022-11-17,64.3,65.14,63.1,64.1,59.0281,2607100
2022-11-18,64.1,64.6,62.14,62.76,57.7941,2167200
2022-11-21,62.78,63.32,61.24,61.5,56.6338,1810346
2022-11-22,62.3,64.6,62.26,64.14,59.0649,2101963
2022-11-23,64.66,65.4,63.22,63.6,58.5676,2077001
2022-11-24,64.18,64.22,62.42,64.04,58.9728,1376213
2022-11-25,64.0,64.42,63.14,64.26,59.1754,1123472
2022-11-28,63.7,63.72,62.28,62.6,57.6468,2468100
2022-11-29,64.0,65.22,62.88,64.8,59.6727,2143362
2022-11-30,65.0,66.3,64.28,65.3,60.1331,6781387
2022-12-01,65.8,68.24,64.52,68.24,62.8405,3592701
2022-12-02,67.94,67.96,64.5,64.5,59.3964,3397303
2022-12-05,64.82,66.36,64.3,65.82,60.612,1105088
2022-12-06,65.5,65.68,63.72,64.22,59.1386,1608214
2022-12-07,64.0,64.82,63.86,64.62,59.5069,1058133
2022-12-08,64.32,64.32,62.4,62.98,57.9967,1469884
2022-12-09,63.02,63.26,61.32,62.2,57.2784,1522747
2022-12-12,61.96,63.8,61.56,63.74,58.6966,1456592
2022-12-13,63.68,65.02,62.7,63.94,58.8807,1726811
2022-12-14,64.0,64.52,63.28,63.58,58.5492,1501483
2022-12-15,63.2,63.68,62.6,63.48,58.4571,1862202
