Date,Open,High,Low,Close,Adjusted_close,Volume
2022-10-31,32.9,33.9,32.54,33.58,33.58,153909
2022-11-02,34.1,36.38,34.0,36.3,36.3,474627
2022-11-03,36.0,36.0,34.4,34.4,34.4,230844
2022-11-04,34.8,35.42,34.5,34.5,34.5,166649
2022-11-07,34.52,35.56,34.12,34.88,34.88,189233
2022-11-08,34.88,35.26,34.4,34.58,34.58,65352
2022-11-09,34.62,35.0,34.16,34.4,34.4,79637
2022-11-10,34.4,35.3,33.96,35.0,35.0,282409
2022-11-14,38.0,41.72,37.98,39.0,39.0,2523197
2022-11-15,40.0,41.34,38.78,40.04,40.04,2206332
2022-11-16,39.96,40.3,39.12,39.48,39.48,871042
2022-11-17,40.26,40.3,38.78,39.0,39.0,637635
2022-11-18,38.96,40.12,38.56,39.56,39.56,684820
2022-11-21,40.98,42.64,39.84,40.0,40.0,1256588
2022-11-22,40.3,40.3,38.94,39.76,39.76,817039
2022-11-23,40.04,40.74,39.48,39.92,39.92,863991
2022-11-24,40.28,40.4,39.6,40.0,40.0,599119
2022-11-25,40.9,41.6,40.04,40.58,40.58,1042042
2022-11-28,40.84,40.84,38.62,38.94,38.94,1187722
2022-11-29,38.9,39.74,37.52,39.26,39.26,1603189
2022-11-30,39.98,41.72,39.6,41.1,41.1,16904920
2022-12-01,40.32,41.0,38.7,39.24,39.24,1785024
2022-12-02,39.98,39.98,37.42,37.8,37.8,891561
2022-12-05,38.3,38.92,37.7,38.62,38.62,405771
2022-12-06,38.98,39.52,38.16,39.38,39.38,682716
2022-12-07,39.58,40.3,38.88,38.96,38.96,401952
2022-12-08,39.38,39.78,38.72,39.4,39.4,429949
2022-12-09,39.64,40.18,38.9,39.88,39.88,858635
