Date,Open,High,Low,Close,Adjusted_close,Volume
2022-12-22,44.3,44.6,44.0,44.3,44.3,206
2022-12-23,44.9,44.9,44.8,44.8,44.8,48
2022-12-27,45.5,45.5,43.3,44.0,44.0,1844
2022-12-28,45.0,45.0,44.2,45.0,45.0,865
2022-12-29,45.4,45.4,44.1,45.0,45.0,38644
2022-12-30,45.0,45.0,43.5,43.5,43.5,5949
2023-01-02,42.7,45.9,42.7,45.9,45.9,1144
2023-01-03,45.3,46.7,45.3,46.7,46.7,1163
2023-01-04,46.7,46.9,46.3,46.5,46.5,571
2023-01-05,46.5,47.6,46.5,47.6,47.6,1643
2023-01-09,47.7,48.6,47.7,48.5,48.5,5469
2023-01-10,50.0,50.0,48.5,48.6,48.6,2523
2023-01-11,49.0,50.0,48.6,49.1,49.1,1722
2023-01-12,48.6,49.0,48.5,49.0,49.0,2909
2023-01-13,50.0,50.0,48.6,49.4,49.4,1964
2023-01-16,49.9,49.9,48.7,48.8,48.8,588
2023-01-17,48.5,49.1,46.8,49.1,49.1,495
2023-01-18,49.1,50.0,48.3,49.0,49.0,6713
2023-01-19,49.0,49.4,48.0,49.4,49.4,235
2023-01-20,49.5,49.5,48.1,48.3,48.3,3844
2023-01-23,49.0,49.0,48.0,48.5,48.5,163
2023-01-24,48.8,48.8,47.3,47.8,47.8,545
2023-01-25,48.8,48.8,45.7,46.3,46.3,4778
2023-01-26,46.3,47.3,44.9,45.4,45.4,2498
2023-01-27,45.4,45.9,44.6,45.6,45.6,2156
2023-01-30,45.4,45.5,44.0,44.1,44.1,3195
2023-01-31,44.3,44.6,43.6,44.0,44.0,16021
2023-02-01,44.2,44.6,43.7,43.9,43.9,3831
2023-02-02,44.3,44.6,43.5,43.9,43.9,3608
2023-02-03,44.0,45.6,44.0,44.8,44.8,1025
2023-02-06,45.4,45.8,44.6,45.1,45.1,81252
2023-02-07,45.6,45.9,45.1,45.1,45.1,1063
2023-02-08,45.2,46.8,45.2,46.0,46.0,2562
2023-02-09,46.1,47.7,46.0,47.4,47.4,1035
