Date,Open,High,Low,Close,Adjusted_close,Volume
2022-10-19,382.0,382.0,371.5,375.0,375.0,533
2022-10-20,377.0,377.0,372.5,372.5,372.5,353
2022-10-21,377.0,377.0,355.0,361.5,361.5,3376
2022-10-24,369.5,373.0,355.0,355.0,355.0,891
2022-10-25,359.5,365.0,355.0,358.0,358.0,667
2022-10-26,362.0,373.5,362.0,373.5,373.5,613
2022-10-27,380.0,382.0,359.0,361.0,361.0,2441
2022-10-28,362.0,362.0,355.5,361.0,361.0,670
2022-10-31,363.0,363.0,357.0,360.0,360.0,1249
2022-11-02,360.0,374.0,360.0,370.0,370.0,3375
2022-11-03,369.5,370.0,364.0,364.0,364.0,969
2022-11-04,367.0,403.5,367.0,403.5,403.5,8722
2022-11-07,406.0,408.0,395.0,407.5,407.5,4679
2022-11-08,407.5,408.0,392.5,400.0,400.0,3926
2022-11-09,405.0,405.0,397.5,400.0,400.0,650
2022-11-10,400.0,402.0,392.0,400.0,400.0,4527
2022-11-14,404.5,411.0,397.0,411.0,411.0,3178
2022-11-15,412.0,434.0,409.5,426.0,426.0,1328
2022-11-16,425.5,430.0,415.5,430.0,430.0,978
2022-11-17,419.0,432.0,419.0,432.0,432.0,2013
2022-11-18,432.0,444.0,430.0,444.0,444.0,3704
2022-11-21,444.0,445.0,425.0,426.5,426.5,6597
2022-11-22,426.5,457.0,426.5,457.0,457.0,4810
2022-11-23,457.0,467.0,454.0,464.0,464.0,3060
2022-11-24,460.0,465.0,441.5,445.5,445.5,5208
2022-11-25,449.5,465.0,444.5,464.5,464.5,2089
2022-11-28,466.5,466.5,451.0,454.5,454.5,3000
2022-11-29,454.0,466.0,451.0,466.0,466.0,9074
2022-11-30,466.0,470.0,455.0,458.5,458.5,4318
2022-12-01,456.0,467.5,443.0,458.0,458.0,4984
2022-12-02,458.0,465.0,452.5,464.0,464.0,4535
2022-12-05,464.0,465.0,443.5,446.0,446.0,3049
2022-12-06,447.0,447.0,433.0,439.5,439.5,1103
2022-12-07,435.0,445.0,435.0,440.0,440.0,1187
2022-12-08,440.0,450.0,440.0,450.0,450.0,528
2022-12-09,450.0,460.0,447.5,447.5,447.5,2291
2022-12-12,447.5,452.0,445.0,452.0,452.0,219
2022-12-13,452.0,470.0,448.0,470.0,470.0,3306
2022-12-14,470.0,470.0,463.0,468.0,468.0,1286
2022-12-15,464.0,468.0,458.0,459.5,459.5,287
2022-12-16,455.0,455.0,429.0,432.5,432.5,3781
2022-12-19,431.5,452.0,431.5,451.5,451.5,919
2022-12-20,451.5,460.0,441.0,460.0,460.0,1950
2022-12-21,462.0,465.0,453.0,465.0,465.0,528
2022-12-22,465.0,465.0,456.0,456.0,456.0,375
2022-12-23,459.0,459.0,450.0,458.0,458.0,710
2022-12-27,460.0,460.0,446.0,447.0,447.0,240
2022-12-28,451.5,451.5,442.0,451.0,451.0,1992
2022-12-29,447.0,457.0,447.0,453.0,453.0,561
2022-12-30,458.0,461.0,453.0,461.0,461.0,376
2023-01-02,467.5,467.5,457.5,464.5,464.5,5655
2023-01-03,467.5,480.0,463.0,471.0,471.0,20196
2023-01-04,480.0,480.0,468.0,468.5,468.5,35017
2023-01-05,468.0,468.5,454.0,454.0,454.0,4807
2023-01-09,455.0,458.5,451.0,452.5,452.5,4488
2023-01-10,452.5,459.0,450.0,450.0,450.0,6930
2023-01-11,450.5,459.5,445.0,450.0,450.0,1620
2023-01-12,450.0,450.0,440.0,445.0,445.0,3455
2023-01-13,443.5,445.0,437.0,440.0,440.0,3679
2023-01-16,451.0,451.5,438.5,441.0,441.0,2653
2023-01-17,442.5,442.5,429.0,429.0,429.0,3425
2023-01-18,429.0,434.0,425.5,425.5,425.5,3252
2023-01-19,426.0,434.0,421.0,434.0,434.0,35380
2023-01-20,434.5,450.0,430.0,450.0,450.0,7193
2023-01-23,452.5,453.0,444.5,451.0,451.0,977
2023-01-24,452.5,453.0,447.0,447.0,447.0,779
2023-01-25,449.5,449.5,435.0,440.0,440.0,915
2023-01-26,440.0,453.5,440.0,444.0,444.0,873
2023-01-27,449.5,454.0,445.0,453.0,453.0,1290
2023-01-30,454.5,454.5,444.0,444.5,444.5,1700
2023-01-31,446.0,454.5,444.0,454.0,454.0,2113
2023-02-01,454.0,454.0,447.0,450.0,450.0,678
2023-02-02,450.0,475.0,450.0,474.0,474.0,4736
2023-02-03,474.0,477.0,455.0,477.0,477.0,9552
2023-02-06,480.0,484.5,474.0,480.0,480.0,2288
2023-02-07,479.0,484.5,477.0,484.5,484.5,12589
2023-02-08,485.0,495.0,483.0,493.0,493.0,4586
